,Unnamed: 0,en,cn,ar,pos,cn_split
631,632,exit,出口,خروج,np,出口
632,633,Exit To All Routes.,各通道出口。,,sent,各 通道 出口 。
633,634,expensive,贵,غالي,adj,贵
634,635,Express Pass.,快速通道。,,sent,快速通道 。
635,636,expressivity,善于表达,,np,善于 表达
636,637,extern,走读生,,np,走读生
637,638,eyes,眼睛,عيون,sent,眼睛
638,639,face,脸,وجه,np,脸
639,640,faithful,忠诚的,,np,忠诚 的
640,641,family,家庭,,np,家庭
641,642,family name,姓,,np,姓
642,643,family status,家庭状况,,np,家庭 状况
643,644,far-sighted,远视,,np,远视
644,645,fare class,座舱等级,,np,座舱 等级
645,646,farmer,农民,,np,农民
646,647,Fasten Seat Belt While Seated.,就坐后请系好安全带。,,sent,就 坐 后 请系 好 安全带 。
647,648,father,父亲,,np,父亲
648,649,father-in-law,公公,,np,公公
649,650,Fax And Copy Service.,传真复印服务。,,sent,传真 复印 服务 。
650,651,February,二月,فبراير,np,二月
651,652,feet,脚,أقدام,np,脚
652,653,female,女的,إناثا,np,女 的
653,654,fever,发烧,حمة,np,发烧
654,655,fifty thousand,五万,خمسون ألف,num,五万
655,656,Fiji,斐,فيجي,np,斐
656,657,Fill out this form.,填一下这张表。,,sent,填 一下 这 张表 。
657,658,filling station,加油站,,np,加油站
658,659,"Fine, thank you.","很好, 谢谢。",بخير، شكرا لك.,sent,"很 好 ,   谢谢 。"
659,660,fingers,手指,أصابع,np,手指
660,661,Finland,芬兰,فنلندا,np,芬兰
661,662,first class,头等舱,,np,头等舱
662,663,first class cabin,头等舱,مقصورة درجة أولى,np,头等舱
663,664,First class fare of a one-way ticket from * to is *.,至*的单程机票，头等舱是*。,,vp,至 * 的 单程 机票 ， 头等舱 是 * 。
664,665,first name,名,,np,名
665,666,fish,鱼,سمك,np,鱼
666,667,fitness center,健身中心,,sent,健身 中心
667,668,five,五,خمسة,num,五
668,669,five hundred,五百,خمس مائة,num,五百
669,670,fixed-price meal,定价套餐,وجبة ثابتة السعر,np,定价 套餐
670,671,flammable item,易燃物品,,np,易燃物品
671,672,Flammable items cannot be taken with you into the aircraft.,易燃品不能随身带上飞机。,,sent,易燃品 不能 随身带 上 飞机 。
672,673,flight,飞行,,np,飞行
673,674,Flight * bound for *.,*号班机，去*的。,,vp,* 号 班机 ， 去 * 的 。
674,675,Flight * to * is now boarding.,飞往*的*班，已经开始登机。,,vp,飞往 * 的 * 班 ， 已经 开始 登机 。
675,676,flight connections,转机处,,np,转机 处
676,677,flight number,班机号码,,np,班机 号码
677,678,Florence,佛罗伦萨,فلورنسا,np,佛罗伦萨
678,679,Flying Time.,飞行时间。,,sent,飞行 时间 。
679,680,food trolley,送餐车,,np,送 餐车
680,681,foot rest,坐着的时候放脚的支撑物,,np,坐 着 的 时候 放脚 的 支撑物
681,682,For * night(s).,订*个晚上。,,vp,订 * 个 晚上 。
682,683,For * people.,为*个人。,ل* أشخاص.,vp,为 * 个人 。
683,684,"For More On High Speed Internet Access, Including Trouble Shooting Information, Please Refer To The Guest Service Directory.",请查阅旅客服务指南获取更多的有关高速上网以及如何排除故障的信息。,,sent,请 查阅 旅客 服务指南 获取 更 多 的 有关 高速 上网 以及 如何 排除故障 的 信息 。
684,685,For one person.,为一个人。,لشخص واحد.,sent,为 一个 人 。
685,686,For Reservation Call...,预订服务请拨电话...,,sent,预订 服务 请 拨电话 ...
686,687,For two people.,为两个人。,لشخصين.,sent,为 两个 人 。
687,688,for use only in case of fire,灭火专用,,np,灭火 专用
688,689,For what time?,请问什么时间入住?,,sent,请问 什么 时间 入住 ?
689,690,"For Your Convenience, Cigarettes Are Available At The Front Desk.",为了您的方便，前台有香烟出售。,,sent,为了 您 的 方便 ， 前台 有 香烟 出售 。
690,691,"For your own safety, please go back to your seat and fasten the seat belts. Thank you.",请您回到您的座位，并系好安全带，以求安全。谢谢您的合作。,,sent,请 您 回到 您 的 座位 ， 并系 好 安全带 ， 以求 安全 。 谢谢您 的 合作 。
691,692,forbidden,被禁止,ممنوع,adj,被 禁止
692,693,forced landing,迫降,,np,迫降
693,694,foster father,养父,,np,养父
694,695,foster mother,养母,,np,养母
695,696,four,四,أربعة,num,四
696,697,fragile,易碎,,np,易碎
697,698,France,法国,فرنسا,np,法国
698,699,frank,真诚的,,np,真诚 的
699,700,Frankfurt,法兰克福,فرانكفورت,np,法兰克福
700,701,free admission,免费入场,,np,免费入场
701,702,Free In All Guest Rooms.,所有房间内免费登陆。,,sent,所有 房间内 免费 登陆 。
702,703,french coffee,法式滴滤咖啡,,np,法式 滴滤 咖啡
703,704,french vanilla coffee,法国香草咖啡,,np,法国 香草 咖啡
704,705,fresh ground coffee,现磨咖啡,,np,现磨 咖啡
705,706,Friday,星期五,يوم الجمعة,np,星期五
706,707,Fried eggs with ham.,火腿肠煎蛋。,,sent,火腿肠 煎蛋 。
707,708,fried rice,炒饭,أرز مقلي,np,炒饭
708,709,friend,朋友,صديق,np,朋友
709,710,from,从,من,prt,从
710,711,From date * until *.,从*月*日到*日。,,vp,从 * 月 * 日到 * 日 。
711,712,Front Aisle,前廊,,sent,前廊
712,713,Front Counter,前台,,sent,前台
713,714,Front Desk,前台,,sent,前台
714,715,fruit cappuccino,果味卡布奇诺,,np,果味 卡布奇诺
715,716,fruits,水果,فاكهة,np,水果
716,717,ft,英尺,,np,英尺
717,718,Full Central Heating With House Provided Hot Water * Hours.,中央暖气系统，房间*小时提供热水。,,vp,中央 暖气 系统 ， 房间 * 小时 提供 热水 。
718,719,Fully Centrally Heated.,中央暖气全部开放。,,sent,中央 暖气 全部 开放 。
719,720,Gabon,加蓬,الغابون,np,加蓬
720,721,galley,飞机上的厨房,,np,飞机 上 的 厨房
721,722,Gambia,冈比亚,غامبيا,np,冈比亚
722,723,Games Room.,游戏房。,,sent,游戏 房 。
723,724,garlic,蒜,,np,蒜
724,725,gas station,加油站,محطة بنزين,np,加油站
725,726,gate,登机口,,sent,登机口
726,727,Gaza,加沙,غزة,np,加沙
727,728,generation,代,,np,代
728,729,genteel,有教养的,,np,有 教养 的
729,730,gentle,有礼貌的,,np,有 礼貌 的
730,731,Georgia,格鲁吉亚,جورجيا,np,格鲁吉亚
731,732,Germany,德国,ألمانيا,np,德国
732,733,Ghana,加纳,غانا,np,加纳
733,734,ginge,姜,,np,姜
734,735,Give me * pieces,给我来*块吧。,,vp,给 我 来 * 块 吧 。
735,736,Give me a cup of coffee.,给我一杯咖啡。,,sent,给 我 一杯 咖啡 。
736,737,Give me a decaf.,给我一杯没有咖啡因的咖啡。,,sent,给 我 一杯 没有 咖啡因 的 咖啡 。
737,738,Give me a one-way ticket to *,给我一张单程到*的票。,,vp,给 我 一张 单程 到 * 的 票 。
738,739,Give me a pound of tomatoes and a pound of eggplants.,给我一磅番茄和一磅茄子。,,sent,给 我 一磅 番茄 和 一磅 茄子 。
739,740,give way,快车先行,,np,快车 先行
740,741,Glasgow,格拉斯哥,غلاسكو,np,格拉斯哥
741,742,glasses,眼镜,نظارات,np,眼镜
742,743,Glasses up!,举杯!,,sent,举杯 !
743,744,go,去,ذهب,vp,去
744,745,Go all the way to the back and turn right.,往里走到头然后右转。,,sent,往里 走 到头 然后 右转 。
745,746,Go right ahead.,请过。,,sent,请过 。
746,747,Go straight following the sign ang you will see the gate.,跟着指示走，你将看到登机口。,,sent,跟着 指示 走 ， 你 将 看到 登机口 。
747,748,Go straight.,直走,انطلق الى الأمام.,sent,直走
748,749,"Go this way, please.",请这边走。,,sent,请 这边 走 。
749,750,"Go through the gate, please.",请通过安全门。,,sent,请 通过 安全门 。
750,751,gold,金色,ذهب,adj,金色
751,752,good at,擅长于,,np,擅长于
752,753,Good evening.,晚上好。,مساء الخير.,sent,晚上 好 。
753,754,good for passage between,旅行经停地点,,np,旅行 经停 地点
754,755,Good morning.,早安。,صباح الخير.,sent,早安 。
755,756,Good night.,晚安。,تصبح على خير,sent,晚安 。
756,757,Good.,好！,جيد!,sent,好 ！
757,758,Goodbye,再见。,مع السلامة,sent,再见 。
758,759,Goods Prohibited To Be Hand-Carried.,禁止随身携带的物品。,,sent,禁止 随身携带 的 物品 。
759,760,Goods Prohibited To Exit The Country.,禁止携带出境的物品。,,sent,禁止 携带 出境 的 物品 。
760,761,government-supportedstudent,公费生,,np,公费生
761,762,graduate,毕业生,,np,毕业生
762,763,graduate student,研究生,,np,研究生
763,764,grandchildren,孙辈,,np,孙辈
764,765,granddaughter,孙女,,np,孙女
765,766,grandfather,祖父,,np,祖父
766,767,grandma,奶奶,,np,奶奶
767,768,grandmother,祖母,,np,祖母
768,769,grandpa,爷爷,,np,爷爷
769,770,grandson,孙子,,np,孙子
770,771,granulated sugar,砂糖,,np,砂糖
771,772,great-aunt,叔、伯祖母,,np,叔 、 伯祖母
772,773,great-granddaughter,曾孙女,,np,曾孙女
773,774,great-grandfather,曾祖父,,np,曾祖父
774,775,great-grandmother,曾祖母,,np,曾祖母
775,776,great-grandson,曾孙,,np,曾孙
776,777,great-uncle,叔、伯祖父,,np,叔 、 伯 祖父
777,778,Great.,很棒！,عظيم.,sent,很棒 ！
778,779,Greece,希腊,اليونان,np,希腊
779,780,green,绿色,أخضر,adj,绿色
780,781,green onion,葱,,np,葱
781,782,green tea,绿茶,شاي أخضر,np,绿茶
782,783,greeting arriving,迎宾处,,np,迎宾 处
783,784,Grenada,格林纳达,غرينادا,np,格林纳达
784,785,grey,灰色,رمادي,adj,灰色
785,786,Guadalajara,瓜达拉哈拉,غوادالاخارا,np,瓜达拉哈拉
786,787,Guangzhou,广州,قوانغتشو,np,广州
787,788,Guatemala,危地马拉,غواتيمالا,np,危地马拉
788,789,Guest Room Dept.,客房部,,sent,客房部
789,790,Guest Rooms In This Hotel Are Not Equipped With Wireless(Wifi) High Speed Internet Access.,本酒店旅客房间内没有无线上网设施。,,sent,本 酒店 旅客 房间内 没有 无线 上网 设施 。
790,791,Guest Safety Tips.,旅客安全提示。,,sent,旅客 安全 提示 。
791,792,guest student,旁听生,,np,旁听生
792,793,Guinea,几内亚,غينيا,np,几内亚
793,794,Guinea-Bissau,几内亚比绍,غينيا بيساو,np,几内亚比绍
794,795,Guyana,圭亚那,غيانا,np,圭亚那
795,796,hair,头发,شعر,np,头发
796,797,Hair Dryer,头发吹风机,,sent,头发 吹风机
797,798,Haiti,海地,هايتي,np,海地
798,799,half,半,نصف,adj,半
799,800,Halifax,哈利法克斯,هاليفاكس,np,哈利法克斯
800,801,ham,火腿,خنزير,np,火腿
801,802,Hamburg,汉堡,هامبورغ,np,汉堡
802,803,Hamilton,汉密尔顿,هاميلتون,np,汉密尔顿
803,804,Handicapped Room.,残疾人房间。,,sent,残疾人 房间 。
804,805,handle with care,小心轻放,,np,小心 轻放
805,806,hands,手,أيادي,np,手
806,807,hands off,请勿用手摸,,np,请勿 用 手摸
807,808,Havana,哈瓦那,هافانا,np,哈瓦那
808,809,Have a nice flight!,飞行愉快!,,sent,飞行 愉快 !
809,810,Have we ever met?,我们以前见过面吗?,,sent,我们 以前 见过面 吗 ?
810,811,Have you made a reservation?,您预订订座了吗?,,sent,您 预订 订座 了 吗 ?
811,812,Have you met before?,你们以前见过吗?,,sent,你们 以前 见 过 吗 ?
812,813,Have your ticket and passport ready for the check-in agent.,请将机票和护照准备好办理登机手续。,,sent,请 将 机票 和 护照 准备 好 办理 登机 手续 。
813,814,hazelnut cappuccino,榛子卡布奇诺,,np,榛子 卡布奇诺
814,815,hazelnut latte,榛子咖啡拿铁,,np,榛子 咖啡 拿 铁
815,816,he,他,هو,np,他
816,817,He's a nice guy.,他是个好人。,,sent,他 是 个 好人 。
817,818,head,头,رئس,np,头
818,819,health,健康状况,,np,健康状况
819,820,health condition,健康状况,,np,健康状况
820,821,heater,暖气,مدفأة,np,暖气
821,822,height,身高,,np,身高
822,823,heir,继承人,,np,继承人
823,824,helicopter,直升机,,np,直升机
824,825,heliport,直升飞机场,,np,直升飞机 场
825,826,Hello.,你好。,مرحبا.,sent,你好 。
826,827,help desk,问讯处,,np,问讯处
827,828,Help!,救命！,النجدة!,sent,救命 ！
828,829,Helsinki,赫尔辛基,هلسنكي,np,赫尔辛基
829,830,herb,香草,,np,香草
830,831,here,这里,هنا,adv,这里
831,832,Here are my passport and ticket.,这是我的护照和机票。,,sent,这 是 我 的 护照 和 机票 。
832,833,Here by yourself?,你自己一个人吗？,هل أنت هنا لوحدك؟,sent,你 自己 一个 人 吗 ？
833,834,Here is your boarding pass.,这是您的登机牌。,,sent,这 是 您 的 登机牌 。
834,835,Here is your receipt.,这是给您的没收单据。,,sent,这 是 给 您 的 没收 单据 。
835,836,Here it is.,在这儿。,,sent,在 这儿 。
836,837,"Here, take one of these trolleys.",在这，取一辆手推车吧。,,sent,在 这 ， 取 一辆 手推车 吧 。
837,838,Here's my business card.,这是我的名片。,,sent,这 是 我 的 名片 。
838,839,Here's the menu.,这是菜单。,,sent,这是 菜单 。
839,840,Here's your medicine.,这是给你的药。,,sent,这 是 给 你 的 药 。
840,841,"Here's your ticket, boarding pass, passport and baggage claim tag.",这是您的机票，登机证，护照和行李提领证。,,sent,这 是 您 的 机票 ， 登机 证 ， 护照 和 行李 提 领证 。
841,842,"Here's your ticket, your boarding pass and the tag of your baggage.",这是您的机票、登机牌和行李签。,,sent,这 是 您 的 机票 、 登机牌 和 行李 签 。
842,843,Hi!,你好！,مرحبا!,sent,你好 ！
843,844,high ball,高杯,,np,高杯
844,845,High-Speed Wireless Internet.,高速无线上网,,sent,高速 无线 上网
845,846,Hiroshima,广岛,هيروشيما,np,广岛
846,847,Ho Chi Minh City,胡志明市,مدينة هو تشي مينه,np,胡志明市
847,848,Hold on a second please.,请稍等。,انتظر ثانية.,sent,请稍等 。
848,849,home phone,住宅电话,,np,住宅 电话
849,850,Honduras,洪都拉斯,هندوراس,np,洪都拉斯
850,851,honey,蜂蜜,,np,蜂蜜
851,852,Hong Kong,香港,هونغ كونغ,np,香港
852,853,Hospitality Promise,服务承诺,,sent,服务 承诺
853,854,hot red pepper,辣椒,,np,辣椒
854,855,hotel,酒店／旅馆,فندق,np,酒店 ／ 旅馆
855,856,hotel reservation,订旅馆,,np,订 旅馆
856,857,House Keeping Dept,客房部,,sent,客房部
857,858,house number,门牌,,np,门牌
858,859,How about * cuisine?,*餐呢?,,vp,* 餐 呢 ?
859,860,How about a coffee?,来杯咖啡怎么样?,,sent,来杯 咖啡 怎么样 ?
860,861,How about this table?,这张桌子可以吗?,,sent,这张 桌子 可以 吗 ?
861,862,How are you feeling now?,现在感觉如何?,,sent,现在 感觉 如何 ?
862,863,How are you?,你好吗？,كيف حالك,sent,你好 吗 ？
863,864,How can I contact you?,我怎么联系你呢?,,sent,我 怎么 联系 你 呢 ?
864,865,How can I get to the baggage claim area?,去行李领取处怎么走呢?,,sent,去 行李 领取 处 怎么 走 呢 ?
865,866,How do I deal with my luggage?,我的行李怎么办呢?,,sent,我 的 行李 怎么办 呢 ?
866,867,How do I get to * ?,怎么去*?,كيف أصل إلى *؟,vp,怎么 去 * ?
867,868,How do I recline my seat?,我怎么让我的椅子躺下?,,sent,我 怎么 让 我 的 椅子 躺 下 ?
868,869,How do I turn on the light?,请问怎样开阅读灯?,,sent,请问 怎样 开 阅读 灯 ?
869,870,"How do you spell it, please?",请问怎么拼写呢?,,sent,请问 怎么 拼写 呢 ?
870,871,"How do you spell that, please?",请讲一下是怎么拼写的?,,sent,请 讲 一下 是 怎么 拼写 的 ?
871,872,How long do you plan to stay?,你计划住多久?,,sent,你 计划 住 多久 ?
872,873,How long will it take?,这需要多长时间?,,sent,这 需要 多长时间 ?
873,874,How long will you be staying?,请问你要住多久?,,sent,请问 你 要 住 多久 ?
874,875,How many bags do you want to check in?,您要托运几个包裹?,,sent,您 要 托运 几个 包裹 ?
875,876,"How many of you, please?",请问几位?,,sent,请问 几位 ?
876,877,How many people are in your family?,你家有几口人?,,sent,你家 有 几口 人 ?
877,878,How many people please?,请问几个人?,,sent,请问 几个 人 ?
878,879,How many pieces of luggage do you have?,您有几件行李?,,sent,您 有 几件 行李 ?
879,880,How many?,几个人?,,sent,几个 人 ?
880,881,How much does it cost to get to *?,去*要多少钱？,كم سيكلفني الذهاب إلى *؟,vp,去 * 要 多少 钱 ？
881,882,How much dose this meat weight?,这肉有多重?,,sent,这肉 有 多重 ?
882,883,How much is *?,多少钱 *？,كم ثمن *؟,vp,多少 钱   * ？
883,884,How much is a room for one person per night?,单人房一晚多少钱？,ما سعر الغرفة لفرد واحد؟,sent,单人房 一 晚 多少 钱 ？
884,885,How much is a room for two people per night?,双人房一晚多少钱？,ما سعر الغرفة لفردين؟,sent,双人房 一 晚 多少 钱 ？
885,886,How much is a ticket to *?,去*的票多少钱？,ما سعر التذكرة الى *؟,vp,去 * 的 票 多少 钱 ？
886,887,How much is it per hour?,一小时是多少钱？,ما السعر للساعة؟,sent,一 小时 是 多少 钱 ？
887,888,How much is it to call to *?,打给*是多少钱？,ما سعر المكالمة الى *؟,vp,打 给 * 是 多少 钱 ？
888,889,How much is it to get in?,入场费多少钱？,ما سعر تذكرة الدخول؟,sent,入场费 多少 钱 ？
889,890,How much is the fare?,票价多少钱?,,sent,票价 多少 钱 ?
890,891,How much is the round trip?,往返票多少钱?,,sent,往返票 多少 钱 ?
891,892,How much is the ticket?,这票多少钱?,,sent,这票 多少 钱 ?
892,893,How much is this?,多少钱？,بكم هذا؟,sent,多少 钱 ？
893,894,How much longer are we going to have to wait for our dinner?,我们还要等多久才能吃上饭呢?,,sent,我们 还要 等 多久 才能 吃 上 饭 呢 ?
894,895,How much?,多少？,بكم؟,sent,多少 ？
895,896,How old are you?,你多大了?,,sent,你 多 大 了 ?
896,897,How was your flight?,你的旅途怎么样呢?,,sent,你 的 旅途 怎么样 呢 ?
897,898,How was your meal?,这一顿饭怎么样？,كيف كانت وجبتك؟,sent,这 一顿饭 怎么样 ？
898,899,How would you like to pay for it?,您准备怎样付款呢?,,sent,您 准备 怎样 付款 呢 ?
899,900,How would you like your coffee?,你喝什么样的咖啡?,,sent,你 喝 什么样 的 咖啡 ?
900,901,humorous,有幽默,,np,有 幽默
901,902,hundred,一百,مائة,num,一百
902,903,hundred million,一亿,مائة مليون,num,一亿
903,904,hundred thousand,十万,مائة ألف,num,十万
904,905,Hungary,匈牙利,المجر,np,匈牙利
905,906,husband,丈夫,,np,丈夫
906,907,Hyderabad,海得拉巴,حيدر أباد,np,海得拉巴
907,908,I,我,انا,np,我
908,909,I am *.,我是*。,انا *.,vp,我 是 * 。
909,910,I am afraid that all the room with a view to the sea have been booked.,恐怕所有看得到海的房间都已经被预订了。,,sent,恐怕 所有 看 得到 海 的 房间 都 已经 被 预订 了 。
910,911,I am from *.,我从*来。,أنا من *.,vp,我 从 * 来 。
911,912,I am getting my car at the parking lot.,我去停车场取车。,,sent,我 去 停车场 取车 。
912,913,I am going to transfer in *.,我要转机去*。,,vp,我要 转机 去 * 。
913,914,I am interested in ….,我的爱好是…,,sent,我 的 爱好 是 …
914,915,I am sick.,我生病了。,انا مريض,sent,我 生病 了 。
915,916,I booked a single room in your hotel for *.,我在你们宾馆预定了这周五的单人房间。,,vp,我 在 你们 宾馆 预定 了 这 周五 的 单人 房间 。
916,917,I can a little.,只会一点。,,sent,只会 一点 。
917,918,I can't afford it.,我付不起。,لا أستطيع تحمل هذا,sent,我付 不起 。
918,919,I can't find my baggage.,我找不到行李了。,,sent,我 找 不到 行李 了 。
919,920,I can't find the pet food.,我找不到宠物食品。,,sent,我 找 不到 宠物食品 。
920,921,I can't get my bag to fit into the overhead compartment.,我的包放不进上面的行李箱了。,,sent,我 的 包放 不进 上面 的 行李箱 了 。
921,922,I can't speak *.,我不会讲*。,لا اتكلم *.,vp,我 不会 讲 * 。
922,923,I can't understand why this restaurant always serves so slowly.,我不明白这个饭店为什么总是上菜这么慢。,,sent,我 不 明白 这个 饭店 为什么 总是 上菜 这么 慢 。
923,924,I come from *.,我从加拿大来。,,vp,我 从 加拿大 来 。
924,925,I didn't reserve a table.,我没有预订.,,sent,我 没有 预订 .
925,926,I don't eat *.,我不吃*。,لا آكل *.,vp,我 不吃 * 。
926,927,I don't feel well.,我觉的不太舒服。,,sent,我觉 的 不 太 舒服 。
927,928,I don't have *.,我没有*。,ليس عندي *.,vp,我 没有 * 。
928,929,I don't like this table.,我不喜欢这张桌子。,,sent,我 不 喜欢 这张 桌子 。
929,930,I don't like your attitude.,我不喜欢你的态度。,,sent,我 不 喜欢 你 的 态度 。
930,931,I don't speak *.,我不能说*。,لا أتحدث *.,vp,我 不能 说 * 。
931,932,I don't think I ordered this dish.,我想我没有点这个菜。,,sent,我 想 我 没有 点 这个 菜 。
932,933,I don't think this fish is proberly cooked.,我觉得这鱼好像没做熟。,,sent,我 觉得 这鱼 好像 没 做 熟 。
933,934,I don't understand (something heard).,我听不懂。,أنا لا أفهم,sent,我 听不懂 。
934,935,I don't understand.,我听不懂。,أنا لا أفهم,sent,我 听不懂 。
935,936,I don't want *.,我不要*。,لا أريد *.,vp,我 不要 * 。
936,937,I don't want it.,我不要。,أنا لا أريده,sent,我 不要 。
937,938,I don't want the yolk to be too well-done.,我不要蛋黄做的太老。,,sent,我 不要 蛋黄 做 的 太 老 。
938,939,I don't want to eat there.,我不想在那儿吃。,,sent,我 不想 在 那儿 吃 。
939,940,I don't want to intake any sugar.,我不想摄入糖分。,,sent,我 不想 摄入 糖分 。
940,941,I feel a little bit cold.,我觉得有点冷。,,sent,我 觉得 有点 冷 。
941,942,I feel dizzy and weak. And I'm having this pain in my ear.,我感觉头晕、虚弱，耳朵也有点疼。,,sent,我 感觉 头晕 、 虚弱 ， 耳朵 也 有点 疼 。
942,943,I feel like vomiting.,我想吐。,,sent,我 想 吐 。
943,944,"I feel very tired, because it's a very long flight.",我感觉很累，因为飞行时间很长。,,sent,我 感觉 很累 ， 因为 飞行 时间 很长 。
944,945,I guess that's OK.,我想就那个吧。,,sent,我 想 就 那个 吧 。
945,946,I have *.,我有*。,لدي *.,vp,我 有 * 。
946,947,I have a little airsickness.,我有点晕机。,,sent,我 有点 晕机 。
947,948,I have a reservation under *.,我有在*名下的预订。,,vp,我 有 在 * 名下 的 预订 。
948,949,I have arrived.,我到了。,لقد وصلت.,sent,我 到 了 。
949,950,I have cancelled your reservation.,我已经取消了你的预定。,,sent,我 已经 取消 了 你 的 预定 。
950,951,I have to transfer to *.,我必须转机去*。,,vp,我 必须 转机 去 * 。
951,952,I haven't done anything wrong.,我没有做错事。,ما عملت اشي غلط.,sent,我 没有 做错事 。
952,953,I hope you enjoy your meal.,我希望您喜欢您的食物。,,sent,我 希望 您 喜欢 您 的 食物 。
953,954,I just heard an announcement that my flight has been delayed.,我刚听到广播说我的班机延迟了。,,sent,我刚 听到 广播 说 我 的 班机 延迟 了 。
954,955,I like *.,我喜欢 *。,انا يعجبني *.,vp,我 喜欢   * 。
955,956,I live alone.,我一个人住。,,sent,我 一个 人住 。
956,957,I live in an apartment.,我住在一个公寓里。,,sent,我 住 在 一个 公寓 里 。
957,958,I lost my *.,我丢了我的*。,فقدت *.,vp,我 丢 了 我 的 * 。
958,959,I lost my bag.,我丢了我的包包。,فقدت حقيبتي.,sent,我 丢 了 我 的 包包 。
959,960,I lost my baggage.,我的行李不见了。,,sent,我 的 行李 不见 了 。
960,961,I love *.,我爱 *。,أنا أحب *.,vp,我 爱   * 。
961,962,I might have made a mistake.,我可能搞错了。,,sent,我 可能 搞错 了 。
962,963,I need *.,我要*。,احتاج *.,vp,我要 * 。
963,964,I need a doctor.,我需要医生。,أحتاج طبيب.,sent,我 需要 医生 。
964,965,I need a shopping cart.,我需要一辆购物车。,,sent,我 需要 一辆 购物车 。
965,966,I need an airsickness bag.,我需要一个呕吐袋。,,sent,我 需要 一个 呕吐 袋 。
966,967,I need more coffee.,我要加点咖啡。,,sent,我要 加点 咖啡 。
967,968,I need to change my flight date.,我需要更改航班日期。,,sent,我 需要 更改 航班 日期 。
968,969,I need to see your passport.,我需要看一下你的护照。,أ حتاج أن أرى جواز سفرك,sent,我 需要 看 一下 你 的 护照 。
969,970,I need to talk to a lawyer.,我要跟律师联系。,أريد التحدث مع محامي,sent,我要 跟 律师 联系 。
970,971,I need your help.,我需要你的帮助。,أحتاج مساعدة لو سمحت.,sent,我 需要 你 的 帮助 。
971,972,I only eat Halal food.,我只吃清真食品。,أنا آكل الطعام الحلال فقط.,sent,我 只 吃 清真 食品 。
972,973,I only speak *.,我只说*。,,vp,我 只 说 * 。
973,974,I order my meal a while ago and it still hasn't come.,我很久以前点的餐，到现在还没来。,,sent,我 很久以前 点 的 餐 ， 到 现在 还 没来 。
974,975,I see. When can I receive your confirmation?,明白了。我什么时候可以得到你们的确认?,,sent,明白 了 。 我 什么 时候 可以 得到 你们 的 确认 ?
975,976,I take it black.,我喜欢黑咖啡。,,sent,我 喜欢 黑 咖啡 。
976,977,I think beef is better.,我想牛肉比较好。,,sent,我 想 牛肉 比较 好 。
977,978,I think I am sick.,我想我是病了。,,sent,我 想 我 是 病 了 。
978,979,I think this is my seat.,我想这是我的座位。,,sent,我 想 这 是 我 的 座位 。
979,980,I think we should go and have a try.,我们应该去试试。,,sent,我们 应该 去 试试 。
980,981,I think we'd like to take that one by the window.,我们想还是靠窗的那张吧。,,sent,我们 想 还是 靠窗 的 那 张 吧 。
981,982,I think you have made a mistake with my order.,我想你上错我的点的菜了。,,sent,我 想 你 上 错 我 的 点 的 菜 了 。
982,983,I want *.,我想要*。,أريد *.,vp,我 想要 * 。
983,984,I want a dish with *.,我想吃*的菜。,أريد أن آكل طبق مع *.,vp,我 想 吃 * 的 菜 。
984,985,I want doggy bags.,我需要打包袋。,,sent,我 需要 打 包袋 。
985,986,I want to book one ticket for the next flight to *.,我想预订一张飞往*的下一班机票。,,vp,我 想 预订 一张 飞往 * 的 下 一班 机票 。
986,987,I want to check out.,我要退房。,أريد أن أدفع لاغادر.,sent,我要 退房 。
987,988,I want to rent a car.,我想要租车。,أريد ايجار سيارة.,sent,我 想要 租车 。
988,989,I want to talk to the * embassy.,我希望跟*大使馆联系。,أود بالتحدث مع سّفارة *.,vp,我 希望 跟 * 大使馆 联系 。
989,990,I want you to meet *.,我想让你见见*。,,vp,我 想 让 你 见见 * 。
990,991,I will stay for * night(s).,我打算住*夜。,سأقيم * ليلى,vp,我 打算 住 * 夜 。
991,992,I wish you a happy joumey.,祝您旅途愉快。,,sent,祝您 旅途愉快 。
992,993,I work at the *.,我在*工作。,أعمل في *.,vp,我 在 * 工作 。
993,994,I work in government.,我在政府部门上班。,,sent,我 在 政府部门 上班 。
994,995,I would like *.,我想要 *。,أود *.,vp,我 想要   * 。
995,996,I would like to make flight reservations.,我想预订机票。,,sent,我 想 预订 机票 。
996,997,I would rather pay.,我付钱好了。,,sent,我 付钱 好 了 。
997,998,I'd like *.,我想要*。,أنا أحب *.,vp,我 想要 * 。
998,999,I'd like a coffee with sugar.,我想要杯加糖的咖啡。,,sent,我 想要 杯 加糖 的 咖啡 。
999,1000,I'd like a coffee.,我想要杯咖啡。,,sent,我 想要 杯 咖啡 。
1000,1001,I'd like a decaf.,来一杯没有咖啡因的咖啡。,,sent,来 一杯 没有 咖啡因 的 咖啡 。
1001,1002,"I'd like a refill, please.",请给我续一杯。,,sent,请 给 我续 一杯 。
1002,1003,I'd like a standard room.,我要一个标准间。,,sent,我要 一个 标准间 。
1003,1004,I'd like an aisle seat.,我想要一个走廊的座位。,,sent,我 想要 一个 走廊 的 座位 。
1004,1005,I'd like reserve a room facing the sea.,我想订个临海的房间。,,sent,我想 订个 临海 的 房间 。
1005,1006,I'd like some bananas.,我想要些香蕉。,,sent,我 想要 些 香蕉 。
