,Unnamed: 0,en,cn,ar,pos
510,511,Do you have any particular restaurant in mind?,你 想 好 有 什么 特别 的 餐馆 吗 ?,,sent
511,512,Do you have any rooms available?,你们 还有 房间 吗 ？,هل لديك أي غرف متاحة؟,sent
512,513,Do you have any snacks?,有没有 小吃 ？ 有没有 点心 ？,هل لديك أي وجبات خفيفة؟,sent
513,514,Do you have any sugar substitute?,你们 有 代糖 的 吗 ?,,sent
514,515,Do you have any tickets available for that date?,你们 有 那天 的 票 吗 ?,,sent
515,516,Do you have anything for airsickness?,你们 有 晕机 药 吗 ?,,sent
516,517,Do you have insurance?,你 有 保险 吗 ？,هل لديك تأمين؟,sent
517,518,Do you have it in another color?,你们 有没有 另外 的 颜色 ?,هل لديك لون آخر؟,sent
518,519,Do you have more of this item in stock?,这种 商品 还有 存货 吗 ?,,sent
519,520,Do you have one to recommend?,你 有 推荐 的 吗 ?,,sent
520,521,Do you have the boarding pass for the next flight?,您 有 下 一趟 航班 的 登机牌 吗 ?,,sent
521,522,Do you have this in my size?,有没有 我 的 尺寸 ？,هل لديكم من هذه بمقاسي؟,sent
522,523,Do you have this in stock?,这个 还有 存货 吗 ?,,sent
523,524,Do you have time for coffee?,你 有空 喝杯 咖啡 吗 ?,,sent
524,525,Do you know *?,你 知道 * 吗 ？,هل تعلم *؟,vp
525,526,Do you know how long it will be?,你 知道 会 延误 多久 吗 ?,,sent
526,527,Do you live with your parents?,你 和 父母 住在一起 吗 ?,,sent
527,528,Do you mind changing seats with me?,你 介意 跟 我 换下 座位 吗 ?,,sent
528,529,Do you prefer a smoking or non-smoking area?,您 喜欢 吸烟区 还 是非 吸烟区 ?,,sent
529,530,Do you remember which aisle this was at?,你 记得 这 货物 在 哪条 货道 里 吗 ?,,sent
530,531,Do you sell organic vegetables here?,你们 卖 有机 蔬菜 吗 ?,,sent
531,532,Do you serve alcohol?,你们 销售 酒精类 饮品 吗 ？,هل تقدمون أي خمور؟,sent
532,533,Do you serve anything else besides drinks?,除了 喝 的 你们 这 还有 什么 别的 吗 ?,,sent
533,534,Do you ship overseas?,可以 邮寄 到 海外 吗 ？,هل هن,sent
534,535,Do you speak *?,你 说 日语 吗 ?,,vp
535,536,Do you speak English?,你 会 说 英语 吗 ？,هل هناك شحن دولى؟,sent
536,537,Do you take * currency?,* 元 可以 吗 ？,هل تقبلون عملة *؟,vp
537,538,Do you think you could tell the kitchen to speed it up a little bit?,你 能 告诉 厨房 速度 快 一点 吗 ?,,sent
538,539,Do you understand?,听得懂 吗 ？,مفهوم؟,sent
539,540,Do you want to fly first or economy class?,您 要 头等舱 还是 经济舱 ?,,sent
540,541,Do you want to try it?,你 要 不要 尝 一下 ?,,sent
541,542,doctor,博士,,np
542,543,Does it need to take so long?,用花 那么 长时间 吗 ?,,sent
543,544,Does that include breakfast?,早餐 包含 在内 吗 ？,هل هذا يشمل وجبة الافطار؟,sent
544,545,Does that really work? I'll give it a try.,真的 有用吗 ?   我来 试试 。,,sent
545,546,Does the room come with *?,这个 房间 有没有 * ？,هل تحتوي هذه الغرفة على *؟,vp
546,547,Does this bus stop in *?,这辆 巴士 停 在 * 吗 ？,هل تتوقف هذه الحافلة في *؟,vp
547,548,Does this train stop in *?,这列 火车 停 在 * 吗 ？,هل يتوقف هذا القطار في *؟,vp
548,549,Doesn't matter.,没关系 。,,sent
549,550,dogs not allowed,禁止 携犬入 内,,np
550,551,domestic airport,国内 机场,,np
551,552,domestic departure,国内 航班 出站,,np
552,553,Domestic Departure.,国内 出发 。,,sent
553,554,domestic flight,国内 班机,,np
554,555,domestic flights,国内 航班,,np
555,556,Domestic Flights.,国内 航班 。,,sent
556,557,Dominica,多米尼加,دومينيكا,np
557,558,Dominican Republic,多明尼加 共和国,جمهورية الدومنيكان,np
558,559,Don't Leave Valuables Unattended.,请 保管 好 随身携带 的 贵重物品 。,,sent
559,560,Don't touch me!,不要 碰 我 ！,لا تلمسني!,sent
560,561,Don't worry. It's just due to the lower pressure.,不用 担心 。 只是 由于 低气压 的 缘故 。,,sent
561,562,Double Lock Door. Use Safety Latch.,双保险 门闩 ， 请 使用 安全 碰锁 。,,sent
562,563,downstairs,由此 下楼,,np
563,564,downtown,市中心,وسط البلد,np
564,565,drink list,酒水 单,,np
565,566,driver's license,驾驶证 件,رخصة قيادة,np
566,567,Dubai,迪拜,دبي,np
567,568,Dublin,都柏林,دبلن,np
568,569,duel citizenship,双重国籍,,np
569,570,dumpling,饺子,زلابية,np
570,571,Dusseldorf,杜塞尔多夫,دوسلدورف,np
571,572,dutiful,尽职 的,,np
572,573,duty-free shop,免税店,,np
573,574,Early Book For Lunch Or Dinner.,预订 午餐 或 晚餐 。,,sent
574,575,Earphone Set.,耳机 。,,sent
575,576,ears,耳朵,آذان,np
576,577,east,东,شرق,adj
577,578,East Box,东厢,,sent
578,579,East Timor,东帝汶,تيمور الشرقية,np
579,580,East Wing,东楼,,sent
580,581,Easy to use and great value too.,好用 实惠 ， 物美价廉 。,,sent
581,582,economy class,经济舱,,np
582,583,"Economy, please.",请 买 经济舱 。,,sent
583,584,Ecuador,厄瓜多尔,الإكوادور,np
584,585,Edinburgh,爱丁堡,ادنبره,np
585,586,Edmonton,埃德蒙顿,ادمونتون,np
586,587,education,学历,,np
587,588,educational background,教育 程度,,np
588,589,educational history,学历,,np
589,590,educational system,学制,,np
590,591,efficient,有效率 的,,np
591,592,eggs,鸡蛋,بيض,np
592,593,Egypt,埃及,مصر,np
593,594,eight,八,ثمانية,num
594,595,El Salvador,萨尔瓦多,السلفادور,np
595,596,elder brothe,哥哥,,np
596,597,elder sister,姐姐,,np
597,598,emergency exit,安全 出口,,np
598,599,Emergency Exit.,紧急 出口 。,,sent
599,600,emergency exits,紧急 出口,,np
600,601,Employees Must Wash Hands Before Returning To Work.,员工 便 后 必须 洗手 方可 回到 工作岗位 。,,sent
601,602,energetic,精力充沛 的,,np
602,603,English books,英文书,كتب إنجليزية,np
603,604,English magazines,英文 杂志,مجلات انجليزية,np
604,605,English newspaper,英文 报纸,جريدة إنجليزية,np
605,606,Enjoy your flight!,飞行 愉快 !,,sent
606,607,Enjoy your meal.,祝您 用餐 愉快 。,,sent
607,608,entrance,入口,دخول,np
608,609,Equatorial Guinea,赤道几内亚,غينيا الإستوائية,np
609,610,Eritrea,厄立特里亚,إريتريا,np
610,611,espresso,意大利 浓咖啡,,np
611,612,espresso con panna,浓缩 咖啡 康保 蓝,,np
612,613,espresso cup,特浓杯,,np
613,614,espresso macchiato,浓缩 咖啡 玛奇朵,,np
614,615,Estonia,爱沙尼亚,استونيا,np
615,616,Ethiopia,埃塞俄比亚,أثيوبيا,np
616,617,evening,晚上,مساء,np
617,618,Everything checks out.,一切 检查 完毕 。,,sent
618,619,ex-husband,前夫,,np
619,620,ex-wife,前妻,,np
620,621,excellent,极佳,,np
621,622,Excellent!,太棒了 ！,ممتاز!,sent
622,623,"Excuse me, but is the reservation for you?",对不起 ， 是 您 预定 的 ?,,sent
623,624,"Excuse me, this is my bag.",借过一下 ， 这 是 我 的 行李 。,,sent
624,625,Excuse me. (begging pardon),打扰 一下 。,أعذرني,sent
625,626,Excuse me. (coming through),对不起 。,لو سمحت,sent
626,627,Excuse me. (getting attention),请问 。,معذرة,sent
627,628,Excuse me. What would you like to eat?,打扰 一下 ， 请问 您 要 吃 什么 ?,,sent
628,629,Excuse me. You have my seat.,不好意思 ， 你 坐 到 我 的 位子 了 。,,sent
629,630,Executive Business Centre.,行政 商务中心,,sent
630,631,Exercise Facilities,锻炼 设施,,sent
631,632,exit,出口,خروج,np
632,633,Exit To All Routes.,各 通道 出口 。,,sent
633,634,expensive,贵,غالي,adj
634,635,Express Pass.,快速通道 。,,sent
635,636,expressivity,善于 表达,,np
636,637,extern,走读生,,np
637,638,eyes,眼睛,عيون,sent
638,639,face,脸,وجه,np
639,640,faithful,忠诚 的,,np
640,641,family,家庭,,np
641,642,family name,姓,,np
642,643,family status,家庭 状况,,np
643,644,far-sighted,远视,,np
644,645,fare class,座舱 等级,,np
645,646,farmer,农民,,np
646,647,Fasten Seat Belt While Seated.,就 坐 后 请系 好 安全带 。,,sent
647,648,father,父亲,,np
648,649,father-in-law,公公,,np
649,650,Fax And Copy Service.,传真 复印 服务 。,,sent
650,651,February,二月,فبراير,np
651,652,feet,脚,أقدام,np
652,653,female,女 的,إناثا,np
653,654,fever,发烧,حمة,np
654,655,fifty thousand,五万,خمسون ألف,num
655,656,Fiji,斐,فيجي,np
656,657,Fill out this form.,填 一下 这 张表 。,,sent
657,658,filling station,加油站,,np
658,659,"Fine, thank you.","很 好 ,   谢谢 。",بخير، شكرا لك.,sent
659,660,fingers,手指,أصابع,np
660,661,Finland,芬兰,فنلندا,np
661,662,first class,头等舱,,np
662,663,first class cabin,头等舱,مقصورة درجة أولى,np
663,664,First class fare of a one-way ticket from * to is *.,至 * 的 单程 机票 ， 头等舱 是 * 。,,vp
664,665,first name,名,,np
665,666,fish,鱼,سمك,np
666,667,fitness center,健身 中心,,sent
667,668,five,五,خمسة,num
668,669,five hundred,五百,خمس مائة,num
669,670,fixed-price meal,定价 套餐,وجبة ثابتة السعر,np
670,671,flammable item,易燃物品,,np
671,672,Flammable items cannot be taken with you into the aircraft.,易燃品 不能 随身带 上 飞机 。,,sent
672,673,flight,飞行,,np
673,674,Flight * bound for *.,* 号 班机 ， 去 * 的 。,,vp
674,675,Flight * to * is now boarding.,飞往 * 的 * 班 ， 已经 开始 登机 。,,vp
675,676,flight connections,转机 处,,np
676,677,flight number,班机 号码,,np
677,678,Florence,佛罗伦萨,فلورنسا,np
678,679,Flying Time.,飞行 时间 。,,sent
679,680,food trolley,送 餐车,,np
680,681,foot rest,坐 着 的 时候 放脚 的 支撑物,,np
681,682,For * night(s).,订 * 个 晚上 。,,vp
682,683,For * people.,为 * 个人 。,ل* أشخاص.,vp
683,684,"For More On High Speed Internet Access, Including Trouble Shooting Information, Please Refer To The Guest Service Directory.",请 查阅 旅客 服务指南 获取 更 多 的 有关 高速 上网 以及 如何 排除故障 的 信息 。,,sent
684,685,For one person.,为 一个 人 。,لشخص واحد.,sent
685,686,For Reservation Call...,预订 服务 请 拨电话 ...,,sent
686,687,For two people.,为 两个 人 。,لشخصين.,sent
687,688,for use only in case of fire,灭火 专用,,np
688,689,For what time?,请问 什么 时间 入住 ?,,sent
689,690,"For Your Convenience, Cigarettes Are Available At The Front Desk.",为了 您 的 方便 ， 前台 有 香烟 出售 。,,sent
690,691,"For your own safety, please go back to your seat and fasten the seat belts. Thank you.",请 您 回到 您 的 座位 ， 并系 好 安全带 ， 以求 安全 。 谢谢您 的 合作 。,,sent
691,692,forbidden,被 禁止,ممنوع,adj
692,693,forced landing,迫降,,np
693,694,foster father,养父,,np
694,695,foster mother,养母,,np
695,696,four,四,أربعة,num
696,697,fragile,易碎,,np
697,698,France,法国,فرنسا,np
698,699,frank,真诚 的,,np
699,700,Frankfurt,法兰克福,فرانكفورت,np
700,701,free admission,免费入场,,np
701,702,Free In All Guest Rooms.,所有 房间内 免费 登陆 。,,sent
702,703,french coffee,法式 滴滤 咖啡,,np
703,704,french vanilla coffee,法国 香草 咖啡,,np
704,705,fresh ground coffee,现磨 咖啡,,np
705,706,Friday,星期五,يوم الجمعة,np
706,707,Fried eggs with ham.,火腿肠 煎蛋 。,,sent
707,708,fried rice,炒饭,أرز مقلي,np
708,709,friend,朋友,صديق,np
709,710,from,从,من,prt
710,711,From date * until *.,从 * 月 * 日到 * 日 。,,vp
711,712,Front Aisle,前廊,,sent
712,713,Front Counter,前台,,sent
713,714,Front Desk,前台,,sent
714,715,fruit cappuccino,果味 卡布奇诺,,np
715,716,fruits,水果,فاكهة,np
716,717,ft,英尺,,np
717,718,Full Central Heating With House Provided Hot Water * Hours.,中央 暖气 系统 ， 房间 * 小时 提供 热水 。,,vp
718,719,Fully Centrally Heated.,中央 暖气 全部 开放 。,,sent
719,720,Gabon,加蓬,الغابون,np
720,721,galley,飞机 上 的 厨房,,np
721,722,Gambia,冈比亚,غامبيا,np
722,723,Games Room.,游戏 房 。,,sent
723,724,garlic,蒜,,np
724,725,gas station,加油站,محطة بنزين,np
725,726,gate,登机口,,sent
726,727,Gaza,加沙,غزة,np
727,728,generation,代,,np
728,729,genteel,有 教养 的,,np
729,730,gentle,有 礼貌 的,,np
730,731,Georgia,格鲁吉亚,جورجيا,np
731,732,Germany,德国,ألمانيا,np
732,733,Ghana,加纳,غانا,np
733,734,ginge,姜,,np
734,735,Give me * pieces,给 我 来 * 块 吧 。,,vp
735,736,Give me a cup of coffee.,给 我 一杯 咖啡 。,,sent
736,737,Give me a decaf.,给 我 一杯 没有 咖啡因 的 咖啡 。,,sent
737,738,Give me a one-way ticket to *,给 我 一张 单程 到 * 的 票 。,,vp
738,739,Give me a pound of tomatoes and a pound of eggplants.,给 我 一磅 番茄 和 一磅 茄子 。,,sent
739,740,give way,快车 先行,,np
740,741,Glasgow,格拉斯哥,غلاسكو,np
741,742,glasses,眼镜,نظارات,np
742,743,Glasses up!,举杯 !,,sent
743,744,go,去,ذهب,vp
744,745,Go all the way to the back and turn right.,往里 走 到头 然后 右转 。,,sent
745,746,Go right ahead.,请过 。,,sent
746,747,Go straight following the sign ang you will see the gate.,跟着 指示 走 ， 你 将 看到 登机口 。,,sent
747,748,Go straight.,直走,انطلق الى الأمام.,sent
748,749,"Go this way, please.",请 这边 走 。,,sent
749,750,"Go through the gate, please.",请 通过 安全门 。,,sent
750,751,gold,金色,ذهب,adj
751,752,good at,擅长于,,np
752,753,Good evening.,晚上 好 。,مساء الخير.,sent
753,754,good for passage between,旅行 经停 地点,,np
754,755,Good morning.,早安 。,صباح الخير.,sent
755,756,Good night.,晚安 。,تصبح على خير,sent
756,757,Good.,好 ！,جيد!,sent
757,758,Goodbye,再见 。,مع السلامة,sent
758,759,Goods Prohibited To Be Hand-Carried.,禁止 随身携带 的 物品 。,,sent
759,760,Goods Prohibited To Exit The Country.,禁止 携带 出境 的 物品 。,,sent
760,761,government-supportedstudent,公费生,,np
761,762,graduate,毕业生,,np
762,763,graduate student,研究生,,np
763,764,grandchildren,孙辈,,np
764,765,granddaughter,孙女,,np
765,766,grandfather,祖父,,np
766,767,grandma,奶奶,,np
767,768,grandmother,祖母,,np
768,769,grandpa,爷爷,,np
769,770,grandson,孙子,,np
770,771,granulated sugar,砂糖,,np
771,772,great-aunt,叔 、 伯祖母,,np
772,773,great-granddaughter,曾孙女,,np
773,774,great-grandfather,曾祖父,,np
774,775,great-grandmother,曾祖母,,np
775,776,great-grandson,曾孙,,np
776,777,great-uncle,叔 、 伯 祖父,,np
777,778,Great.,很棒 ！,عظيم.,sent
778,779,Greece,希腊,اليونان,np
779,780,green,绿色,أخضر,adj
780,781,green onion,葱,,np
781,782,green tea,绿茶,شاي أخضر,np
782,783,greeting arriving,迎宾 处,,np
783,784,Grenada,格林纳达,غرينادا,np
784,785,grey,灰色,رمادي,adj
785,786,Guadalajara,瓜达拉哈拉,غوادالاخارا,np
786,787,Guangzhou,广州,قوانغتشو,np
787,788,Guatemala,危地马拉,غواتيمالا,np
788,789,Guest Room Dept.,客房部,,sent
789,790,Guest Rooms In This Hotel Are Not Equipped With Wireless(Wifi) High Speed Internet Access.,本 酒店 旅客 房间内 没有 无线 上网 设施 。,,sent
790,791,Guest Safety Tips.,旅客 安全 提示 。,,sent
791,792,guest student,旁听生,,np
792,793,Guinea,几内亚,غينيا,np
793,794,Guinea-Bissau,几内亚比绍,غينيا بيساو,np
794,795,Guyana,圭亚那,غيانا,np
795,796,hair,头发,شعر,np
796,797,Hair Dryer,头发 吹风机,,sent
797,798,Haiti,海地,هايتي,np
798,799,half,半,نصف,adj
799,800,Halifax,哈利法克斯,هاليفاكس,np
800,801,ham,火腿,خنزير,np
801,802,Hamburg,汉堡,هامبورغ,np
802,803,Hamilton,汉密尔顿,هاميلتون,np
803,804,Handicapped Room.,残疾人 房间 。,,sent
804,805,handle with care,小心 轻放,,np
805,806,hands,手,أيادي,np
806,807,hands off,请勿 用 手摸,,np
807,808,Havana,哈瓦那,هافانا,np
808,809,Have a nice flight!,飞行 愉快 !,,sent
809,810,Have we ever met?,我们 以前 见过面 吗 ?,,sent
810,811,Have you made a reservation?,您 预订 订座 了 吗 ?,,sent
811,812,Have you met before?,你们 以前 见 过 吗 ?,,sent
812,813,Have your ticket and passport ready for the check-in agent.,请 将 机票 和 护照 准备 好 办理 登机 手续 。,,sent
813,814,hazelnut cappuccino,榛子 卡布奇诺,,np
814,815,hazelnut latte,榛子 咖啡 拿 铁,,np
815,816,he,他,هو,np
816,817,He's a nice guy.,他 是 个 好人 。,,sent
817,818,head,头,رئس,np
818,819,health,健康状况,,np
819,820,health condition,健康状况,,np
820,821,heater,暖气,مدفأة,np
821,822,height,身高,,np
822,823,heir,继承人,,np
823,824,helicopter,直升机,,np
824,825,heliport,直升飞机 场,,np
825,826,Hello.,你好 。,مرحبا.,sent
826,827,help desk,问讯处,,np
827,828,Help!,救命 ！,النجدة!,sent
828,829,Helsinki,赫尔辛基,هلسنكي,np
829,830,herb,香草,,np
830,831,here,这里,هنا,adv
831,832,Here are my passport and ticket.,这 是 我 的 护照 和 机票 。,,sent
832,833,Here by yourself?,你 自己 一个 人 吗 ？,هل أنت هنا لوحدك؟,sent
833,834,Here is your boarding pass.,这 是 您 的 登机牌 。,,sent
834,835,Here is your receipt.,这 是 给 您 的 没收 单据 。,,sent
835,836,Here it is.,在 这儿 。,,sent
836,837,"Here, take one of these trolleys.",在 这 ， 取 一辆 手推车 吧 。,,sent
837,838,Here's my business card.,这 是 我 的 名片 。,,sent
838,839,Here's the menu.,这是 菜单 。,,sent
839,840,Here's your medicine.,这 是 给 你 的 药 。,,sent
840,841,"Here's your ticket, boarding pass, passport and baggage claim tag.",这 是 您 的 机票 ， 登机 证 ， 护照 和 行李 提 领证 。,,sent
841,842,"Here's your ticket, your boarding pass and the tag of your baggage.",这 是 您 的 机票 、 登机牌 和 行李 签 。,,sent
842,843,Hi!,你好 ！,مرحبا!,sent
843,844,high ball,高杯,,np
844,845,High-Speed Wireless Internet.,高速 无线 上网,,sent
845,846,Hiroshima,广岛,هيروشيما,np
846,847,Ho Chi Minh City,胡志明市,مدينة هو تشي مينه,np
847,848,Hold on a second please.,请稍等 。,انتظر ثانية.,sent
848,849,home phone,住宅 电话,,np
849,850,Honduras,洪都拉斯,هندوراس,np
850,851,honey,蜂蜜,,np
851,852,Hong Kong,香港,هونغ كونغ,np
852,853,Hospitality Promise,服务 承诺,,sent
853,854,hot red pepper,辣椒,,np
854,855,hotel,酒店 ／ 旅馆,فندق,np
855,856,hotel reservation,订 旅馆,,np
856,857,House Keeping Dept,客房部,,sent
857,858,house number,门牌,,np
858,859,How about * cuisine?,* 餐 呢 ?,,vp
859,860,How about a coffee?,来杯 咖啡 怎么样 ?,,sent
860,861,How about this table?,这张 桌子 可以 吗 ?,,sent
861,862,How are you feeling now?,现在 感觉 如何 ?,,sent
862,863,How are you?,你好 吗 ？,كيف حالك,sent
863,864,How can I contact you?,我 怎么 联系 你 呢 ?,,sent
864,865,How can I get to the baggage claim area?,去 行李 领取 处 怎么 走 呢 ?,,sent
865,866,How do I deal with my luggage?,我 的 行李 怎么办 呢 ?,,sent
866,867,How do I get to * ?,怎么 去 * ?,كيف أصل إلى *؟,vp
867,868,How do I recline my seat?,我 怎么 让 我 的 椅子 躺 下 ?,,sent
868,869,How do I turn on the light?,请问 怎样 开 阅读 灯 ?,,sent
869,870,"How do you spell it, please?",请问 怎么 拼写 呢 ?,,sent
870,871,"How do you spell that, please?",请 讲 一下 是 怎么 拼写 的 ?,,sent
871,872,How long do you plan to stay?,你 计划 住 多久 ?,,sent
872,873,How long will it take?,这 需要 多长时间 ?,,sent
873,874,How long will you be staying?,请问 你 要 住 多久 ?,,sent
874,875,How many bags do you want to check in?,您 要 托运 几个 包裹 ?,,sent
875,876,"How many of you, please?",请问 几位 ?,,sent
876,877,How many people are in your family?,你家 有 几口 人 ?,,sent
877,878,How many people please?,请问 几个 人 ?,,sent
878,879,How many pieces of luggage do you have?,您 有 几件 行李 ?,,sent
879,880,How many?,几个 人 ?,,sent
880,881,How much does it cost to get to *?,去 * 要 多少 钱 ？,كم سيكلفني الذهاب إلى *؟,vp
881,882,How much dose this meat weight?,这肉 有 多重 ?,,sent
882,883,How much is *?,多少 钱   * ？,كم ثمن *؟,vp
883,884,How much is a room for one person per night?,单人房 一 晚 多少 钱 ？,ما سعر الغرفة لفرد واحد؟,sent
884,885,How much is a room for two people per night?,双人房 一 晚 多少 钱 ？,ما سعر الغرفة لفردين؟,sent
885,886,How much is a ticket to *?,去 * 的 票 多少 钱 ？,ما سعر التذكرة الى *؟,vp
886,887,How much is it per hour?,一 小时 是 多少 钱 ？,ما السعر للساعة؟,sent
887,888,How much is it to call to *?,打 给 * 是 多少 钱 ？,ما سعر المكالمة الى *؟,vp
888,889,How much is it to get in?,入场费 多少 钱 ？,ما سعر تذكرة الدخول؟,sent
889,890,How much is the fare?,票价 多少 钱 ?,,sent
890,891,How much is the round trip?,往返票 多少 钱 ?,,sent
891,892,How much is the ticket?,这票 多少 钱 ?,,sent
892,893,How much is this?,多少 钱 ？,بكم هذا؟,sent
893,894,How much longer are we going to have to wait for our dinner?,我们 还要 等 多久 才能 吃 上 饭 呢 ?,,sent
894,895,How much?,多少 ？,بكم؟,sent
895,896,How old are you?,你 多 大 了 ?,,sent
896,897,How was your flight?,你 的 旅途 怎么样 呢 ?,,sent
897,898,How was your meal?,这 一顿饭 怎么样 ？,كيف كانت وجبتك؟,sent
898,899,How would you like to pay for it?,您 准备 怎样 付款 呢 ?,,sent
899,900,How would you like your coffee?,你 喝 什么样 的 咖啡 ?,,sent
900,901,humorous,有 幽默,,np
901,902,hundred,一百,مائة,num
902,903,hundred million,一亿,مائة مليون,num
903,904,hundred thousand,十万,مائة ألف,num
904,905,Hungary,匈牙利,المجر,np
905,906,husband,丈夫,,np
906,907,Hyderabad,海得拉巴,حيدر أباد,np
907,908,I,我,انا,np
908,909,I am *.,我 是 * 。,انا *.,vp
909,910,I am afraid that all the room with a view to the sea have been booked.,恐怕 所有 看 得到 海 的 房间 都 已经 被 预订 了 。,,sent
910,911,I am from *.,我 从 * 来 。,أنا من *.,vp
911,912,I am getting my car at the parking lot.,我 去 停车场 取车 。,,sent
912,913,I am going to transfer in *.,我要 转机 去 * 。,,vp
913,914,I am interested in ….,我 的 爱好 是 …,,sent
914,915,I am sick.,我 生病 了 。,انا مريض,sent
915,916,I booked a single room in your hotel for *.,我 在 你们 宾馆 预定 了 这 周五 的 单人 房间 。,,vp
916,917,I can a little.,只会 一点 。,,sent
917,918,I can't afford it.,我付 不起 。,لا أستطيع تحمل هذا,sent
918,919,I can't find my baggage.,我 找 不到 行李 了 。,,sent
919,920,I can't find the pet food.,我 找 不到 宠物食品 。,,sent
920,921,I can't get my bag to fit into the overhead compartment.,我 的 包放 不进 上面 的 行李箱 了 。,,sent
921,922,I can't speak *.,我 不会 讲 * 。,لا اتكلم *.,vp
922,923,I can't understand why this restaurant always serves so slowly.,我 不 明白 这个 饭店 为什么 总是 上菜 这么 慢 。,,sent
923,924,I come from *.,我 从 加拿大 来 。,,vp
924,925,I didn't reserve a table.,我 没有 预订 .,,sent
925,926,I don't eat *.,我 不吃 * 。,لا آكل *.,vp
926,927,I don't feel well.,我觉 的 不 太 舒服 。,,sent
927,928,I don't have *.,我 没有 * 。,ليس عندي *.,vp
928,929,I don't like this table.,我 不 喜欢 这张 桌子 。,,sent
929,930,I don't like your attitude.,我 不 喜欢 你 的 态度 。,,sent
930,931,I don't speak *.,我 不能 说 * 。,لا أتحدث *.,vp
931,932,I don't think I ordered this dish.,我 想 我 没有 点 这个 菜 。,,sent
932,933,I don't think this fish is proberly cooked.,我 觉得 这鱼 好像 没 做 熟 。,,sent
933,934,I don't understand (something heard).,我 听不懂 。,أنا لا أفهم,sent
934,935,I don't understand.,我 听不懂 。,أنا لا أفهم,sent
935,936,I don't want *.,我 不要 * 。,لا أريد *.,vp
936,937,I don't want it.,我 不要 。,أنا لا أريده,sent
937,938,I don't want the yolk to be too well-done.,我 不要 蛋黄 做 的 太 老 。,,sent
938,939,I don't want to eat there.,我 不想 在 那儿 吃 。,,sent
939,940,I don't want to intake any sugar.,我 不想 摄入 糖分 。,,sent
940,941,I feel a little bit cold.,我 觉得 有点 冷 。,,sent
941,942,I feel dizzy and weak. And I'm having this pain in my ear.,我 感觉 头晕 、 虚弱 ， 耳朵 也 有点 疼 。,,sent
942,943,I feel like vomiting.,我 想 吐 。,,sent
943,944,"I feel very tired, because it's a very long flight.",我 感觉 很累 ， 因为 飞行 时间 很长 。,,sent
944,945,I guess that's OK.,我 想 就 那个 吧 。,,sent
945,946,I have *.,我 有 * 。,لدي *.,vp
946,947,I have a little airsickness.,我 有点 晕机 。,,sent
947,948,I have a reservation under *.,我 有 在 * 名下 的 预订 。,,vp
948,949,I have arrived.,我 到 了 。,لقد وصلت.,sent
949,950,I have cancelled your reservation.,我 已经 取消 了 你 的 预定 。,,sent
950,951,I have to transfer to *.,我 必须 转机 去 * 。,,vp
951,952,I haven't done anything wrong.,我 没有 做错事 。,ما عملت اشي غلط.,sent
952,953,I hope you enjoy your meal.,我 希望 您 喜欢 您 的 食物 。,,sent
953,954,I just heard an announcement that my flight has been delayed.,我刚 听到 广播 说 我 的 班机 延迟 了 。,,sent
954,955,I like *.,我 喜欢   * 。,انا يعجبني *.,vp
955,956,I live alone.,我 一个 人住 。,,sent
956,957,I live in an apartment.,我 住 在 一个 公寓 里 。,,sent
957,958,I lost my *.,我 丢 了 我 的 * 。,فقدت *.,vp
958,959,I lost my bag.,我 丢 了 我 的 包包 。,فقدت حقيبتي.,sent
959,960,I lost my baggage.,我 的 行李 不见 了 。,,sent
960,961,I love *.,我 爱   * 。,أنا أحب *.,vp
961,962,I might have made a mistake.,我 可能 搞错 了 。,,sent
962,963,I need *.,我要 * 。,احتاج *.,vp
963,964,I need a doctor.,我 需要 医生 。,أحتاج طبيب.,sent
964,965,I need a shopping cart.,我 需要 一辆 购物车 。,,sent
965,966,I need an airsickness bag.,我 需要 一个 呕吐 袋 。,,sent
966,967,I need more coffee.,我要 加点 咖啡 。,,sent
967,968,I need to change my flight date.,我 需要 更改 航班 日期 。,,sent
968,969,I need to see your passport.,我 需要 看 一下 你 的 护照 。,أ حتاج أن أرى جواز سفرك,sent
969,970,I need to talk to a lawyer.,我要 跟 律师 联系 。,أريد التحدث مع محامي,sent
970,971,I need your help.,我 需要 你 的 帮助 。,أحتاج مساعدة لو سمحت.,sent
971,972,I only eat Halal food.,我 只 吃 清真 食品 。,أنا آكل الطعام الحلال فقط.,sent
972,973,I only speak *.,我 只 说 * 。,,vp
973,974,I order my meal a while ago and it still hasn't come.,我 很久以前 点 的 餐 ， 到 现在 还 没来 。,,sent
974,975,I see. When can I receive your confirmation?,明白 了 。 我 什么 时候 可以 得到 你们 的 确认 ?,,sent
975,976,I take it black.,我 喜欢 黑 咖啡 。,,sent
976,977,I think beef is better.,我 想 牛肉 比较 好 。,,sent
977,978,I think I am sick.,我 想 我 是 病 了 。,,sent
978,979,I think this is my seat.,我 想 这 是 我 的 座位 。,,sent
979,980,I think we should go and have a try.,我们 应该 去 试试 。,,sent
980,981,I think we'd like to take that one by the window.,我们 想 还是 靠窗 的 那 张 吧 。,,sent
981,982,I think you have made a mistake with my order.,我 想 你 上 错 我 的 点 的 菜 了 。,,sent
982,983,I want *.,我 想要 * 。,أريد *.,vp
983,984,I want a dish with *.,我 想 吃 * 的 菜 。,أريد أن آكل طبق مع *.,vp
984,985,I want doggy bags.,我 需要 打 包袋 。,,sent
