,en,cn,ar,pos
603,English magazines,英文杂志,مجلات انجليزية,np
604,English newspaper,英文报纸,جريدة إنجليزية,np
605,Enjoy your flight!,飞行愉快!,,sent
606,Enjoy your meal.,祝您用餐愉快。,,sent
607,entrance,入口,دخول,np
608,Equatorial Guinea,赤道几内亚,غينيا الإستوائية,np
609,Eritrea,厄立特里亚,إريتريا,np
610,espresso,意大利浓咖啡,,np
611,espresso con panna,浓缩咖啡康保蓝,,np
612,espresso cup,特浓杯,,np
613,espresso macchiato,浓缩咖啡玛奇朵,,np
614,Estonia,爱沙尼亚,استونيا,np
615,Ethiopia,埃塞俄比亚,أثيوبيا,np
616,evening,晚上,مساء,np
617,Everything checks out.,一切检查完毕。,,sent
618,ex-husband,前夫,,np
619,ex-wife,前妻,,np
620,excellent,极佳,,np
621,Excellent!,太棒了！,ممتاز!,sent
622,"Excuse me, but is the reservation for you?",对不起，是您预定的?,,sent
623,"Excuse me, this is my bag.",借过一下，这是我的行李。,,sent
624,Excuse me. (begging pardon),打扰一下。,أعذرني,sent
625,Excuse me. (coming through),对不起。,لو سمحت,sent
626,Excuse me. (getting attention),请问。,معذرة,sent
627,Excuse me. What would you like to eat?,打扰一下，请问您要吃什么?,,sent
628,Excuse me. You have my seat.,不好意思，你坐到我的位子了。,,sent
629,Executive Business Centre.,行政商务中心,,sent
630,Exercise Facilities,锻炼设施,,sent
631,exit,出口,خروج,np
632,Exit To All Routes.,各通道出口。,,sent
633,expensive,贵,غالي,adj
634,Express Pass.,快速通道。,,sent
635,expressivity,善于表达,,np
636,extern,走读生,,np
637,eyes,眼睛,عيون,sent
638,face,脸,وجه,np
639,faithful,忠诚的,,np
640,family,家庭,,np
641,family name,姓,,np
642,family status,家庭状况,,np
643,far-sighted,远视,,np
644,fare class,座舱等级,,np
645,farmer,农民,,np
646,Fasten Seat Belt While Seated.,就坐后请系好安全带。,,sent
647,father,父亲,,np
648,father-in-law,公公,,np
649,Fax And Copy Service.,传真复印服务。,,sent
650,February,二月,فبراير,np
651,feet,脚,أقدام,np
652,female,女的,إناثا,np
653,fever,发烧,حمة,np
654,fifty thousand,五万,خمسون ألف,num
655,Fiji,斐,فيجي,np
656,Fill out this form.,填一下这张表。,,sent
657,filling station,加油站,,np
658,"Fine, thank you.","很好, 谢谢。",بخير، شكرا لك.,sent
659,fingers,手指,أصابع,np
660,Finland,芬兰,فنلندا,np
661,first class,头等舱,,np
662,first class cabin,头等舱,مقصورة درجة أولى,np
663,First class fare of a one-way ticket from * to is *.,至*的单程机票，头等舱是*。,,vp
664,first name,名,,np
665,fish,鱼,سمك,np
666,fitness center,健身中心,,sent
667,five,五,خمسة,num
668,five hundred,五百,خمس مائة,num
669,fixed-price meal,定价套餐,وجبة ثابتة السعر,np
670,flammable item,易燃物品,,np
671,Flammable items cannot be taken with you into the aircraft.,易燃品不能随身带上飞机。,,sent
672,flight,飞行,,np
673,Flight * bound for *.,*号班机，去*的。,,vp
674,Flight * to * is now boarding.,飞往*的*班，已经开始登机。,,vp
675,flight connections,转机处,,np
676,flight number,班机号码,,np
677,Florence,佛罗伦萨,فلورنسا,np
678,Flying Time.,飞行时间。,,sent
679,food trolley,送餐车,,np
680,foot rest,坐着的时候放脚的支撑物,,np
681,For * night(s).,订*个晚上。,,vp
682,For * people.,为*个人。,ل* أشخاص.,vp
683,"For More On High Speed Internet Access, Including Trouble Shooting Information, Please Refer To The Guest Service Directory.",请查阅旅客服务指南获取更多的有关高速上网以及如何排除故障的信息。,,sent
684,For one person.,为一个人。,لشخص واحد.,sent
685,For Reservation Call...,预订服务请拨电话...,,sent
686,For two people.,为两个人。,لشخصين.,sent
687,for use only in case of fire,灭火专用,,np
688,For what time?,请问什么时间入住?,,sent
689,"For Your Convenience, Cigarettes Are Available At The Front Desk.",为了您的方便，前台有香烟出售。,,sent
690,"For your own safety, please go back to your seat and fasten the seat belts. Thank you.",请您回到您的座位，并系好安全带，以求安全。谢谢您的合作。,,sent
691,forbidden,被禁止,ممنوع,adj
692,forced landing,迫降,,np
693,foster father,养父,,np
694,foster mother,养母,,np
695,four,四,أربعة,num
696,fragile,易碎,,np
697,France,法国,فرنسا,np
698,frank,真诚的,,np
699,Frankfurt,法兰克福,فرانكفورت,np
700,free admission,免费入场,,np
701,Free In All Guest Rooms.,所有房间内免费登陆。,,sent
702,french coffee,法式滴滤咖啡,,np
703,french vanilla coffee,法国香草咖啡,,np
704,fresh ground coffee,现磨咖啡,,np
705,Friday,星期五,يوم الجمعة,np
706,Fried eggs with ham.,火腿肠煎蛋。,,sent
707,fried rice,炒饭,أرز مقلي,np
708,friend,朋友,صديق,np
709,from,从,من,prt
710,From date * until *.,从*月*日到*日。,,vp
711,Front Aisle,前廊,,sent
712,Front Counter,前台,,sent
713,Front Desk,前台,,sent
714,fruit cappuccino,果味卡布奇诺,,np
715,fruits,水果,فاكهة,np
716,ft,英尺,,np
717,Full Central Heating With House Provided Hot Water * Hours.,中央暖气系统，房间*小时提供热水。,,vp
718,Fully Centrally Heated.,中央暖气全部开放。,,sent
719,Gabon,加蓬,الغابون,np
720,galley,飞机上的厨房,,np
721,Gambia,冈比亚,غامبيا,np
722,Games Room.,游戏房。,,sent
723,garlic,蒜,,np
724,gas station,加油站,محطة بنزين,np
725,gate,登机口,,sent
726,Gaza,加沙,غزة,np
727,generation,代,,np
728,genteel,有教养的,,np
729,gentle,有礼貌的,,np
730,Georgia,格鲁吉亚,جورجيا,np
731,Germany,德国,ألمانيا,np
732,Ghana,加纳,غانا,np
733,ginge,姜,,np
734,Give me * pieces,给我来*块吧。,,vp
735,Give me a cup of coffee.,给我一杯咖啡。,,sent
736,Give me a decaf.,给我一杯没有咖啡因的咖啡。,,sent
737,Give me a one-way ticket to *,给我一张单程到*的票。,,vp
738,Give me a pound of tomatoes and a pound of eggplants.,给我一磅番茄和一磅茄子。,,sent
739,give way,快车先行,,np
740,Glasgow,格拉斯哥,غلاسكو,np
741,glasses,眼镜,نظارات,np
742,Glasses up!,举杯!,,sent
743,go,去,ذهب,vp
744,Go all the way to the back and turn right.,往里走到头然后右转。,,sent
745,Go right ahead.,请过。,,sent
746,Go straight following the sign ang you will see the gate.,跟着指示走，你将看到登机口。,,sent
747,Go straight.,直走,انطلق الى الأمام.,sent
748,"Go this way, please.",请这边走。,,sent
749,"Go through the gate, please.",请通过安全门。,,sent
750,gold,金色,ذهب,adj
751,good at,擅长于,,np
752,Good evening.,晚上好。,مساء الخير.,sent
753,good for passage between,旅行经停地点,,np
754,Good morning.,早安。,صباح الخير.,sent
755,Good night.,晚安。,تصبح على خير,sent
756,Good.,好！,جيد!,sent
757,Goodbye,再见。,مع السلامة,sent
758,Goods Prohibited To Be Hand-Carried.,禁止随身携带的物品。,,sent
759,Goods Prohibited To Exit The Country.,禁止携带出境的物品。,,sent
760,government-supportedstudent,公费生,,np
761,graduate,毕业生,,np
762,graduate student,研究生,,np
763,grandchildren,孙辈,,np
764,granddaughter,孙女,,np
765,grandfather,祖父,,np
766,grandma,奶奶,,np
767,grandmother,祖母,,np
768,grandpa,爷爷,,np
769,grandson,孙子,,np
770,granulated sugar,砂糖,,np
771,great-aunt,叔、伯祖母,,np
772,great-granddaughter,曾孙女,,np
773,great-grandfather,曾祖父,,np
774,great-grandmother,曾祖母,,np
775,great-grandson,曾孙,,np
776,great-uncle,叔、伯祖父,,np
777,Great.,很棒！,عظيم.,sent
778,Greece,希腊,اليونان,np
779,green,绿色,أخضر,adj
780,green onion,葱,,np
781,green tea,绿茶,شاي أخضر,np
782,greeting arriving,迎宾处,,np
783,Grenada,格林纳达,غرينادا,np
784,grey,灰色,رمادي,adj
785,Guadalajara,瓜达拉哈拉,غوادالاخارا,np
786,Guangzhou,广州,قوانغتشو,np
787,Guatemala,危地马拉,غواتيمالا,np
788,Guest Room Dept.,客房部,,sent
789,Guest Rooms In This Hotel Are Not Equipped With Wireless(Wifi) High Speed Internet Access.,本酒店旅客房间内没有无线上网设施。,,sent
790,Guest Safety Tips.,旅客安全提示。,,sent
791,guest student,旁听生,,np
792,Guinea,几内亚,غينيا,np
793,Guinea-Bissau,几内亚比绍,غينيا بيساو,np
794,Guyana,圭亚那,غيانا,np
795,hair,头发,شعر,np
796,Hair Dryer,头发吹风机,,sent
797,Haiti,海地,هايتي,np
798,half,半,نصف,adj
799,Halifax,哈利法克斯,هاليفاكس,np
800,ham,火腿,خنزير,np
801,Hamburg,汉堡,هامبورغ,np
802,Hamilton,汉密尔顿,هاميلتون,np
803,Handicapped Room.,残疾人房间。,,sent
804,handle with care,小心轻放,,np
805,hands,手,أيادي,np
806,hands off,请勿用手摸,,np
807,Havana,哈瓦那,هافانا,np
808,Have a nice flight!,飞行愉快!,,sent
809,Have we ever met?,我们以前见过面吗?,,sent
810,Have you made a reservation?,您预订订座了吗?,,sent
811,Have you met before?,你们以前见过吗?,,sent
812,Have your ticket and passport ready for the check-in agent.,请将机票和护照准备好办理登机手续。,,sent
813,hazelnut cappuccino,榛子卡布奇诺,,np
814,hazelnut latte,榛子咖啡拿铁,,np
815,he,他,هو,np
816,He's a nice guy.,他是个好人。,,sent
817,head,头,رئس,np
818,health,健康状况,,np
819,health condition,健康状况,,np
820,heater,暖气,مدفأة,np
821,height,身高,,np
822,heir,继承人,,np
823,helicopter,直升机,,np
824,heliport,直升飞机场,,np
825,Hello.,你好。,مرحبا.,sent
826,help desk,问讯处,,np
827,Help!,救命！,النجدة!,sent
828,Helsinki,赫尔辛基,هلسنكي,np
829,herb,香草,,np
830,here,这里,هنا,adv
831,Here are my passport and ticket.,这是我的护照和机票。,,sent
832,Here by yourself?,你自己一个人吗？,هل أنت هنا لوحدك؟,sent
833,Here is your boarding pass.,这是您的登机牌。,,sent
834,Here is your receipt.,这是给您的没收单据。,,sent
835,Here it is.,在这儿。,,sent
836,"Here, take one of these trolleys.",在这，取一辆手推车吧。,,sent
837,Here's my business card.,这是我的名片。,,sent
838,Here's the menu.,这是菜单。,,sent
839,Here's your medicine.,这是给你的药。,,sent
840,"Here's your ticket, boarding pass, passport and baggage claim tag.",这是您的机票，登机证，护照和行李提领证。,,sent
841,"Here's your ticket, your boarding pass and the tag of your baggage.",这是您的机票、登机牌和行李签。,,sent
842,Hi!,你好！,مرحبا!,sent
843,high ball,高杯,,np
844,High-Speed Wireless Internet.,高速无线上网,,sent
845,Hiroshima,广岛,هيروشيما,np
846,Ho Chi Minh City,胡志明市,مدينة هو تشي مينه,np
847,Hold on a second please.,请稍等。,انتظر ثانية.,sent
848,home phone,住宅电话,,np
849,Honduras,洪都拉斯,هندوراس,np
850,honey,蜂蜜,,np
851,Hong Kong,香港,هونغ كونغ,np
852,Hospitality Promise,服务承诺,,sent
853,hot red pepper,辣椒,,np
854,hotel,酒店／旅馆,فندق,np
855,hotel reservation,订旅馆,,np
856,House Keeping Dept,客房部,,sent
857,house number,门牌,,np
858,How about * cuisine?,*餐呢?,,vp
859,How about a coffee?,来杯咖啡怎么样?,,sent
860,How about this table?,这张桌子可以吗?,,sent
861,How are you feeling now?,现在感觉如何?,,sent
862,How are you?,你好吗？,كيف حالك,sent
863,How can I contact you?,我怎么联系你呢?,,sent
864,How can I get to the baggage claim area?,去行李领取处怎么走呢?,,sent
865,How do I deal with my luggage?,我的行李怎么办呢?,,sent
866,How do I get to * ?,怎么去*?,كيف أصل إلى *؟,vp
867,How do I recline my seat?,我怎么让我的椅子躺下?,,sent
868,How do I turn on the light?,请问怎样开阅读灯?,,sent
869,"How do you spell it, please?",请问怎么拼写呢?,,sent
870,"How do you spell that, please?",请讲一下是怎么拼写的?,,sent
871,How long do you plan to stay?,你计划住多久?,,sent
872,How long will it take?,这需要多长时间?,,sent
873,How long will you be staying?,请问你要住多久?,,sent
874,How many bags do you want to check in?,您要托运几个包裹?,,sent
875,"How many of you, please?",请问几位?,,sent
876,How many people are in your family?,你家有几口人?,,sent
877,How many people please?,请问几个人?,,sent
878,How many pieces of luggage do you have?,您有几件行李?,,sent
879,How many?,几个人?,,sent
880,How much does it cost to get to *?,去*要多少钱？,كم سيكلفني الذهاب إلى *؟,vp
881,How much dose this meat weight?,这肉有多重?,,sent
882,How much is *?,多少钱 *？,كم ثمن *؟,vp
883,How much is a room for one person per night?,单人房一晚多少钱？,ما سعر الغرفة لفرد واحد؟,sent
884,How much is a room for two people per night?,双人房一晚多少钱？,ما سعر الغرفة لفردين؟,sent
885,How much is a ticket to *?,去*的票多少钱？,ما سعر التذكرة الى *؟,vp
886,How much is it per hour?,一小时是多少钱？,ما السعر للساعة؟,sent
887,How much is it to call to *?,打给*是多少钱？,ما سعر المكالمة الى *؟,vp
888,How much is it to get in?,入场费多少钱？,ما سعر تذكرة الدخول؟,sent
889,How much is the fare?,票价多少钱?,,sent
890,How much is the round trip?,往返票多少钱?,,sent
891,How much is the ticket?,这票多少钱?,,sent
892,How much is this?,多少钱？,بكم هذا؟,sent
893,How much longer are we going to have to wait for our dinner?,我们还要等多久才能吃上饭呢?,,sent
894,How much?,多少？,بكم؟,sent
895,How old are you?,你多大了?,,sent
896,How was your flight?,你的旅途怎么样呢?,,sent
897,How was your meal?,这一顿饭怎么样？,كيف كانت وجبتك؟,sent
898,How would you like to pay for it?,您准备怎样付款呢?,,sent
899,How would you like your coffee?,你喝什么样的咖啡?,,sent
900,humorous,有幽默,,np
901,hundred,一百,مائة,num
902,hundred million,一亿,مائة مليون,num
903,hundred thousand,十万,مائة ألف,num
904,Hungary,匈牙利,المجر,np
905,husband,丈夫,,np
906,Hyderabad,海得拉巴,حيدر أباد,np
907,I,我,انا,np
908,I am *.,我是*。,انا *.,vp
909,I am afraid that all the room with a view to the sea have been booked.,恐怕所有看得到海的房间都已经被预订了。,,sent
910,I am from *.,我从*来。,أنا من *.,vp
911,I am getting my car at the parking lot.,我去停车场取车。,,sent
912,I am going to transfer in *.,我要转机去*。,,vp
913,I am interested in ….,我的爱好是…,,sent
914,I am sick.,我生病了。,انا مريض,sent
915,I booked a single room in your hotel for *.,我在你们宾馆预定了这周五的单人房间。,,vp
916,I can a little.,只会一点。,,sent
917,I can't afford it.,我付不起。,لا أستطيع تحمل هذا,sent
918,I can't find my baggage.,我找不到行李了。,,sent
919,I can't find the pet food.,我找不到宠物食品。,,sent
920,I can't get my bag to fit into the overhead compartment.,我的包放不进上面的行李箱了。,,sent
921,I can't speak *.,我不会讲*。,لا اتكلم *.,vp
922,I can't understand why this restaurant always serves so slowly.,我不明白这个饭店为什么总是上菜这么慢。,,sent
923,I come from *.,我从加拿大来。,,vp
924,I didn't reserve a table.,我没有预订.,,sent
925,I don't eat *.,我不吃*。,لا آكل *.,vp
926,I don't feel well.,我觉的不太舒服。,,sent
927,I don't have *.,我没有*。,ليس عندي *.,vp
928,I don't like this table.,我不喜欢这张桌子。,,sent
929,I don't like your attitude.,我不喜欢你的态度。,,sent
930,I don't speak *.,我不能说*。,لا أتحدث *.,vp
931,I don't think I ordered this dish.,我想我没有点这个菜。,,sent
932,I don't think this fish is proberly cooked.,我觉得这鱼好像没做熟。,,sent
933,I don't understand (something heard).,我听不懂。,أنا لا أفهم,sent
934,I don't understand.,我听不懂。,أنا لا أفهم,sent
935,I don't want *.,我不要*。,لا أريد *.,vp
936,I don't want it.,我不要。,أنا لا أريده,sent
937,I don't want the yolk to be too well-done.,我不要蛋黄做的太老。,,sent
938,I don't want to eat there.,我不想在那儿吃。,,sent
939,I don't want to intake any sugar.,我不想摄入糖分。,,sent
940,I feel a little bit cold.,我觉得有点冷。,,sent
941,I feel dizzy and weak. And I'm having this pain in my ear.,我感觉头晕、虚弱，耳朵也有点疼。,,sent
942,I feel like vomiting.,我想吐。,,sent
943,"I feel very tired, because it's a very long flight.",我感觉很累，因为飞行时间很长。,,sent
944,I guess that's OK.,我想就那个吧。,,sent
945,I have *.,我有*。,لدي *.,vp
946,I have a little airsickness.,我有点晕机。,,sent
947,I have a reservation under *.,我有在*名下的预订。,,vp
948,I have arrived.,我到了。,لقد وصلت.,sent
949,I have cancelled your reservation.,我已经取消了你的预定。,,sent
950,I have to transfer to *.,我必须转机去*。,,vp
951,I haven't done anything wrong.,我没有做错事。,ما عملت اشي غلط.,sent
952,I hope you enjoy your meal.,我希望您喜欢您的食物。,,sent
953,I just heard an announcement that my flight has been delayed.,我刚听到广播说我的班机延迟了。,,sent
954,I like *.,我喜欢 *。,انا يعجبني *.,vp
955,I live alone.,我一个人住。,,sent
956,I live in an apartment.,我住在一个公寓里。,,sent
957,I lost my *.,我丢了我的*。,فقدت *.,vp
958,I lost my bag.,我丢了我的包包。,فقدت حقيبتي.,sent
959,I lost my baggage.,我的行李不见了。,,sent
960,I love *.,我爱 *。,أنا أحب *.,vp
961,I might have made a mistake.,我可能搞错了。,,sent
962,I need *.,我要*。,احتاج *.,vp
963,I need a doctor.,我需要医生。,أحتاج طبيب.,sent
964,I need a shopping cart.,我需要一辆购物车。,,sent
965,I need an airsickness bag.,我需要一个呕吐袋。,,sent
966,I need more coffee.,我要加点咖啡。,,sent
967,I need to change my flight date.,我需要更改航班日期。,,sent
968,I need to see your passport.,我需要看一下你的护照。,أ حتاج أن أرى جواز سفرك,sent
969,I need to talk to a lawyer.,我要跟律师联系。,أريد التحدث مع محامي,sent
970,I need your help.,我需要你的帮助。,أحتاج مساعدة لو سمحت.,sent
971,I only eat Halal food.,我只吃清真食品。,أنا آكل الطعام الحلال فقط.,sent
972,I only speak *.,我只说*。,,vp
973,I order my meal a while ago and it still hasn't come.,我很久以前点的餐，到现在还没来。,,sent
974,I see. When can I receive your confirmation?,明白了。我什么时候可以得到你们的确认?,,sent
975,I take it black.,我喜欢黑咖啡。,,sent
976,I think beef is better.,我想牛肉比较好。,,sent
977,I think I am sick.,我想我是病了。,,sent
978,I think this is my seat.,我想这是我的座位。,,sent
979,I think we should go and have a try.,我们应该去试试。,,sent
980,I think we'd like to take that one by the window.,我们想还是靠窗的那张吧。,,sent
981,I think you have made a mistake with my order.,我想你上错我的点的菜了。,,sent
982,I want *.,我想要*。,أريد *.,vp
983,I want a dish with *.,我想吃*的菜。,أريد أن آكل طبق مع *.,vp
984,I want doggy bags.,我需要打包袋。,,sent
985,I want to book one ticket for the next flight to *.,我想预订一张飞往*的下一班机票。,,vp
986,I want to check out.,我要退房。,أريد أن أدفع لاغادر.,sent
987,I want to rent a car.,我想要租车。,أريد ايجار سيارة.,sent
988,I want to talk to the * embassy.,我希望跟*大使馆联系。,أود بالتحدث مع سّفارة *.,vp
989,I want you to meet *.,我想让你见见*。,,vp
990,I will stay for * night(s).,我打算住*夜。,سأقيم * ليلى,vp
991,I wish you a happy joumey.,祝您旅途愉快。,,sent
992,I work at the *.,我在*工作。,أعمل في *.,vp
993,I work in government.,我在政府部门上班。,,sent
994,I would like *.,我想要 *。,أود *.,vp
995,I would like to make flight reservations.,我想预订机票。,,sent
996,I would rather pay.,我付钱好了。,,sent
997,I'd like *.,我想要*。,أنا أحب *.,vp
998,I'd like a coffee with sugar.,我想要杯加糖的咖啡。,,sent
999,I'd like a coffee.,我想要杯咖啡。,,sent
1000,I'd like a decaf.,来一杯没有咖啡因的咖啡。,,sent
1001,"I'd like a refill, please.",请给我续一杯。,,sent
1002,I'd like a standard room.,我要一个标准间。,,sent
1003,I'd like an aisle seat.,我想要一个走廊的座位。,,sent
1004,I'd like reserve a room facing the sea.,我想订个临海的房间。,,sent
1005,I'd like some bananas.,我想要些香蕉。,,sent
1006,I'd like the beef.,我要牛肉。,,sent
1007,I'd like to book a double room.,下星期二我想订一个双人房间。,,sent
1008,I'd like to cancel a reservation.,我想取消预订。,,sent
1009,I'd like to cancel my order.,我要取消我的点餐。,,sent
1010,I'd like to check in.,我要办理登记手续。,,sent
1011,I'd like to get * seats on a flight to *.,我想订*张到*的机票。,,vp
1012,I'd like to have a seat by the window.,我想要一个靠窗的座位。,,sent
1013,I'd like to introduce *.,我来介绍一下*。,,vp
1014,I'd like to make a reservation.,我想预订房间。,,sent
1015,I'd like to rent a car.,我想租车,أريد ايجار سيارة.,sent
1016,I'd like to reserve a room.,我想订一间房。,,sent
1017,I'd like to reserve some rooms for a tourist party.,我想为一个旅游团订一些房间。,,sent
1018,I'd like to see to your manager.,我要见你们经理。,,sent
1019,I'd like to take the first available flight.,我想乘第一班飞机。,,sent
1020,I'd like to take the rest home.,我想把剩下的打包回家。,,sent
1021,I'd like you to meet a friend of mine.,我想让你见见我的朋友,,sent
1022,I'll ask the chef to explain to you.,我会请主厨来向您解释。,,sent
1023,I'll be right back with your order.,我会立即为您送上餐点。,,sent
1024,I'll bring you another one.,我会给你另外拿来一份。,,sent
1025,I'll call the police.,我会叫警察。,سأتصل بالشرطة‏ ‎.,sent
1026,I'll change it immediately.,我会立即更换。,,sent
1027,I'll check if we have vacancy.,我看看是否还有空位。,,sent
1028,I'll check it for you at once.,我马上为您查询。,,sent
1029,I'll check your order with the chef.,我会和厨师查对您点的菜。,,sent
1030,I'll find a table for you.,我会为您找一张桌子。,,sent
1031,I'll get some medicine for you right away.,我马上去给你拿些药来。,,sent
1032,I'll get there by date *.,我会在*日之前到达。,,vp
1033,"I'll have a coke, please.",请给我一杯可乐。,,sent
1034,"I'll have a glass of lemonade. More ice,please.",我要一杯柠檬汁，请多放一点冰块。,,sent
1035,I'll have the chef prepare another one.,我会请厨师准备另一份。,,sent
1036,I'll hurry. Please wait a moment.,我会快点的，请稍等一会儿。,,sent
1037,I'll log in to the Internet to find out about you. I know your address.,我还是上因特网去看吧。我知道你们的网址。,,sent
1038,I'll need an economy ticket with an open return.,我要经济舱，回程时间不定的来回票。,,sent
1039,I'll return your suggestion to the chef.,我会向主厨反应你的意见。,,sent
1040,I'll see about your order.,我这就去看看你点的菜。,,sent
1041,I'll send this back to the kitchen and get you a new one.,我会把它送回厨房，换拿给您为一份新的。,,sent
1042,I'll show you to your table.,我来带您到餐桌。,,sent
1043,I'll tell the kitchen to prepare a new one for you.,我会告诉厨房为您再做一份新的。,,sent
1044,I'll try to hurry things up.,我会催促快些。,,sent
1045,I'll wait.,我等一下吧。,,sent
1046,I'm * years old.,我今年*岁了。,,vp
1047,I'm a vegetarian.,我吃素的。,أنا نباتي.,sent
1048,I'm afraid all our tables are taken.,恐怕我们所有的桌子都被占用着。,,sent
1049,I'm afraid I'll miss my connecting flight.,我会赶不上我下一段的班机了。,,sent
1050,I'm afraid it's overweight.,恐怕超重了。,,sent
1051,I'm afraid our hotel is fully booked on that night.,本店那晚恐怕已经登记满了。,,sent
1052,I'm afraid that area is under preparation.,恐怕那一区还在准备中。,,sent
1053,I'm afraid that table is reserved for * p.m.,恐怕那张桌子晚上*点以后被预定了。,,vp
1054,I'm afraid there is a mistake.,恐怕出错了吧。,,sent
1055,I'm afraid We don't have it in stock.,恐怕已经没有存货了。,,sent
1056,I'm afraid we have no cocktails now.,现在恐怕没有鸡尾酒了。,,sent
1057,I'm afraid we have no more time to wait.,我想我们没时间再等了。,,sent
1058,I'm afraid we're out of that item.,恐怕那种货已经卖完了。,,sent
1059,I'm feeling kind of airsick.,我觉得晕机了。,,sent
1060,"I'm fine, thank you.","很好, 谢谢。",بخير، شكرا لك.,sent
1061,I'm finished.,我完成了。,لقد انتهيت.,sent
1062,I'm going to have one waitress to serve you.,我去安排一个服务员过来。,,sent
1063,I'm in a hurry.,我要赶时间。,,sent
1064,I'm looking for *.,我在找*,أبحث عن *.,vp
1065,I'm lost.,我迷路了。,أنا تائه.,sent
1066,I'm not feeling well.,我不舒服,أنا لست على ما يرام.,sent
1067,I'm not happy about the dish.,我对这菜不满意。,,sent
1068,I'm not hungry.,我不饿。,,sent
1069,I'm not interested.,我没有兴趣。,أنا لست مهتم.,sent
1070,I'm not sure.,我不确定。,,sent
1071,I'm not sure. Maybe.,我不确定，也许。,,sent
1072,I'm not very happy with the quality of the food here.,我对这里的饭菜质量非常的不满意。,,sent
1073,I'm sick.,我生病了。,انا مريض.,sent
1074,I'm sorry to say that I have to cancel it.,我很抱歉，我不得不取消这个预定。,,sent
1075,"I'm sorry, but there are no window seats available.",很抱谦，没有靠窗的座位了。,,sent
1076,I'm sorry.,对不起。,أنا آسف.,sent
1077,I'm very sorry for the mistake.,很抱歉搞错了。,,sent
1078,I'm very sorry to have kept you waiting.,很抱歉让您一直等着。,,sent
1079,"I'm very sorry, Sir, but we are unable to do that. We would appreciate it very much if you could call us instead.",先生，非常抱歉，我们不能那样做，如果您能打电话来，我们将会非常感激。,,sent
1080,I'm waiting for my luggage.,我在等我的行李。,,sent
1081,I'm with *.,我现在跟*在一起,أنا مع *.,vp
1082,I've been injured.,我受伤了。,إنني مصاب.,sent
1083,I've been waiting for a long time but nobody came to serve me.,我们已经等了很长时间了，但没人来为我们服务。,,sent
1084,I've been waiting half an hour for my order.,从我点餐到现在等了半个小时了。,,sent
1085,I've checked with the kitchen.,我已经与厨房检查过了。,,sent
1086,I've lost *.,我的*不见了,أنا فقدت *.,vp
1087,I've made a reservation at your restaurant.,我已经在你们餐厅预订过了。,,sent
1088,ice tongs,冰夹,,np
1089,iced banana americano,香蕉冰美式,,np
1090,iced blackberry latte,黑莓冰咖啡拿铁,,np
1091,iced cafe americano,冰美式咖啡,,np
1092,iced cafe latte,冰拿铁咖啡,,np
1093,iced cappuccino,冰卡布奇诺,,np
1094,iced caramel cappuccino,冰焦糖卡布奇诺,,np
1095,iced caramel latte,冰焦糖咖啡拿铁,,np
1096,iced cherry latte,樱桃冰咖啡拿铁,,np
1097,iced chocolate coffee,巧克力冰咖啡,,np
1098,iced coconut latte,椰子冰咖啡拿铁,,np
1099,iced coffee,冰咖啡,,np
1100,iced espresso,浓缩冰咖啡,,np
1101,iced fruit cappuccino,果味冰卡布奇诺,,np
1102,iced fruit latte,冰果味咖啡拿铁,,np
1103,iced hazelnut cappuccino,冰榛子卡布奇诺,,np
1104,iced hazelnut latte,冰榛子咖啡拿铁,,np
1105,iced vanilla cappuccino,冰香草卡布奇诺,,np
1106,iced vanilla latte,冰香草咖啡拿铁,,np
1107,Iceland,冰岛,أيسلندا,np
1108,id card,身份证,,np
1109,"If you can't come back within a month, we won't keep it for you.",如果一个月之内，您不来领的话，我们将不再替您保存。,,sent
1110,"If you don't like the taste of it, perhaps I could get you something else?",如果您不喜欢这口味，或许我给你换成其他的?,,sent
1111,"If You Forget To Pack Any Standard Toiletry Item（Toothbrush, Toothpaste, Shaving Cream, Razor Or Comb）, Just Call The Front Desk And We'll Get You A Complimentary Repacement Right Away.",如果您忘了把洗漱物品打入您的包裹（如牙刷，牙膏，剃须膏，剃须刀或梳子），请给前台电话，我们可以立即提供赠送替代品。,,sent
1112,ilyusin,依柳辛,,np
1113,in,英寸,,np
1114,In aisle *.,在第*通道。,,vp
1115,In whose name was the reservation?,用谁的名字预订的?,,sent
1116,In-Flight.,飞行中。,,sent
1117,in-job training,在职培训,,np
1118,In-Room Coffee Maker.,室内咖啡机。,,sent
1119,Including breakfast and room service.,包括早餐和服务费。,,sent
1120,India,印度,الهند,np
1121,Indonesia,印度尼西亚,أندونيسيا,np
1122,Indoor Swimming Pools.,室内泳池。,,sent
1123,industrious,勤奋的,,np
1124,Information,问询处/咨询台,,sent
1126,ingenious,有独创性的,,np
1127,ingredients,配料,,np
1128,inquiries,问讯处,,np
1129,Insert Or Swipe Key.,将钥匙卡插入或擦过处理机。,,sent
1130,inspection,检查,,np
1131,instant coffee,速溶咖啡,,np
1132,intern,实习生,,np
1133,international airport,国际机场,,np
1134,international departure,国际航班出港,,np
1135,international flight,国际班机,,np
1136,international passenger lobby,国际旅客候机厅,,np
1138,international passengers,国际航班旅客,,np
1139,international terminal,国际候机楼,,np
1140,intersection,交界,تقاطع,np
1141,Introducing High-Speed Internet Access.,高速上网介绍。,,sent
