,en,ar,pos_x,cn,pos_y
505,Where can I get money changed?,أين يمكنني أن أصرّف بعض المال؟,sent,我要在哪里换钱？,sent
506,Where do we get tickets?,أين يمكننا أن نحصل على تذاكر؟,sent,哪里买车票？,sent
507,Where does it hurt?,أين يؤلمك؟,sent,哪里痛？,sent
508,Where does this bus go?,أين تذهب هذه الحافلة؟,sent,这辆巴士去哪里？,sent
509,Where does this train go?,أين يذهب هذا القطار؟,sent,这列火车去哪里？,sent
510,Where is an ATM?,أين توجد آلة الصرف الآلي؟,sent,提款机在哪里？,sent
511,Where is it on the map?,أين تقع على الخريطة؟,sent,在地图上的哪里？,sent
512,Where is the *?,أين ال*؟,vp,*在哪里？,vp
513,Where is the bathroom?,أين الحمام؟,sent,洗手间在哪里？,sent
514,Where is the bus to *?,أين الحافلة المتجهة إلى *؟,vp,到*的巴士在哪？,vp
515,Where is the toilet?,أين الحمام؟,sent,厕所在哪里？,sent
516,Where is the train to *?,أن القطار المتجه إلى *؟,vp,到*的火车在哪？,vp
517,Where?,اين؟,sent,哪里？,sent
518,Which direction?,بأي اتجاه؟,sent,哪个方向？,sent
519,Which station are we at?,نحن في أي محطة؟,sent,我们在哪一站？,sent
520,whiskey,شراب الويسكي,np,威士忌,np
521,white,أبيض,adj,白色,adj
522,white wine,نبيذ أبيض,np,白酒,np
523,Who?,من؟,sent,谁？,sent
524,Why?,لماذا؟,sent,为什么？,sent
525,women,نساء,np,女人,np
526,work,عمل,np,工作,np
527,wrist,معصم,np,手腕,np
528,writing paper,ورق للكتابة,np,纸,np
529,yellow,أصفر,adj,黄色,adj
530,"Yes, please.",نعم من فضلك,sent,是，谢谢,sent
531,Yes.,نعم.,sent,是,sent
532,yesterday, البارحة,np,昨天,np
533,yield,ينتج,vp,让路,vp
534,you,أنت,np,你,np
535,you (p), أنتم,np,你们,np
536,You're cheating me.,"أنت تغشني (s), أنتما تغشانني (two), أنتم تغشونني (more than two)",sent,你在骗我。,sent
537,You're welcome.,على الرحب والسعة,sent,不客气。,sent
538,youth hostel,بيوت الشباب,np,青年旅馆,np
