en,cn,ar,pos
First class fare of a one-way ticket from * to is *.,至*的单程机票，头等舱是*。,,vp
first name,名,,np
fish,鱼,سمك,np
fitness center,健身中心,,sent
five,五,خمسة,num
five hundred,五百,خمس مائة,num
fixed-price meal,定价套餐,وجبة ثابتة السعر,np
flammable item,易燃物品,,np
Flammable items cannot be taken with you into the aircraft.,易燃品不能随身带上飞机。,,sent
flight,飞行,,np
Flight * bound for *.,*号班机，去*的。,,vp
Flight * to * is now boarding.,飞往*的*班，已经开始登机。,,vp
flight connections,转机处,,np
flight number,班机号码,,np
Florence,佛罗伦萨,فلورنسا,np
Flying Time.,飞行时间。,,sent
food trolley,送餐车,,np
foot rest,坐着的时候放脚的支撑物,,np
For * night(s).,订*个晚上。,,vp
For * people.,为*个人。,ل* أشخاص.,vp
"For More On High Speed Internet Access, Including Trouble Shooting Information, Please Refer To The Guest Service Directory.",请查阅旅客服务指南获取更多的有关高速上网以及如何排除故障的信息。,,sent
For one person.,为一个人。,لشخص واحد.,sent
For Reservation Call...,预订服务请拨电话...,,sent
For two people.,为两个人。,لشخصين.,sent
for use only in case of fire,灭火专用,,np
For what time?,请问什么时间入住?,,sent
"For Your Convenience, Cigarettes Are Available At The Front Desk.",为了您的方便，前台有香烟出售。,,sent
"For your own safety, please go back to your seat and fasten the seat belts. Thank you.",请您回到您的座位，并系好安全带，以求安全。谢谢您的合作。,,sent
forbidden,被禁止,ممنوع,adj
forced landing,迫降,,np
foster father,养父,,np
foster mother,养母,,np
four,四,أربعة,num
fragile,易碎,,np
France,法国,فرنسا,np
frank,真诚的,,np
Frankfurt,法兰克福,فرانكفورت,np
free admission,免费入场,,np
Free In All Guest Rooms.,所有房间内免费登陆。,,sent
french coffee,法式滴滤咖啡,,np
french vanilla coffee,法国香草咖啡,,np
fresh ground coffee,现磨咖啡,,np
Friday,星期五,يوم الجمعة,np
Fried eggs with ham.,火腿肠煎蛋。,,sent
fried rice,炒饭,أرز مقلي,np
friend,朋友,صديق,np
from,从,من,prt
From date * until *.,从*月*日到*日。,,vp
Front Aisle,前廊,,sent
Front Counter,前台,,sent
Front Desk,前台,,sent
fruit cappuccino,果味卡布奇诺,,np
fruits,水果,فاكهة,np
ft,英尺,,np
Full Central Heating With House Provided Hot Water * Hours.,中央暖气系统，房间*小时提供热水。,,vp
Fully Centrally Heated.,中央暖气全部开放。,,sent
Gabon,加蓬,الغابون,np
galley,飞机上的厨房,,np
Gambia,冈比亚,غامبيا,np
Games Room.,游戏房。,,sent
garlic,蒜,,np
gas station,加油站,محطة بنزين,np
gate,登机口,,sent
Gaza,加沙,غزة,np
generation,代,,np
genteel,有教养的,,np
gentle,有礼貌的,,np
Georgia,格鲁吉亚,جورجيا,np
Germany,德国,ألمانيا,np
Ghana,加纳,غانا,np
ginge,姜,,np
Give me * pieces,给我来*块吧。,,vp
Give me a cup of coffee.,给我一杯咖啡。,,sent
Give me a decaf.,给我一杯没有咖啡因的咖啡。,,sent
Give me a one-way ticket to *,给我一张单程到*的票。,,vp
Give me a pound of tomatoes and a pound of eggplants.,给我一磅番茄和一磅茄子。,,sent
give way,快车先行,,np
Glasgow,格拉斯哥,غلاسكو,np
glasses,眼镜,نظارات,np
Glasses up!,举杯!,,sent
go,去,ذهب,vp
Go all the way to the back and turn right.,往里走到头然后右转。,,sent
Go right ahead.,请过。,,sent
Go straight following the sign ang you will see the gate.,跟着指示走，你将看到登机口。,,sent
Go straight.,直走,انطلق الى الأمام.,sent
"Go this way, please.",请这边走。,,sent
"Go through the gate, please.",请通过安全门。,,sent
gold,金色,ذهب,adj
good at,擅长于,,np
Good evening.,晚上好。,مساء الخير.,sent
good for passage between,旅行经停地点,,np
Good morning.,早安。,صباح الخير.,sent
Good night.,晚安。,تصبح على خير,sent
Good.,好！,جيد!,sent
Goodbye,再见。,مع السلامة,sent
Goods Prohibited To Be Hand-Carried.,禁止随身携带的物品。,,sent
Goods Prohibited To Exit The Country.,禁止携带出境的物品。,,sent
government-supportedstudent,公费生,,np
graduate,毕业生,,np
graduate student,研究生,,np
grandchildren,孙辈,,np
granddaughter,孙女,,np
grandfather,祖父,,np
grandma,奶奶,,np
grandmother,祖母,,np
grandpa,爷爷,,np
grandson,孙子,,np
granulated sugar,砂糖,,np
great-aunt,叔、伯祖母,,np
great-granddaughter,曾孙女,,np
great-grandfather,曾祖父,,np
great-grandmother,曾祖母,,np
great-grandson,曾孙,,np
great-uncle,叔、伯祖父,,np
Great.,很棒！,عظيم.,sent
Greece,希腊,اليونان,np
green,绿色,أخضر,adj
green onion,葱,,np
green tea,绿茶,شاي أخضر,np
greeting arriving,迎宾处,,np
Grenada,格林纳达,غرينادا,np
grey,灰色,رمادي,adj
Guadalajara,瓜达拉哈拉,غوادالاخارا,np
Guangzhou,广州,قوانغتشو,np
Guatemala,危地马拉,غواتيمالا,np
Guest Room Dept.,客房部,,sent
Guest Rooms In This Hotel Are Not Equipped With Wireless(Wifi) High Speed Internet Access.,本酒店旅客房间内没有无线上网设施。,,sent
Guest Safety Tips.,旅客安全提示。,,sent
guest student,旁听生,,np
Guinea,几内亚,غينيا,np
Guinea-Bissau,几内亚比绍,غينيا بيساو,np
Guyana,圭亚那,غيانا,np
hair,头发,شعر,np
Hair Dryer,头发吹风机,,sent
Haiti,海地,هايتي,np
half,半,نصف,adj
Halifax,哈利法克斯,هاليفاكس,np
ham,火腿,خنزير,np
Hamburg,汉堡,هامبورغ,np
Hamilton,汉密尔顿,هاميلتون,np
Handicapped Room.,残疾人房间。,,sent
handle with care,小心轻放,,np
hands,手,أيادي,np
hands off,请勿用手摸,,np
Havana,哈瓦那,هافانا,np
Have a nice flight!,飞行愉快!,,sent
Have we ever met?,我们以前见过面吗?,,sent
Have you made a reservation?,您预订订座了吗?,,sent
Have you met before?,你们以前见过吗?,,sent
Have your ticket and passport ready for the check-in agent.,请将机票和护照准备好办理登机手续。,,sent
hazelnut cappuccino,榛子卡布奇诺,,np
hazelnut latte,榛子咖啡拿铁,,np
he,他,هو,np
He's a nice guy.,他是个好人。,,sent
head,头,رئس,np
health,健康状况,,np
health condition,健康状况,,np
heater,暖气,مدفأة,np
height,身高,,np
heir,继承人,,np
helicopter,直升机,,np
heliport,直升飞机场,,np
Hello.,你好。,مرحبا.,sent
help desk,问讯处,,np
Help!,救命！,النجدة!,sent
Helsinki,赫尔辛基,هلسنكي,np
herb,香草,,np
here,这里,هنا,adv
Here are my passport and ticket.,这是我的护照和机票。,,sent
Here by yourself?,你自己一个人吗？,هل أنت هنا لوحدك؟,sent
Here is your boarding pass.,这是您的登机牌。,,sent
Here is your receipt.,这是给您的没收单据。,,sent
Here it is.,在这儿。,,sent
"Here, take one of these trolleys.",在这，取一辆手推车吧。,,sent
Here's my business card.,这是我的名片。,,sent
Here's the *.,给你*。,هنا هو *.,sent
"Here's your ticket, boarding pass, passport and baggage claim tag.",这是您的机票，登机证，护照和行李提领证。,,sent
"Here's your ticket, your boarding pass and the tag of your baggage.",这是您的机票、登机牌和行李签。,,sent
Hi!,你好！,مرحبا!,sent
High-Speed Wireless Internet.,高速无线上网,,sent
Hiroshima,广岛,هيروشيما,np
Ho Chi Minh City,胡志明市,مدينة هو تشي مينه,np
Hold on a second please.,请稍等。,انتظر ثانية.,sent
home phone,住宅电话,,np
Honduras,洪都拉斯,هندوراس,np
honey,蜂蜜,,np
Hong Kong,香港,هونغ كونغ,np
Hospitality Promise,服务承诺,,sent
hot red pepper,辣椒,,np
hotel,酒店／旅馆,فندق,np
hotel reservation,订旅馆,,np
House Keeping Dept,客房部,,sent
house number,门牌,,np
How about * cuisine?,*餐呢?,,vp
How about a coffee?,来杯咖啡怎么样?,,sent
How about this table?,这张桌子可以吗?,,sent
How are you feeling now?,现在感觉如何?,,sent
How are you?,你好吗？,كيف حالك,sent
How can I contact you?,我怎么联系你呢?,,sent
How can I get to the baggage claim area?,去行李领取处怎么走呢?,,sent
How do I deal with my luggage?,我的行李怎么办呢?,,sent
How do I get to * ?,怎么去*?,كيف أصل إلى *؟,vp
How do I recline my seat?,我怎么让我的椅子躺下?,,sent
How do I turn on the light?,请问怎样开阅读灯?,,sent
"How do you spell it, please?",请问怎么拼写呢?,,sent
"How do you spell that, please?",请讲一下是怎么拼写的?,,sent
How long do you plan to stay?,你计划住多久?,,sent
How long will it take?,这需要多长时间?,,sent
How long will you be staying?,请问你要住多久?,,sent
How many bags do you want to check in?,您要托运几个包裹?,,sent
"How many of you, please?",请问几位?,,sent
How many people are in your family?,你家有几口人?,,sent
How many people?,几个人?,كم عدد الاشخاص؟,sent
How many pieces of luggage do you have?,您有几件行李?,,sent
How many?,几个?,كم العدد؟,sent
How much does it cost to get to *?,去*要多少钱？,كم سيكلفني الذهاب إلى *؟,vp
How much dose this meat weight?,这肉有多重?,,sent
How much is *?,多少钱 *？,كم ثمن *؟,vp
How much is a room for one person per night?,单人房一晚多少钱？,ما سعر الغرفة لفرد واحد؟,sent
How much is a room for two people per night?,双人房一晚多少钱？,ما سعر الغرفة لفردين؟,sent
How much is a ticket to *?,去*的票多少钱？,ما سعر التذكرة الى *؟,vp
How much is it per hour?,一小时是多少钱？,ما السعر للساعة؟,sent
How much is it to call to *?,打给*是多少钱？,ما سعر المكالمة الى *؟,vp
How much is it to get in?,入场费多少钱？,ما سعر تذكرة الدخول؟,sent
How much is the fare?,票价多少钱?,,sent
How much is the round trip?,往返票多少钱?,,sent
How much is the ticket?,这票多少钱?,,sent
How much is this?,多少钱？,بكم هذا؟,sent
How much longer are we going to have to wait for our dinner?,我们还要等多久才能吃上饭呢?,,sent
How much?,多少？,بكم؟,sent
How old are you?,你多大了?,,sent
How was your flight?,你的旅途怎么样呢?,,sent
How was your meal?,这一顿饭怎么样？,كيف كانت وجبتك؟,sent
How would you like to pay for it?,您准备怎样付款呢?,,sent
How would you like your coffee?,你喝什么样的咖啡?,,sent
humorous,有幽默,,np
hundred,一百,مائة,num
hundred million,一亿,مائة مليون,num
hundred thousand,十万,مائة ألف,num
Hungary,匈牙利,المجر,np
husband,丈夫,,np
Hyderabad,海得拉巴,حيدر أباد,np
I,我,انا,np
I am *.,我是*。,انا *.,vp
I am afraid that all the room with a view to the sea have been booked.,恐怕所有看得到海的房间都已经被预订了。,,sent
I am from *.,我从*来。,أنا من *.,vp
I am getting my car at the parking lot.,我去停车场取车。,,sent
I am going to transfer in *.,我要转机去*。,,vp
I am interested in ….,我的爱好是…,,sent
I am sick.,我生病了。,انا مريض,sent
I booked a single room in your hotel for *.,我在你们宾馆预定了这周五的单人房间。,,vp
I can a little.,只会一点。,,sent
I can't afford it.,我付不起。,لا أستطيع تحمل هذا,sent
I can't find my baggage.,我找不到行李了。,,sent
I can't find the pet food.,我找不到宠物食品。,,sent
I can't get my bag to fit into the overhead compartment.,我的包放不进上面的行李箱了。,,sent
I can't speak *.,我不会讲*。,لا اتكلم *.,vp
I can't understand why this restaurant always serves so slowly.,我不明白这个饭店为什么总是上菜这么慢。,,sent
I come from *.,我从加拿大来。,,vp
I didn't reserve a table.,我没有预订.,,sent
I don't eat *.,我不吃*。,لا آكل *.,vp
I don't feel well.,我觉的不太舒服。,,sent
I don't have *.,我没有*。,ليس عندي *.,vp
I don't like this table.,我不喜欢这张桌子。,,sent
I don't like your attitude.,我不喜欢你的态度。,,sent
I don't speak *.,我不能说*。,لا أتحدث *.,vp
I don't think I ordered this dish.,我想我没有点这个菜。,,sent
I don't think this fish is proberly cooked.,我觉得这鱼好像没做熟。,,sent
I don't understand (something heard).,我听不懂。,أنا لا أفهم,sent
I don't understand.,我听不懂。,أنا لا أفهم,sent
I don't want *.,我不要*。,لا أريد *.,vp
I don't want it.,我不要。,أنا لا أريده,sent
I don't want the yolk to be too well-done.,我不要蛋黄做的太老。,,sent
I don't want to eat there.,我不想在那儿吃。,,sent
I don't want to intake any sugar.,我不想摄入糖分。,,sent
I feel a little bit cold.,我觉得有点冷。,,sent
I feel dizzy and weak. And I'm having this pain in my ear.,我感觉头晕、虚弱，耳朵也有点疼。,,sent
I feel like vomiting.,我想吐。,,sent
"I feel very tired, because it's a very long flight.",我感觉很累，因为飞行时间很长。,,sent
I guess that's OK.,我想就那个吧。,,sent
I have *.,我有*。,لدي *.,vp
I have a little airsickness.,我有点晕机。,,sent
I have a reservation under *.,我有在*名下的预订。,,vp
I have arrived.,我到了。,لقد وصلت.,sent
I have cancelled your reservation.,我已经取消了你的预定。,,sent
I have to transfer to *.,我必须转机去*。,,vp
I have to *.,我不得不 *。,على أن *.,vp
I have to go.,我得走了。,علي الذهاب.,sent
I am hungry.,我饿了。,أنا جائع.,sent
I haven't done anything wrong.,我没有做错事。,ما عملت اشي غلط.,sent
I hope you enjoy your meal.,我希望您喜欢您的食物。,,sent
I just heard an announcement that my flight has been delayed.,我刚听到广播说我的班机延迟了。,,sent
I like *.,我喜欢 *。,انا يعجبني *.,vp
I live alone.,我一个人住。,,sent
I live in an apartment.,我住在一个公寓里。,,sent
I lost my *.,我丢了我的*。,فقدت *.,vp
I lost my bag.,我丢了我的包包。,فقدت حقيبتي.,sent
I lost my baggage.,我的行李不见了。,,sent
I love *.,我爱 *。,أنا أحب *.,vp
I might have made a mistake.,我可能搞错了。,,sent
I need *.,我要*。,احتاج *.,vp
I need a doctor.,我需要医生。,أحتاج طبيب.,sent
I need a shopping cart.,我需要一辆购物车。,,sent
I need an airsickness bag.,我需要一个呕吐袋。,,sent
I need more coffee.,我要加点咖啡。,,sent
I need to change my flight date.,我需要更改航班日期。,,sent
I need to see your passport.,我需要看一下你的护照。,أ حتاج أن أرى جواز سفرك,sent
I need to talk to a lawyer.,我要跟律师联系。,أريد التحدث مع محامي,sent
I need your help.,我需要你的帮助。,أحتاج مساعدة لو سمحت.,sent
I only eat Halal food.,我只吃清真食品。,أنا آكل الطعام الحلال فقط.,sent
I only speak *.,我只说*。,,vp
I order my meal a while ago and it still hasn't come.,我很久以前点的餐，到现在还没来。,,sent
I see. When can I receive your confirmation?,明白了。我什么时候可以得到你们的确认?,,sent
I think * is better.,我想*比较好。,,sent
I think I am sick.,我想我是病了。,,sent
I think this is my seat.,我想这是我的座位。,,sent
I think we should go and have a try.,我们应该去试试。,,sent
I think we'd like to take that one by the window.,我们想还是靠窗的那张吧。,,sent
I think you have made a mistake with my order.,我想你上错我的点的菜了。,,sent
I want *.,我想要*。,أريد *.,vp
I want a dish with *.,我想吃*的菜。,أريد أن آكل طبق مع *.,vp
I want doggy bags.,我需要打包袋。,,sent
I want to book one ticket for the next flight to *.,我想预订一张飞往*的下一班机票。,,vp
I want to check out.,我要退房。,أريد أن أدفع لاغادر.,sent
I want to rent a car.,我想要租车。,أريد ايجار سيارة.,sent
I want to talk to the * embassy.,我希望跟*大使馆联系。,أود بالتحدث مع سّفارة *.,vp
I want you to meet *.,我想让你见见*。,,vp
I will stay for * night(s).,我打算住*夜。,سأقيم * ليلى,vp
I wish you a happy joumey.,祝您旅途愉快。,,sent
I work at the *.,我在*工作。,أعمل في *.,vp
I work in government.,我在政府部门上班。,,sent
I would like *.,我想要 *。,أود *.,vp
I would like to make flight reservations.,我想预订机票。,,sent
I would rather pay.,我付钱好了。,,sent
I'd like *.,我想要*。,أنا أحب *.,vp
I'd like a coffee.,我想要杯咖啡。,,sent
I'd like a decaf.,来一杯没有咖啡因的咖啡。,,sent
"I'd like a refill, please.",请给我续一杯。,,sent
aisle seat,走廊的座位,الكرسي الذي في الممر,np
I'd like reserve *.,我想订个*。,أود حجز *.,vp
I'd like some *.,我想要些*。,أود بعض *.,vp
I'd like the *.,我要*。,أود أن *.,sent
I'd like to book *.,我想订一个*。,أود أن كتاب *.,sent
I'd like to cancel a reservation.,我想取消预订。,أود إلغاء الحجز.,sent
I'd like to cancel my order.,我要取消我的点餐。,أود إلغاء طلبي.,sent
I'd like to check in.,我要办理登记手续。,أريد تسجيل الوصول.,sent
I'd like to get * seats on a flight to *.,我想订*张到*的机票。,أود الحصول على * مقاعد في رحلة جوية إلى *.,vp
I'd like to have a seat by the window.,我想要一个靠窗的座位。,أود الحصول على مقعد بجوار النافذة.,sent
I'd like to introduce *.,我来介绍一下*。,أود ان أقدم *.,vp
I'd like to make a reservation.,我想预订房间。,اود ان احجز.,sent
I'd like to rent a car.,我想租车,أريد ايجار سيارة.,sent
I'd like to reserve a room.,我想订一间房。,,sent
I'd like to see to your manager.,我要见你们经理。,,sent
I'd like to take the first available flight.,我想乘第一班飞机。,,sent
I'd like to take the rest home.,我想把剩下的打包回家。,,sent
I'd like you to meet a friend of mine.,我想让你见见我的朋友,,sent
I'll ask the chef to explain to you.,我会请主厨来向您解释。,,sent
I'll be right back with your order.,我会立即为您送上餐点。,,sent
I'll bring you another one.,我会给你另外拿来一份。,,sent
I'll call the police.,我会叫警察。,سأتصل بالشرطة‏ ‎.,sent
I'll change it immediately.,我会立即更换。,,sent
I'll check if we have vacancy.,我看看是否还有空位。,,sent
I'll check it for you at once.,我马上为您查询。,,sent
I'll check your order with the chef.,我会和厨师查对您点的菜。,,sent
I'll find a table for you.,我会为您找一张桌子。,,sent
I'll get some * for you right away.,我马上去给你拿些*来。,سأحصل على بعض * لك على الفور.,vp
I'll get there by date *.,我会在*日之前到达。,,vp
"I'll have a coke, please.",请给我一杯可乐。,,sent
"I'll have a glass of lemonade. More ice,please.",我要一杯柠檬汁，请多放一点冰块。,,sent
I'll have the chef prepare another one.,我会请厨师准备另一份。,,sent
I'll hurry. Please wait a moment.,我会快点的，请稍等一会儿。,,sent
I'll log in to the Internet to find out about you. I know your address.,我还是上因特网去看吧。我知道你们的网址。,,sent
I'll need an economy ticket with an open return.,我要经济舱，回程时间不定的来回票。,,sent
I'll return your suggestion to the chef.,我会向主厨反应你的意见。,,sent
I'll see about your order.,我这就去看看你点的菜。,,sent
I'll send this back to the kitchen and get you a new one.,我会把它送回厨房，换拿给您为一份新的。,,sent
I'll show you to your table.,我来带您到餐桌。,,sent
I'll tell the kitchen to prepare a new one for you.,我会告诉厨房为您再做一份新的。,,sent
I'll try to hurry things up.,我会催促快些。,,sent
I'll wait.,我等一下吧。,,sent
I'm * years old.,我今年*岁了。,,vp
I'm a vegetarian.,我吃素的。,أنا نباتي.,sent
I'm afraid all our tables are taken.,恐怕我们所有的桌子都被占用着。,,sent
I'm afraid I'll miss my connecting flight.,我会赶不上我下一段的班机了。,,sent
I'm afraid it's overweight.,恐怕超重了。,,sent
I'm afraid our hotel is fully booked on that night.,本店那晚恐怕已经登记满了。,,sent
I'm afraid that area is under preparation.,恐怕那一区还在准备中。,,sent
I'm afraid that table is reserved for * p.m.,恐怕那张桌子晚上*点以后被预定了。,,vp
I'm afraid there is a mistake.,恐怕出错了吧。,,sent
I'm afraid We don't have it in stock.,恐怕已经没有存货了。,,sent
I'm afraid we have no cocktails now.,现在恐怕没有鸡尾酒了。,,sent
I'm afraid we have no more time to wait.,我想我们没时间再等了。,,sent
I'm afraid we're out of that item.,恐怕那种货已经卖完了。,,sent
I'm feeling kind of airsick.,我觉得晕机了。,,sent
"I'm fine, thank you.","很好, 谢谢。",بخير، شكرا لك.,sent
I'm finished.,我完成了。,لقد انتهيت.,sent
I'm going to have one waitress to serve you.,我去安排一个服务员过来。,,sent
I'm in a hurry.,我要赶时间。,,sent
I'm looking for *.,我在找*,أبحث عن *.,vp
I'm lost.,我迷路了。,أنا تائه.,sent
I'm not feeling well.,我不舒服,أنا لست على ما يرام.,sent
I'm not happy about the dish.,我对这菜不满意。,,sent
I'm not hungry.,我不饿。,,sent
I'm not interested.,我没有兴趣。,أنا لست مهتم.,sent
I'm not sure.,我不确定。,,sent
I'm not sure. Maybe.,我不确定，也许。,,sent
I'm not very happy with the quality of the food here.,我对这里的饭菜质量非常的不满意。,,sent
I'm sick.,我生病了。,انا مريض.,sent
I'm sorry to say that I have to cancel it.,我很抱歉，我不得不取消这个预定。,,sent
"I'm sorry, but there are no window seats available.",很抱谦，没有靠窗的座位了。,,sent
I'm sorry.,对不起。,أنا آسف.,sent
I'm very sorry for the mistake.,很抱歉搞错了。,,sent
I'm very sorry to have kept you waiting.,很抱歉让您一直等着。,,sent
"I'm very sorry, Sir, but we are unable to do that. We would appreciate it very much if you could call us instead.",先生，非常抱歉，我们不能那样做，如果您能打电话来，我们将会非常感激。,,sent
I'm waiting for my luggage.,我在等我的行李。,,sent
I'm with *.,我现在跟*在一起,أنا مع *.,vp
I've been injured.,我受伤了。,إنني مصاب.,sent
I've been waiting for a long time but nobody came to serve me.,我们已经等了很长时间了，但没人来为我们服务。,,sent
I've been waiting half an hour for my order.,从我点餐到现在等了半个小时了。,,sent
I've checked with the kitchen.,我已经与厨房检查过了。,,sent
I've lost *.,我的*不见了,أنا فقدت *.,vp
I've made a reservation at your restaurant.,我已经在你们餐厅预订过了。,,sent
ice tongs,冰夹,,np
iced cafe americano,冰美式咖啡,,np
iced cafe latte,冰拿铁咖啡,,np
iced cappuccino,冰卡布奇诺,,np
iced chocolate coffee,巧克力冰咖啡,,np
iced coffee,冰咖啡,,np
iced espresso,浓缩冰咖啡,,np
iced vanilla latte,冰香草咖啡拿铁,,np
Iceland,冰岛,أيسلندا,np
ID card,身份证,,np
"If you can't come back within a month, we won't keep it for you.",如果一个月之内，您不来领的话，我们将不再替您保存。,,sent
"If you don't like the taste of it, perhaps I could get you something else?",如果您不喜欢这口味，或许我给你换成其他的?,,sent
"If You Forget To Pack Any Standard Toiletry Item（Toothbrush, Toothpaste, Shaving Cream, Razor Or Comb）, Just Call The Front Desk And We'll Get You A Complimentary Repacement Right Away.",如果您忘了把洗漱物品打入您的包裹（如牙刷，牙膏，剃须膏，剃须刀或梳子），请给前台电话，我们可以立即提供赠送替代品。,,sent
inch,英寸,بوصة,np
In aisle *.,在第*通道。,,vp
In whose name was the reservation?,用谁的名字预订的?,,sent
In-Flight.,飞行中。,,sent
in-job training,在职培训,,np
In-Room Coffee Maker.,室内咖啡机。,,sent
Including breakfast.,包括早餐。,بما في ذلك الإفطار.,sent
India,印度,الهند,np
Indonesia,印度尼西亚,أندونيسيا,np
Indoor Swimming Pools.,室内泳池。,,sent
industrious,勤奋的,,np
Information,问询处/咨询台,,sent
ingenious,有独创性的,,np
ingredients,配料,,np
inquiries,问讯处,,np
Insert Or Swipe Key.,将钥匙卡插入或擦过处理机。,,sent
inspection,检查,,np
instant coffee,速溶咖啡,,np
intern,实习生,,np
international airport,国际机场,,np
international departure,国际航班出港,,np
international flight,国际班机,,np
international passenger lobby,国际旅客候机厅,,np
international passengers,国际航班旅客,,np
international terminal,国际候机楼,,np
intersection,交界,تقاطع,np
Introducing High-Speed Internet Access.,高速上网介绍。,,sent
iodized salt,加碘盐,,np
Iran,伊朗,إيران,np
Iraq,伊拉克,العراق,np
Ireland,爱尔兰,أيرلندا,np
Is breakfast included?,包含早餐吗？,هل يتضمن ذلك الإفطار؟,sent
Is insurance included?,包含保险吗？,هل هذا شامل التأمين؟,sent
Is it a direct flight?,是直飞航班吗?,,sent
Is it free of charge?,续杯是免费的吗?,,sent
Is it open on *?,*对外开放吗？,هل هو مفتوح *؟,vp
Is it possible for you to change your reservation date?,你可不可以改变预约日期呢?,,sent
Is the * open today?,*今天开门吗?,هل * مفتوح اليوم؟,vp
Is there * around here?,附近有没有*,هل هناك * قريب؟,vp
Is there * you recommend?,你有推介的*吗？,هل هناك * تنصحني به؟,vp
Is there a cafe near by?,请问附近有没有咖啡店？,,sent
Is there a group discount?,有没有团体折扣？,هل هناك خصم للمجموعات؟,sent
Is there a local specialty?,有没有当地特色？,هل هناك تخصص محلي؟,sent
Is there a student discount?,有没有学生优惠？,هل هناك خصم للطلاب؟,sent
Is there another flight available?,现在还有别的班机可以坐吗?,,sent
Is there anything else to do before flight time?,在起飞前还有其他手续要办吗?,,sent
Is there anywhere I can leave luggage?,有没有地方让我放行李？,هل هناك مكان أترك فيه أغراضي؟,sent
Is there someone here who speaks English?,这里有人会说英语吗？,هل هناك أحد يتحدث الانجليزية؟,sent
Is there table service?,有没有餐桌服务？,هل هناك خدمة طاولات؟,sent
Is this seat *?,这个座位是*吗?,,vp
Is this seat free?,这里有人坐吗？,هل هذا المقعد خالى؟,sent
Is this table all right?,这张桌子可以吗?,,sent
Is this the right counter to check in at?,是在这儿检票吗?,,sent
Islamabad,伊斯兰堡,اسلام اباد,np
Israel,以色列,إسرائيل,np
Istanbul,伊斯坦布尔,اسطنبول,np
It doesn't matter. This one will do.,没关系，那就这张吧。,,sent
It hurts here.,这里很痛,أشعر بالألم هنا.,sent
It is a prohibited item.,这是违禁品。,,sent
It is at the entrance.,就在入口处。,,sent
It is nine in the morning.,现在是早上9点钟。,هي التاسعة صباحاً,sent
It is very hard to find a seat in this restaurant in the evening.,晚上在这家餐厅很难找到座位。,,sent
It seems that this food has gone bad.,这道菜好像坏了。,,sent
It was a misunderstanding.,这是误会。,كان سوء تفاهم,sent
It was delicious.,很好吃。,كان لذيذ‏ ‎,sent
It was nice meeting you.,认识你很高兴。,,sent
It's * dollars per night.,每晚*元。,انها * دولار في الليلة.,vp
It's * kilos.,*公斤。,انها * كيلو.,vp
* per kilo.,*每公斤。,* لكل كيلوغرام,vp
It's a green suitcase with wheels.,它是有轮子的绿色行李箱。,,sent
It's all right.,很好。,,sent
It's an emergency.,这是紧急情况。,إنها حالة طارئة.,sent
It's at the end of this aisle.,在这条通道的尽头。,,sent
It's boarding now.,现在正在登机。,,sent
It's okay.,没关系。,لا بأس,sent
It's over there next to the window.,就在那里，靠窗的那一个。,,sent
It's pleasure to meet you.,很高兴认识(遇见)你。,,sent
It's uncomfortable.,不舒服。,إنه غير مريح.,sent
Italy,意大利,إيطاليا,np
itchy,痒,يحكك,adj
Ivory Coast,象牙海岸,ساحل العاج,np
Jaipur,斋浦尔,جايبور,np
Jakarta,雅加达,جاكرتا,np
jam,果酱,,np
Jamaica,牙买加,جامايكا,np
January,一月,يناير,np
Japan,日本,اليابان,np
Jerusalem,耶路撒冷,بيت المقدس,np
jet aircraft,喷气式飞机,,np
jetway,飞机跑道,,np
jobless,无业,,np
Johannesburg,约翰内斯堡,جوهانسبرج,np
Jordan,约旦,الأردن,np
juice,果汁,عصير,np
juice glass,果汁杯,,np
July,七月,يوليو,np
June,六月,يونيو,np
Just a minute and I'll see if there are any flights.,请等一下，让我看看是否有航班。,,sent
Just a minute. Let me check.,请等一下，让我看看。,,sent
"Just a monent,please. Let me check for you.",请稍等，我来为您查一下。,,sent
Just a second and I will check the schedule.,稍等一会儿，我查一下时间表。,,sent
Just let me know if you need anything else.,如果你需要其他什么东西，就告诉我。,,sent
Just Let Our Manager On Duty Or Front Desk Staff Know If Any Part Of Your Stay Isn't Satisfactory.,如果某处不尽人意请告诉我们的值班经理或前台服务人员。,,sent
Just make sure you don't have any liquid with you.,我只是要确定你没有携带液体。,,sent
Just one brother.,只有一个哥哥。,,sent
Just relax a little bit.,放松点。,,sent
Just this one.,就这一个。,,sent
Kanpur,坎普尔,كانبور,np
Karachi,卡拉奇,كراتشي,np
Kathmandu,加德满都,كاتماندو,np
Kazakhstan,哈萨克斯坦,كازاخستان,np
keep away from fire,切勿近火,,np
Keep Away From Water.,谨防沾水。,,sent
keep dry,保持干燥,,np
keep left,靠左,,np
keep right,靠右,,np
keep silence,保持安静,,np
keep top side up,请勿倒立,,np
Kenya,肯尼亚,كينيا,np
ketchup,番茄酱,,np
Kingston,金士顿,كينغستون,np
Kiribati,基里巴斯,كيريباس,np
Kitchener,基奇纳,كيتشنر,np
Kolkata,加尔各答,كولكاتا,np
Kosovo,科索沃,كوسوفو,np
Kuala Lumpur,吉隆坡,كوالا لامبور,np
Kuwait,科威特,الكويت,np
Kyrgyzstan,吉尔吉斯斯坦,قرغيزستان,np
