,en,ar,pos,cn
551,I don't understand.,أنا لا أفهم,sent,我听不懂。
555,* dollar(s),دولار,prt,美元
556,* pound(s),جنيه,prt,磅
557,* dirham,درهم,prt,迪拉姆
558,* dinar,دينار,prt,第纳尔
559,* yuan,* يوان,prt,*元
560,For one person.,لشخص واحد.,sent,为一个人。
561,For two people.,لشخصين.,sent,为两个人。
562,For * people.,ل* أشخاص.,vp,为*个人。
563,Yeah.,نعم.,vp,是的。
564,Sure.,صحيح!,sent,当然啦!
565,friend,صديق,np,朋友
566,Hi!,مرحبا!,sent,你好！
567,What would you like?,ماذا تحب؟,sent,你喜欢什么？
568,I would like *.,أود *.,vp,我想要 *。
569,mango,مانجو,np,芒果
570,apple,تفاحة,np,苹果
571,* people,* أشخاص,prt,*个人
