,en,cn,pos
434,My car is waiting outside.,我的车停在外面。,sent
435,I am getting my car at the parking lot.,我去停车场取车。,sent
436,Let's go to the parking space directly.,我们直接去停车场吧。,sent
437,We could grab a quick bite.,我们快找点吃的吧。,sent
438,I'm not hungry.,我不饿。,sent
439,Are there any restaurants still open near here?,这附近还有在营业的饭店吗?,sent
440,Where would you like to go for dinner?,你想在哪儿吃饭呢?,sent
441,Do you have any particular restaurant in mind?,你想好有什么特别的餐馆吗?,sent
442,Do you have one to recommend?,你有推荐的吗?,sent
443,Could you recommend some good restaurants around here?,你能推荐几家附近的好餐馆吗?,sent
444,Which restaurant do you recommend?,你推荐哪家餐厅呢?,sent
445,The restaurant across the street is excellent.,街对面的那家餐馆不错。,sent
446,This restaurant is famous for the seafood.,这家餐厅以海鲜闻名。,sent
447,I think we should go and have a try.,我们应该去试试。,sent
448,I don't want to eat there.,我不想在那儿吃。,sent
449,Let's change restaurants.,我们换个饭店吧。,sent
450,It is very hard to find a seat in this restaurant in the evening.,晚上在这家餐厅很难找到座位。,sent
451,The restaurant is so popular that you have to wait for one to two hours to get a seat.,这家餐厅太出名了，要等一两个小时才有座位。,sent
452,This restaurant is more expensive than that one.,这家餐馆比那一家贵得多。,sent
453,Prices of food in this restaurant are much higher than that in other restaurants.,这家餐厅的价格比其他的餐厅高。,sent
454,Let's choose the least expensive restaurant today.,我们今天选家最便宜的餐馆吧。,sent
455,Good evening. Welcome to our restaurant.,晚上好，欢迎光临我们饭店。,sent
456,Have you made a reservation?,您预订订座了吗?,sent
457,Do you have a reservation?,您有预订吗?,sent
458,I've made a reservation at your restaurant.,我已经在你们餐厅预订过了。,sent
459,I've reserved a table for two.,我订了一个两人桌。,sent
460,Our table is No.*,我们预订了*号桌。,vp
461,Please tell me your name.,请告诉我您的名字。,sent
462,I have a reservation under Peter Li.,我有在皮特名下的预订。,sent
463,The reservation is under chen.,是用陈的名字预订的。,sent
464,My surname is Victor.,我叫维克多。,sent
465,The name is Victor.,名字是维克多。,sent
466,We were expecting you.,我们正恭候着您呢。,sent
467,Our waiter will show you to your table.,我们的服务生会带您到餐位。,sent
468,Please wait here or take advantage until our hostess escorts to your table.,请稍等或自便，有人会领你入座。,sent
469,I'll show you to your table.,我来带您到餐桌。,sent
470,Please follow me.,请跟我来。,sent
471,Please come this way.,请往这边走。,sent
472,Come this way please.,来这边请。,sent
473,This way please.,这边请。,sent
474,Please let us pass.,请让我们借过一下。,sent
475,Go right ahead.,请过。,sent
476,I didn't reserve a table.,我没有预订.,sent
477,"No, we do not.",没有预订。,sent
478,"No, I haven't reserved in advance.",没有，我事先没有预订。,sent
479,"Sorry, we're fully booked.",抱歉，我们位子被订满了。,sent
480,How many people please?,请问几个人?,sent
481,How many? sir.,几个人? 先生。,sent
482,"How many of you, please?",请问几位?,sent
483,"A table for three, please.",三位。,sent
484,We'd love a table for four.,我们想要张*人桌。,vp
485,We need a table for four.,我们要一张四人桌。,sent
486,Do you have a table for four please?,你能安排一张四人桌吗?,sent
487,Where would you prefer to sit?,你喜欢坐在哪里?,sent
488,Would you like the smoking or non-smoking section?,您喜欢吸烟区还是非吸烟区?,sent
489,Do you prefer a smoking or non-smoking area?,您喜欢吸烟区还是非吸烟区?,sent
490,Smoking or non-smoking?,吸烟区还是非吸烟区?,sent
491,Doesn't matter.,没关系。,sent
492,"Smoking, please.",吸烟区。,sent
493,Non-smoking.,非吸烟区。,sent
494,I'd like the non-smoking(smoking) section.,我喜欢非吸烟（吸烟）区。,sent
495,Please wait a moment.,请稍等一会。,sent
496,I'll find a table for you.,我会为您找一张桌子。,sent
497,I'll check if we have vacancy.,我看看是否还有空位。,sent
498,Could you wait at the bar until I find an approprite table for you?,您能在吧台等一下，我为您找张合适的桌子?,sent
499,I'm afraid all our tables are taken.,恐怕我们所有的桌子都被占用着。,sent
500,Would you mind waiting until one is free?,您介意等一下空出桌子吗?,sent
501,Would you take a seat over there and I will call you when a table is free?,您能在那边的座位上等一下，当有空桌时我会通知您好吗?,sent
502,"Could you wait in line until a table is free, please?",请您排队等候空位好吗?,sent
503,"Could you wait a little longer, please?",请您等稍长点时间可以吗?,sent
504,How long will it take?,这需要多长时间?,sent
505,I'm not sure.,我不确定。,sent
506,I'll wait.,我等一下吧。,sent
507,We have a table for you now.,现在有桌子了。,sent
508,Thank you for waiting.,谢谢您一直等着。,sent
509,I'm very sorry to have kept you waiting.,很抱歉让您一直等着。,sent
510,We're very sorry for the delay.,我们很抱歉延误了这么长时间。,sent
511,Is this table all right?,这张桌子可以吗?,sent
512,Will this table be all right?,这张桌行吗?,sent
513,How about this table?,这张桌子可以吗?,sent
514,I don't like this table.,我不喜欢这张桌子。,sent
515,This table is too close to the toilet.,这张桌子离厕所太近。,sent
516,Could we have another one?,我们能换个其他的吗?,sent
517,Can we have a quiet area?,我可以要一个安静的地方吗?,sent
518,I think we'd like to take that one by the window.,我们想还是靠窗的那张吧。,sent
519,That table is reserved.,那张桌子被预定了。,sent
520,The table over there has been reserved.,那边那张桌子已经被预定了。,sent
521,The one by the window has been taken by others.,靠窗的那张已经有人预订了。,sent
522,I'm afraid that table is reserved for * p.m.,恐怕那张桌子晚上*点以后被预定了。,vp
523,I'm afraid that area is under preparation.,恐怕那一区还在准备中。,sent
524,It doesn't matter. This one will do.,没关系，那就这张吧。,sent
525,Not bad. We'll take it.,可以，就做这儿吧。,sent
526,This one is very good.,这张桌很好。,sent
527,It's all right.,很好。,sent
528,,,sent
529,Your hat and scart can be hung here.,您的帽子和围巾可以挂在这儿。,sent
530,Please sit down.,请坐。,sent
531,Please take seats.,请坐。,sent
532,Please sit where you like.,请随意入座。,sent
533,"Be seated, please.",请坐。,sent
534,Would you prefer sitting inside or outside?,您比较喜欢做里面还是外面?,sent
535,May I get a high chair for the baby?,我可以给婴儿拿个高脚椅吗?,sent
536,Would you like a high chair for your baby?,您想要一个高脚椅给婴儿吗?,sent
537,Would you like me to bring a baby chair?,您需要我拿个婴儿椅吗?,sent
538,Shall I bring a cushion for the little one to sit on?,我需要拿个垫子为小朋友坐吗?,sent
539,Here's the menu.,这是菜单。,sent
540,You may look at the menu first and decide what you like to have.,请先看看菜单再决定点什么菜。,sent
541,I'm going to have one waitress to serve you.,我去安排一个服务员过来。,sent
542,Our waitress will be with you in a moment.,服务员马上就来。,sent
543,Our waitress will get you tea in a minute.,服务员马上就给您上茶。,sent
544,A waiter will come to take your order.,服务员会过来为您点餐。,sent
545,Cheers!,干杯!,sent
546,Bottoms up!,干杯!,sent
547,Glasses up!,举杯!,sent
548,Let's have a toast!,让我们来干一杯!,sent
549,Let us raise the glass to friendship.,为我们的友谊举杯。,sent
550,Let's just have another toast.,让我们再次举杯庆祝。,sent
551,We can have another toast for that. Cheers!,为了这个我们再次祝酒，干杯！,sent
552,Please give me the paper towel.,请给我些纸巾。,sent
553,Could you get a few small plates for us?,能给我们拿些小盘吗?,sent
554,Would you please bring me a knife and fork?,能给我拿副刀叉吗?,sent
555,Waiter! I have a small problem.,服务生! 我有点问题。,sent
556,This tablecloth is filthy.,这个桌布好脏。,sent
557,This glass is chipped.,这杯子有缺口。,sent
558,This glass is dirty.,这杯子是脏的。,sent
559,This glass is smeared.,这杯子有污渍。,sent
560,This glass is spotted.,这杯子有斑点。,sent
561,This glass is stained.,这杯子有污垢。,sent
562,This glass is stained and it really spoiled my appetite very much.,杯子有污垢，这可真倒胃口。,sent
563,This fork is dirty.,这个叉子是脏的。,sent
564,This knife is not sparp.,这把刀不锋利了。,sent
565,This knife is bent.,这把刀子弯了。,sent
566,This knife doesn't cut.,这把刀不能切了。,sent
567,This knife is blunt.,这把刀子钝了。,sent
568,This knife is so blunt that it can't even cut beancurd.,这刀太钝了，甚至连豆腐都切不了。,sent
569,I'll change it immediately.,我会立即更换。,sent
570,Where are our dishes?,我们的菜在那儿呢?(我们的才怎么还没来呀?),sent
571,The dishes are offered too slowly.,菜上的太慢了。,sent
572,We've been waiting for an hour.,我们已经等了一个小时了。,sent
573,I've been waiting half an hour for my order.,从我点餐到现在等了半个小时了。,sent
574,I order my meal at least * nimutes ago and it still hasn't come.,我至少*分钟前点的餐，到现在还没来。,vp
575,I've been waiting for a long time but nobody came to serve me.,我们已经等了很长时间了，但没人来为我们服务。,sent
576,We came here before they did. How come they were served first?,我们比他们先到，怎么他们先得到服务?,sent
577,Could you see if it's ready?,能看看是否做好了吗?,sent
578,I'll see about your order.,我这就去看看你点的菜。,sent
579,I'll check your order with the chef.,我会和厨师查对您点的菜。,sent
580,Please rush our order.,请快点做好我们的菜。,sent
581,Please do and hurry up!,请快一点!,sent
582,Would you mind hurrying?,你们能快点吗?,sent
583,Would you please serve a little quicker?,能上菜快点吗?,sent
584,Do you think you could tell the kitchen to speed it up a little bit?,你能告诉厨房速度快一点吗?,sent
585,I'll try to hurry things up.,我会催促快些。,sent
586,I'll hurry. Please wait a moment.,我会快点的，请稍等一会儿。,sent
587,I'm in a hurry.,我要赶时间。,sent
588,The kitchen is very busy today.,今天厨房很忙。,sent
589,Our chef is trying his best.,我们的厨师正在尽最大的努力。,sent
590,I'll be right back with your order.,我会立即为您送上餐点。,sent
591,Why is it taking so long?,为什么会这么久?,sent
592,Why is it taking so long for the food to arrive?,为什么上餐要这么久?,sent
593,Does it need to take so long?,用花那么长时间吗?,sent
594,How much longer are we going to have to wait for our dinner?,我们还要等多久才能吃上饭呢?,sent
595,I'm afraid we have no more time to wait.,我想我们没时间再等了。,sent
596,I'd like to cancel my order.,我要取消我的点餐。,sent
597,Please cancel my order if the food is not ready.,如果饭菜没做好的话请取消我的点餐吧。,sent
598,Your food is being cooked. I'm afraid it's too late to cancel it.,你的食物正在做，恐怕取消太晚了。,sent
599,The service is too slow.,这服务太慢了。,sent
600,I can't understand why this restaurant always serves so slowly.,我不明白这个饭店为什么总是上菜这么慢。,sent
601,Your dishes are ready.,您的菜准备好了。,sent
602,"Your meal, we're really sorry for the delay.",你的菜，我们真的很抱歉耽搁了。,sent
603,I'm afraid there is a mistake.,恐怕出错了吧。,sent
604,I think you have made a mistake with my order.,我想你上错我的点的菜了。,sent
605,I don't think I ordered this dish.,我想我没有点这个菜。,sent
606,This is not my order.,这不是我点的菜。,sent
607,This is not what I ordered.,这不是我点的菜。,sent
608,I might have made a mistake.,我可能搞错了。,sent
609,What was your order?,您点的是什么?,sent
610,Could you repeat your order again?,能再说下您点的餐吗?,sent
611,I'm very sorry for the mistake.,很抱歉搞错了。,sent
612,Please be more careful in the future.,请以后多多注意。,sent
613,I hope you enjoy your meal.,我希望您喜欢您的食物。,sent
614,This food tastes strange.,这菜味道好怪。,sent
615,The food has a funny smell.,这菜闻起来很奇怪。,sent
616,This is not the right flavor.,这不是正经的味道。,sent
617,This salad is not fresh.,色拉不新鲜了。,sent
618,The dish I ordered was not fresh.,我点的菜不新鲜。,sent
619,It seems that the seafood has gone bad.,海鲜好像坏了。,sent
620,The food is off.,这菜变质了。,sent
621,My fish is not cooked enough.,我的鱼没做熟。,sent
622,I don't think this fish is proberly cooked.,我觉得这鱼好像没做熟。,sent
623,These eggs are raw.,鸡蛋是生的。,sent
624,These eggs are undercooked.,鸡蛋还没熟。,sent
625,These eggs are too soft/hard.,鸡蛋太软/硬了。,sent
626,These eggs are overcooked.,鸡蛋过熟了。,sent
627,I don't want the yolk to be too well-done.,我不要蛋黄做的太老。,sent
628,My steak is raw.,我的牛排是生的。,sent
629,This steak is underdone.,牛排没熟。,sent
630,This steak is bloody.,牛排带血过多。,sent
631,This steak is hard/dry.,牛排太硬/干了。,sent
632,My steak is tough and overdone.,我的牛排太硬过熟了。,sent
633,This shish kebab is burnt.,这份烤羊肉串烧焦了。,sent
634,There is a fly in my soup.,我的汤里有只苍蝇。,sent
635,The food was dreadful.,这饭菜糟糕透了。,sent
636,I'm not happy about the dish.,我对这菜不满意。,sent
637,I'm not very happy with the quality of the food here.,我对这里的饭菜质量非常的不满意。,sent
638,I'll return your suggestion to the chef.,我会向主厨反应你的意见。,sent
639,I'll ask the chef to explain to you.,我会请主厨来向您解释。,sent
640,I'll have the chef prepare another one.,我会请厨师准备另一份。,sent
641,I'll tell the kitchen to prepare a new one for you.,我会告诉厨房为您再做一份新的。,sent
642,I'll bring you another one.,我会给你另外拿来一份。,sent
643,I'll send this back to the kitchen and get you a new one.,我会把它送回厨房，换拿给您为一份新的。,sent
644,There will be no charge for this.,这一份我们不收费。,sent
645,This is on the house.,这一份由饭店出钱。,sent
646,Your meal is on the house.,你的餐点由饭店出钱。,sent
647,Please accept our apology.,请接受我们的道歉。,sent
648,I've checked with the kitchen.,我已经与厨房检查过了。,sent
649,There isn't anything wrong with this food.,这菜没有任何问题。,sent
650,"If you don't like the taste of it, perhaps I could get you something else?",如果您不喜欢这口味，或许我给你换成其他的?,sent
651,The service was very bad.,这服务太差劲了。,sent
652,I don't like your attitude.,我不喜欢你的态度。,sent
653,You have a problem with your attitude.,你的态度有问题。,sent
654,Could I talk to someone in charge?,我能跟主管谈谈吗?,sent
655,I'd like to see to your manager.,我要见你们经理。,sent
656,Your staff was rude.,你的工作人员很粗鲁。,sent
657,I want three doggy bags.,我需要三个打包袋。,sent
658,May I have a doggy bag?,我可以打包吗?,sent
659,Could you wrap this?,你能把这个打包吗?,sent
660,I'd like to take the rest home.,我想把剩下的打包回家。,sent
661,Please pack the leftovers for me.,请帮我把剩菜打包。,sent
662,"Wrap the steak up for him, so he'll take it with.",打包这份牛排，他要带走。,sent
663,Why don't you wrap his steak up?,你为什么不打包他的牛排?,sent
664,Do you have time for coffee?,你有空喝杯咖啡吗?,sent
665,How about a coffee?,来杯咖啡怎么样?,sent
666,Let's go for coffee.,我们去喝杯咖啡吧。,sent
667,Let's stop at a coffee shop.,让我们在咖啡店歇会儿。,sent
668,Why do you like coffee shop?,你为什么喜欢咖啡店?,sent
669,"Coffee shops are not only a good place to get a cup of coffee, but also a great place to meet customers.",咖啡店不仅是喝咖啡的好地方，而且是会见客户的好地方。,sent
670,Many cafes are now equipped with Wi-Fi.,现在很多咖啡店都装有无线网络。,sent
671,You can surf the Internet while enjoying your coffee.,你在品尝咖啡的时候可以浏览网络。,sent
672,Is there a cafe near by?,请问附近有没有咖啡店？,sent
673,Waiter!,服务生！,sent
674,What kind of coffee do you have?,你们这儿有什么咖啡?,sent
675,What kind of drinks you got?,你们有什么饮料?,sent
676,What do you have to drink?,你们这里有什么喝的?,sent
677,Would you like some tea or coffee?,喝茶还是喝咖啡？,sent
678,I'd like a coffee.,我想要杯咖啡。,sent
679,Give me a cup of coffee.,给我一杯咖啡。,sent
680,"A cup of coffee for me, and a glass of apple juice for her.",我要一杯咖啡，她要一杯苹果汁。,sent
681,How would you like your coffee?,你喝什么样的咖啡?,sent
682,What flavor do you like?,你喜欢什么口味?,sent
683,"What coffee would you like,black coffee or white coffee?",你喜欢什么咖啡，黑咖啡还是牛奶咖啡？,sent
684,A small cup of strong black coffee without milk or cream.,小杯浓的黑咖啡，不加牛奶和奶油。,sent
685,Would you like some cream in your coffee?,你的咖啡要加点奶油吗?,sent
686,Cream and sugar.,要加糖和奶油。,sent
687,"No cream, please.",请不要加奶油。,sent
688,I'd like a coffee with sugar.,我想要杯加糖的咖啡。,sent
689,Do you have any sugar substitute?,你们有代糖的吗?,sent
690,I don't want to intake any sugar.,我不想摄入糖分。,sent
691,I'd like a decaf.,来一杯没有咖啡因的咖啡。,sent
692,Give me a decaf.,给我一杯没有咖啡因的咖啡。,sent
693,"Black coffee, please.",请来杯黑咖啡（清咖啡）。,sent
694,"Black coffee for me,just black.",黑咖啡，不加别的。,sent
695,I take it black.,我喜欢黑咖啡。,sent
696,Some black coffee will help to sober me up,.一些黑咖啡，能让我清醒。,sent
697,I love Japanese coffee shops.,我喜欢日本的咖啡店。,sent
698,"Do you serve anything else besides drinks? Say, cake.",除了喝的你们这还有什么别的吗? 比如蛋糕。,sent
699,We also serve sandwiches and cakes.,我们还供应三明治和蛋糕。,sent
700,Give me two pieces of cake.,给我来两块蛋糕吧。,sent
701,Can you come here when you have a second?,你有空时能到这里来一下吗?,sent
702,"Yes, sir. How can I help you?",来了，先生。有什么需要帮忙的?,sent
703,Please clean up the table.,请收拾一下桌子。,sent
704,OK. And anything else I can do for you?,好的，还有什么别的需要吗?,sent
705,"I'd like a refill, please.",请给我续一杯。,sent
706,I need more coffee.,我要加点咖啡。,sent
707,Is it free of charge?,续杯是免费的吗?,sent
708,"May I have another black coffee,please?",请再给我一杯黑咖啡好吗？,sent
709,When does the coffee shop close?,咖啡店什么时候打烊呢？,sent
710,We lazed the whole afternoon away at a cafe.,我们在一家咖啡馆消磨了整个下午。,sent
711,,,sent
712,The Pearl River Hotel. anything I can do for you?,这是珠江宾馆，我能为您做什么?,sent
713,Room Reservation. Good afternoon.,客房预约部。下午好!,sent
714,Advance Reservations. Can I help you?,这儿预订房间，需要效劳吗?,sent
715,I'd like to make a reservation.,我想预订房间。,sent
716,I'd like to reserve a room.,我想订一间房。,sent
717,I'd like to reserve some rooms for a tourist party.,我想为一个旅游团订一些房间。,sent
718,What date will you check in?,你们那天入住?,sent
719,"For what time, Madam?",小姐，请问什么时间入住?,sent
720,Which date would you that be?,要订在哪个日期?,sent
721,For the night of April *th for one night.,订*月*日一个晚上。,vp
722,What kind of room would you like?,你喜欢订哪类房间?,sent
723,"We have single rooms, double rooms, suites and luxury suites, etc.",我们有单人房，双人房，套房和豪华套房等等。,sent
724,I'd like a standard room.,我要一个标准间。,sent
725,I'd like to book a single room with a bath from the afternoon of February *th to the morning of february *th.,我想订一个带洗澡间的单人房间，从*月*日下午到*月*日上午。,vp
726,"I'm calling from Nanjing. I'd like to reserve a single room from tomorrow for six days, please.",我从南京打来电话。我想预订一个单人房，明晚开始，共*天。,vp
727,I'd like to book a double room for next Tuesday.,下星期二我想订一个双人房间。,sent
728,"That's fine. A double room for Tuesday, September *th.",好的。星期二，*月*日，一个双人间。,vp
729,How long do you plan to stay?,你计划住多久?,sent
730,How long will you be staying?,请问你要住多久?,sent
731,We'll be leaving on Sunday morning.,我们星期日早上离开。,sent
732,That will be five night.,那就是五天。,sent
733,"Could you hold the line, please? I'll check our room availability for that day.",请别挂断? 我要查一下那天的空房间。,sent
734,"Thank you for waiting, Sir. We have a vacancy for that period.",让您就等了。我们这段时间有房间。,sent
735,What's the price?,房间的价格是多少?,sent
736,"What's the rate, please?",请问房费是多少?,sent
737,Could you tell me the current price?,你能告诉我现在房价是多少吗?,sent
738,What's the rate for a standard room?,标准房间多少钱?,sent
739,It's two hundred and twenty yuan per night.,每晚*元。,vp
740,The current rate is * yuan per night.,现行房费是每天*元。,vp
741,It's $* including breakfast and room service.,*美元包括早餐和服务费。,vp
742,That sounds not bad at all. I'll take it.,听起来还不错。这个房间我订了。,sent
743,"OK. Your name, please?",可以，请问您的名字?,sent
744,"Could you tell me your name, Sir?",能告诉我你的名字吗，先生?,sent
745,"What's your name, please?",请问您的名字?,sent
746,"Yes, it is Carl.",好的，我是卡尔。,sent
747,"How do you spell it, please?",请问怎么拼写呢?,sent
748,It's C-A-R-L. C-A-R-L,,sent
749,"And your telephone number, please?",请问你的电话号码是多少?,sent
750,My telephone number is *-*,我的电话号码是*7856。,vp
751,"By the way, how would you like to pay for it?",另外，您准备怎样付款呢?,sent
752,This hotel prefers cash.,本宾馆主张现金付款。,sent
753,I see. When can I receive your confirmation?,明白了。我什么时候可以得到你们的确认?,sent
754,Not until you have paid a * percent deposit.,您只要支付*%的预订金，我们就予以确定。,vp
755,I'll log in to the Internet to find out about you. I know your address.,我还是上因特网去看吧。我知道你们的网址。,sent
756,Could I ask when you will arrive?,请问您什么时候到达?,sent
757,I'll get there by five o'clock on August *th.,我会在*月*日*点之前到达。,vp
758,We'll have the room ready for you.,我们会为您准备好房间。,sent
759,Thank you for booking in our hotel.,谢谢您预定我们的宾馆。,sent
760,OK. We look forward to your visit.,好的，我们期待您的光临。,sent
761,OK. Thank you and we look forward to your arrival.,好的，谢谢您，我们期盼您的到来。,sent
762,We look forward to seeing you next Tuesday.,我们盼望下星期二见到您。,sent
763,See you then.,到时候见。,sent
764,I'd like reserve a room facing the sea.,我想订个临海的房间。,sent
765,We're fully booked.,我们都订满了。,sent
766,All our rooms are full occupied.,我们所有的房间都满了。,sent
767,I'm afraid our hotel is fully booked on that night.,本店那晚恐怕已经登记满了。,sent
768,I am afraid that all the room with a view to the sea have been booked.,恐怕所有看得到海的房间都已经被预订了。,sent
769,That is really disappointing.,真让人失望。,sent
770,"And now you want to change the booking, do you?",你想变更一下入住时间吗?,sent
771,Is it possible for you to change your reservation date?,你可不可以改变预约日期呢?,sent
772,"No, that's not possible.",不能。,sent
773,We might have cancellations. Could you call us again closer to the date?,或许有人会取消预约，请您接近哪个日期时再打电话好吗?,sent
774,"Sure, but if you do have any cancellations, could you let me know as soon as possible?",好的，如果真有人取消，能不能尽快让我知道呢?,sent
775,"I'm very sorry, Sir, but we are unable to do that. We would appreciate it very much if you could call us instead.",先生，非常抱歉，我们不能那样做，如果您能打电话来，我们将会非常感激。,sent
776,We hope you understand.,希望您能谅解。,sent
777,"Room Reservations. May i help you,sir?",客房预定。先生有什么需要我帮忙的吗?,sent
778,"Yes, my name is Alice, and I made a reservation for two nights from October *th. I'd like to extend it for two more nights until the *th.",是的，我的名字是爱丽丝，我预订了房间从*月*日保留两个晚上，我将延长两个晚上直到*号。,vp
779,For * nights from October *th until October *th.,从*月*日到*日四个晚上。,vp
780,Will there be any change in your room type? Your reservation is for a twin room.,您需要变化你的房间类型吗？你预定的是一间双人床的。,sent
781,No.,不。,sent
782,"Thank you, sir. We will extend the reservation for you.",谢谢，先生。我们将为您扩大保留。,sent
783,I booked a single room in your hotel for this friday.,我在你们宾馆预定了这周五的单人房间。,sent
784,I'm sorry to say that I have to cancel it.,我很抱歉，我不得不取消这个预定。,sent
785,I'd like to cancel a reservation.,我想取消预订。,sent
786,Can I cancel my reservation?,我能取消我的预定吗?,sent
787,"May I have your name, please?",请把你的名字告诉我好吗?,sent
788,In whose name was the reservation?,用谁的名字预订的?,sent
789,Jack Bruder.,杰克布鲁德尔。,sent
790,"How do you spell that, please?",请讲一下是怎么拼写的?,sent
791,B-r-u-d-e-r. B-r-u-d-e-r。,,sent
792,What was the date of the reservation?,保留的日期是什么呢?,sent
793,From October *nd for * nights.,从*月*日三个晚上。,vp
794,"Excuse me, but is the reservation for you?",对不起，是您预定的?,sent
795,"No, it's for my friend.",不，是我的朋友。,sent
796,"May I have your name and phone number, please?",能告诉我你的名字和电话吗?,sent
797,It's Mary Calson and my number is *-*,我叫玛丽凯撒和我的电话*-*。,vp
798,"Thank you, ma'am.I'll cancel Mr.Bruder's reservation from October *nd for * nights.My name is Jason and we look forward to another chance to serve you.",谢谢你太太，我们将取消布鲁特尔从*月*号三个晚上的预定，我的名字叫杰桑，我们下次一个机会为您服务。,vp
799,I have cancelled your reservation.,我已经取消了你的预定。,sent
800,Check In.,办理入住。,sent
801,Check Out.,办理离店手续。,sent
802,Sorry No Vacancy.,抱歉，客满。,sent
803,Front Desk,前台,sent
804,Front Counter,前台,sent
805,Reception,前台/服务台/接待,sent
806,Information,问询处/咨询台,sent
807,Manager On Duty.,值班经理。,sent
808,Restaurant Lounge.,酒店大厅。,sent
809,Stalls,中庭,sent
810,Front Aisle,前廊,sent
811,East Wing,东楼,sent
812,West Wing,西楼,sent
813,East Box,东厢,sent
814,West Box,西厢,sent
815,Suit,套间,sent
816,Handicapped Room.,残疾人房间。,sent
817,Accessible Guestroom.,残疾人客房。,sent
818,Guest Room Dept.,客房部,sent
819,House Keeping Dept.,客房部,sent
820,Price According To Season And Size Of Flat.,价格按季节和公寓大小而定。,sent
821,Stay A Minimum Of * Nights And Receive * Extra Night Free.,住三晚，可额外免费赠一晚。,vp
822,Reduced Rates For Elderly.,老人优惠。,sent
823,No Service Fee.,免收服务费用。,sent
824,Guest Safety Tips.,旅客安全提示。,sent
825,Slippery Road.,小心路滑。,sent
826,Be Careful.,小心(路滑)。,sent
827,Caution：Slippery!,注意：滑!,sent
828,Always Use Deadbolt.,始终使用死栓。,sent
829,Double Lock Door. Use Safety Latch.,双保险门闩，请使用安全碰锁。,sent
830,Use Door Viewer To Identify Callers Prior To Opening Door.,开门前通过猫洞鉴别叫门人身份。,sent
831,Never Open Door Prior To Verifying ID.,没有确认对方身份绝对不能开门。,sent
832,Secure Valuables.,保管好贵重物品。,sent
833,Please Keep Valuables With You.,贵重物品随身携带/贵重物品请自行妥善保管。,sent
834,Please Take care Of Your Belongings.,请保管好随身物品。,sent
835,Don't Leave Valuables Unattended.,请保管好随身携带的贵重物品。,sent
836,Safe Deposit Boxes Are Available At Front Desk.,前台可以提供保险箱。,sent
837,Report Suspicious Persons Or Acts.,报告可疑人员或可疑行为。,sent
838,Insert Or Swipe Key.,将钥匙卡插入或擦过处理机。,sent
839,Remove Key.,取出钥匙卡。,sent
840,Turn Handle.,旋转手柄。,sent
841,Please Return This Key Card To The Front Desk When You Check Out.,结账时请将钥匙卡归还前台。,sent
842,Do Not Smoke In The Bed.,请勿在床上吸烟。,sent
843,This Is Designated Non-Smoking Room.,这是指定的禁烟房间。,sent
844,A Cleaning Fee Of $* Will Be Charged To Your Room Account If You Smoke In This Room.,违者将被从账户中扣除$*罚金作为清洁费用。,vp
845,Air Conditioned.,空调开放。,sent
846,Fully Centrally Heated.,中央暖气全部开放。,sent
847,Full Central Heating With House Provided Hot Water * Hours.,中央暖气系统，房间*小时提供热水。,vp
848,In-Room Coffee Maker.,室内咖啡机。,sent
849,Tea(Coffee) Making Facility In All Bedrooms.,所有卧室有沏茶（煮咖啡）设备。,sent
850,Be Careful When Using The Bath.,使用此浴室时小心。,sent
851,Sauna,桑拿浴,sent
852,Whirlpool,热水漩涡池,sent
853,Depress Handle Until Bowl Is Empty.,压下把手直至便盆冲净为止。,sent
854,Outdoor Swimming Pools.,室外泳池。,sent
855,Indoor Swimming Pools.,室内泳池。,sent
856,(Hair) Dryer,头发吹风机,sent
857,Warm Air Hand Drier.,吹风机。,sent
858,Keep Away From Water.,谨防沾水。,sent
859,Shave Pins In All Bedrooms.,所有卧室备有刮脸插销。,sent
860,Unplug It.,拔去电源插头。,sent
861,Warn Children Of The Risk Of Death By Electric Shock.,小心孩童触电死亡。,sent
862,Forget Something?,遗忘了物品吗?,sent
863,"If You Forget To Pack Any Standard Toiletry Item（Toothbrush, Toothpaste, Shaving Cream, Razor Or Comb）, Just Call The Front Desk And We'll Get You A Complimentary Repacement Right Away.",如果您忘了把洗漱物品打入您的包裹（如牙刷，牙膏，剃须膏，剃须刀或梳子），请给前台电话，我们可以立即提供赠送替代品。,sent
864,"For Your Convenience, Cigarettes Are Available At The Front Desk.",为了您的方便，前台有香烟出售。,sent
865,Night Porter On Duty.,夜间有行李搬运服务生。,sent
866,Laundry Service.,提供洗烫服务。,sent
867,Pay Phone,付费电话,sent
868,Attendant Call.,呼叫服务员,sent
869,For Reservation Call...,预订服务请拨电话...,sent
870,Early Book For Lunch Or Dinner.,预订午餐或晚餐。,sent
871,High-Speed Wireless Internet.,高速无线上网,sent
872,Introducing High-Speed Internet Access.,高速上网介绍。,sent
873,Free In All Guest Rooms.,所有房间内免费登陆。,sent
874,Guest Rooms In This Hotel Are Not Equipped With Wireless(Wifi) High Speed Internet Access.,本酒店旅客房间内没有无线上网设施。,sent
875,Wifi Is Available In Public Area In The Hotel.,在酒店的公共场所可以登陆无线英特网。,sent
876,Please Call The Hotel Operator For More Information.,可以打电话询问酒店接线员更多信息。,sent
877,"For More On High Speed Internet Access, Including Trouble Shooting Information, Please Refer To The Guest Service Directory.",请查阅旅客服务指南获取更多的有关高速上网以及如何排除故障的信息。,sent
