,ar,cn,en,pos
419,,能告诉我你乘坐的航班号吗?,Can you tell me your flight number?,sent
420,,请给我你的行李领取牌。,Please give me your baggage claim tag.,sent
421,,你能描述一下你的行李吗?,Could you describe your baggage?,sent
422,,它是什么样子的?,What does it look like?,sent
423,,它是有轮子的绿色行李箱。,It's a green suitcase with wheels.,sent
424,,填一下这张表。,Fill out this form.,sent
425,,我马上为您查询。,I'll check it for you at once.,sent
426,,在这儿。,Here it is.,sent
427,,这是我的行李。,This is my luggage.,sent
428,,你能帮我拿行李吗? 实在太重了。,Can you help me get my baggage? It's too heavy.,sent
429,,我在哪儿能得到行李车?,Where can I get a baggage trolley?,sent
430,,你的旅途怎么样呢?,How was your flight?,sent
431,,经过长途飞行后你一定累了。,You must be tired after such a long flight.,sent
432,,我感觉很累，因为飞行时间很长。,"I feel very tired, because it's a very long flight.",sent
433,,让我帮你拿行李吧。,Let me help you with your luggage.,sent
434,,我的车停在外面。,My car is waiting outside.,sent
435,,我去停车场取车。,I am getting my car at the parking lot.,sent
436,,我们直接去停车场吧。,Let's go to the parking space directly.,sent
437,,我们快找点吃的吧。,We could grab a quick bite.,sent
438,,我不饿。,I'm not hungry.,sent
439,,这附近还有在营业的饭店吗?,Are there any restaurants still open near here?,sent
440,,你想在哪儿吃饭呢?,Where would you like to go for dinner?,sent
441,,你想好有什么特别的餐馆吗?,Do you have any particular restaurant in mind?,sent
442,,你有推荐的吗?,Do you have one to recommend?,sent
443,,你能推荐几家附近的好餐馆吗?,Could you recommend some good restaurants around here?,sent
444,,你推荐哪家餐厅呢?,Which restaurant do you recommend?,sent
445,,街对面的那家餐馆不错。,The restaurant across the street is excellent.,sent
446,,这家餐厅以海鲜闻名。,This restaurant is famous for the seafood.,sent
447,,我们应该去试试。,I think we should go and have a try.,sent
448,,我不想在那儿吃。,I don't want to eat there.,sent
449,,我们换个饭店吧。,Let's change restaurants.,sent
450,,晚上在这家餐厅很难找到座位。,It is very hard to find a seat in this restaurant in the evening.,sent
451,,这家餐厅太出名了，要等一两个小时才有座位。,The restaurant is so popular that you have to wait for one to two hours to get a seat.,sent
452,,这家餐馆比那一家贵得多。,This restaurant is more expensive than that one.,sent
453,,这家餐厅的价格比其他的餐厅高。,Prices of food in this restaurant are much higher than that in other restaurants.,sent
454,,我们今天选家最便宜的餐馆吧。,Let's choose the least expensive restaurant today.,sent
455,,晚上好，欢迎光临我们饭店。,Good evening. Welcome to our restaurant.,sent
456,,您预订订座了吗?,Have you made a reservation?,sent
457,,您有预订吗?,Do you have a reservation?,sent
458,,我已经在你们餐厅预订过了。,I've made a reservation at your restaurant.,sent
459,,我订了一个两人桌。,I've reserved a table for two.,sent
460,,我们预订了*号桌。,Our table is No.*,vp
461,,请告诉我您的名字。,Please tell me your name.,sent
462,,我有在皮特名下的预订。,I have a reservation under Peter Li.,sent
463,,是用陈的名字预订的。,The reservation is under chen.,sent
464,,我叫维克多。,My surname is Victor.,sent
465,,名字是维克多。,The name is Victor.,sent
466,,我们正恭候着您呢。,We were expecting you.,sent
467,,我们的服务生会带您到餐位。,Our waiter will show you to your table.,sent
468,,请稍等或自便，有人会领你入座。,Please wait here or take advantage until our hostess escorts to your table.,sent
469,,我来带您到餐桌。,I'll show you to your table.,sent
470,,请跟我来。,Please follow me.,sent
471,,请往这边走。,Please come this way.,sent
472,,来这边请。,Come this way please.,sent
473,,这边请。,This way please.,sent
474,,请让我们借过一下。,Please let us pass.,sent
475,,请过。,Go right ahead.,sent
476,,我没有预订.,I didn't reserve a table.,sent
477,,没有预订。,"No, we do not.",sent
478,,没有，我事先没有预订。,"No, I haven't reserved in advance.",sent
479,,抱歉，我们位子被订满了。,"Sorry, we're fully booked.",sent
480,,请问几个人?,How many people please?,sent
481,,几个人? 先生。,How many? sir.,sent
482,,请问几位?,"How many of you, please?",sent
483,,三位。,"A table for three, please.",sent
484,,我们想要张*人桌。,We'd love a table for four.,vp
485,,我们要一张四人桌。,We need a table for four.,sent
486,,你能安排一张四人桌吗?,Do you have a table for four please?,sent
487,,你喜欢坐在哪里?,Where would you prefer to sit?,sent
488,,您喜欢吸烟区还是非吸烟区?,Would you like the smoking or non-smoking section?,sent
489,,您喜欢吸烟区还是非吸烟区?,Do you prefer a smoking or non-smoking area?,sent
490,,吸烟区还是非吸烟区?,Smoking or non-smoking?,sent
491,,没关系。,Doesn't matter.,sent
492,,吸烟区。,"Smoking, please.",sent
493,,非吸烟区。,Non-smoking.,sent
494,,我喜欢非吸烟（吸烟）区。,I'd like the non-smoking(smoking) section.,sent
495,,请稍等一会。,Please wait a moment.,sent
496,,我会为您找一张桌子。,I'll find a table for you.,sent
497,,我看看是否还有空位。,I'll check if we have vacancy.,sent
498,,您能在吧台等一下，我为您找张合适的桌子?,Could you wait at the bar until I find an approprite table for you?,sent
499,,恐怕我们所有的桌子都被占用着。,I'm afraid all our tables are taken.,sent
500,,您介意等一下空出桌子吗?,Would you mind waiting until one is free?,sent
501,,您能在那边的座位上等一下，当有空桌时我会通知您好吗?,Would you take a seat over there and I will call you when a table is free?,sent
502,,请您排队等候空位好吗?,"Could you wait in line until a table is free, please?",sent
503,,请您等稍长点时间可以吗?,"Could you wait a little longer, please?",sent
504,,这需要多长时间?,How long will it take?,sent
505,,我不确定。,I'm not sure.,sent
506,,我等一下吧。,I'll wait.,sent
507,,现在有桌子了。,We have a table for you now.,sent
508,,谢谢您一直等着。,Thank you for waiting.,sent
509,,很抱歉让您一直等着。,I'm very sorry to have kept you waiting.,sent
510,,我们很抱歉延误了这么长时间。,We're very sorry for the delay.,sent
511,,这张桌子可以吗?,Is this table all right?,sent
512,,这张桌行吗?,Will this table be all right?,sent
513,,这张桌子可以吗?,How about this table?,sent
514,,我不喜欢这张桌子。,I don't like this table.,sent
515,,这张桌子离厕所太近。,This table is too close to the toilet.,sent
516,,我们能换个其他的吗?,Could we have another one?,sent
517,,我可以要一个安静的地方吗?,Can we have a quiet area?,sent
518,,我们想还是靠窗的那张吧。,I think we'd like to take that one by the window.,sent
519,,那张桌子被预定了。,That table is reserved.,sent
520,,那边那张桌子已经被预定了。,The table over there has been reserved.,sent
521,,靠窗的那张已经有人预订了。,The one by the window has been taken by others.,sent
522,,恐怕那张桌子晚上*点以后被预定了。,I'm afraid that table is reserved for * p.m.,vp
523,,恐怕那一区还在准备中。,I'm afraid that area is under preparation.,sent
524,,没关系，那就这张吧。,It doesn't matter. This one will do.,sent
525,,可以，就做这儿吧。,Not bad. We'll take it.,sent
526,,这张桌很好。,This one is very good.,sent
527,,很好。,It's all right.,sent
528,,,,sent
529,,您的帽子和围巾可以挂在这儿。,Your hat and scart can be hung here.,sent
530,,请坐。,Please sit down.,sent
531,,请坐。,Please take seats.,sent
532,,请随意入座。,Please sit where you like.,sent
533,,请坐。,"Be seated, please.",sent
534,,您比较喜欢做里面还是外面?,Would you prefer sitting inside or outside?,sent
535,,我可以给婴儿拿个高脚椅吗?,May I get a high chair for the baby?,sent
536,,您想要一个高脚椅给婴儿吗?,Would you like a high chair for your baby?,sent
537,,您需要我拿个婴儿椅吗?,Would you like me to bring a baby chair?,sent
538,,我需要拿个垫子为小朋友坐吗?,Shall I bring a cushion for the little one to sit on?,sent
539,,这是菜单。,Here's the menu.,sent
540,,请先看看菜单再决定点什么菜。,You may look at the menu first and decide what you like to have.,sent
541,,我去安排一个服务员过来。,I'm going to have one waitress to serve you.,sent
542,,服务员马上就来。,Our waitress will be with you in a moment.,sent
543,,服务员马上就给您上茶。,Our waitress will get you tea in a minute.,sent
544,,服务员会过来为您点餐。,A waiter will come to take your order.,sent
545,,干杯!,Cheers!,sent
546,,干杯!,Bottoms up!,sent
547,,举杯!,Glasses up!,sent
548,,让我们来干一杯!,Let's have a toast!,sent
549,,为我们的友谊举杯。,Let us raise the glass to friendship.,sent
550,,让我们再次举杯庆祝。,Let's just have another toast.,sent
551,,为了这个我们再次祝酒，干杯！,We can have another toast for that. Cheers!,sent
552,,请给我些纸巾。,Please give me the paper towel.,sent
553,,能给我们拿些小盘吗?,Could you get a few small plates for us?,sent
554,,能给我拿副刀叉吗?,Would you please bring me a knife and fork?,sent
555,,服务生! 我有点问题。,Waiter! I have a small problem.,sent
556,,这个桌布好脏。,This tablecloth is filthy.,sent
557,,这杯子有缺口。,This glass is chipped.,sent
558,,这杯子是脏的。,This glass is dirty.,sent
559,,这杯子有污渍。,This glass is smeared.,sent
560,,这杯子有斑点。,This glass is spotted.,sent
561,,这杯子有污垢。,This glass is stained.,sent
562,,杯子有污垢，这可真倒胃口。,This glass is stained and it really spoiled my appetite very much.,sent
563,,这个叉子是脏的。,This fork is dirty.,sent
564,,这把刀不锋利了。,This knife is not sparp.,sent
565,,这把刀子弯了。,This knife is bent.,sent
566,,这把刀不能切了。,This knife doesn't cut.,sent
567,,这把刀子钝了。,This knife is blunt.,sent
568,,这刀太钝了，甚至连豆腐都切不了。,This knife is so blunt that it can't even cut beancurd.,sent
569,,我会立即更换。,I'll change it immediately.,sent
570,,我们的菜在那儿呢?(我们的才怎么还没来呀?),Where are our dishes?,sent
571,,菜上的太慢了。,The dishes are offered too slowly.,sent
572,,我们已经等了一个小时了。,We've been waiting for an hour.,sent
573,,从我点餐到现在等了半个小时了。,I've been waiting half an hour for my order.,sent
574,,我至少*分钟前点的餐，到现在还没来。,I order my meal at least * nimutes ago and it still hasn't come.,vp
575,,我们已经等了很长时间了，但没人来为我们服务。,I've been waiting for a long time but nobody came to serve me.,sent
576,,我们比他们先到，怎么他们先得到服务?,We came here before they did. How come they were served first?,sent
577,,能看看是否做好了吗?,Could you see if it's ready?,sent
578,,我这就去看看你点的菜。,I'll see about your order.,sent
579,,我会和厨师查对您点的菜。,I'll check your order with the chef.,sent
580,,请快点做好我们的菜。,Please rush our order.,sent
581,,请快一点!,Please do and hurry up!,sent
582,,你们能快点吗?,Would you mind hurrying?,sent
583,,能上菜快点吗?,Would you please serve a little quicker?,sent
584,,你能告诉厨房速度快一点吗?,Do you think you could tell the kitchen to speed it up a little bit?,sent
585,,我会催促快些。,I'll try to hurry things up.,sent
586,,我会快点的，请稍等一会儿。,I'll hurry. Please wait a moment.,sent
587,,我要赶时间。,I'm in a hurry.,sent
588,,今天厨房很忙。,The kitchen is very busy today.,sent
589,,我们的厨师正在尽最大的努力。,Our chef is trying his best.,sent
590,,我会立即为您送上餐点。,I'll be right back with your order.,sent
591,,为什么会这么久?,Why is it taking so long?,sent
592,,为什么上餐要这么久?,Why is it taking so long for the food to arrive?,sent
593,,用花那么长时间吗?,Does it need to take so long?,sent
594,,我们还要等多久才能吃上饭呢?,How much longer are we going to have to wait for our dinner?,sent
595,,我想我们没时间再等了。,I'm afraid we have no more time to wait.,sent
596,,我要取消我的点餐。,I'd like to cancel my order.,sent
597,,如果饭菜没做好的话请取消我的点餐吧。,Please cancel my order if the food is not ready.,sent
598,,你的食物正在做，恐怕取消太晚了。,Your food is being cooked. I'm afraid it's too late to cancel it.,sent
599,,这服务太慢了。,The service is too slow.,sent
600,,我不明白这个饭店为什么总是上菜这么慢。,I can't understand why this restaurant always serves so slowly.,sent
601,,您的菜准备好了。,Your dishes are ready.,sent
602,,你的菜，我们真的很抱歉耽搁了。,"Your meal, we're really sorry for the delay.",sent
603,,恐怕出错了吧。,I'm afraid there is a mistake.,sent
604,,我想你上错我的点的菜了。,I think you have made a mistake with my order.,sent
605,,我想我没有点这个菜。,I don't think I ordered this dish.,sent
606,,这不是我点的菜。,This is not my order.,sent
607,,这不是我点的菜。,This is not what I ordered.,sent
608,,我可能搞错了。,I might have made a mistake.,sent
609,,您点的是什么?,What was your order?,sent
610,,能再说下您点的餐吗?,Could you repeat your order again?,sent
611,,很抱歉搞错了。,I'm very sorry for the mistake.,sent
612,,请以后多多注意。,Please be more careful in the future.,sent
613,,我希望您喜欢您的食物。,I hope you enjoy your meal.,sent
614,,这菜味道好怪。,This food tastes strange.,sent
615,,这菜闻起来很奇怪。,The food has a funny smell.,sent
616,,这不是正经的味道。,This is not the right flavor.,sent
617,,色拉不新鲜了。,This salad is not fresh.,sent
618,,我点的菜不新鲜。,The dish I ordered was not fresh.,sent
619,,海鲜好像坏了。,It seems that the seafood has gone bad.,sent
620,,这菜变质了。,The food is off.,sent
621,,我的鱼没做熟。,My fish is not cooked enough.,sent
622,,我觉得这鱼好像没做熟。,I don't think this fish is proberly cooked.,sent
623,,鸡蛋是生的。,These eggs are raw.,sent
624,,鸡蛋还没熟。,These eggs are undercooked.,sent
625,,鸡蛋太软/硬了。,These eggs are too soft/hard.,sent
626,,鸡蛋过熟了。,These eggs are overcooked.,sent
627,,我不要蛋黄做的太老。,I don't want the yolk to be too well-done.,sent
628,,我的牛排是生的。,My steak is raw.,sent
629,,牛排没熟。,This steak is underdone.,sent
630,,牛排带血过多。,This steak is bloody.,sent
631,,牛排太硬/干了。,This steak is hard/dry.,sent
632,,我的牛排太硬过熟了。,My steak is tough and overdone.,sent
633,,这份烤羊肉串烧焦了。,This shish kebab is burnt.,sent
634,,我的汤里有只苍蝇。,There is a fly in my soup.,sent
635,,这饭菜糟糕透了。,The food was dreadful.,sent
636,,我对这菜不满意。,I'm not happy about the dish.,sent
637,,我对这里的饭菜质量非常的不满意。,I'm not very happy with the quality of the food here.,sent
638,,我会向主厨反应你的意见。,I'll return your suggestion to the chef.,sent
639,,我会请主厨来向您解释。,I'll ask the chef to explain to you.,sent
640,,我会请厨师准备另一份。,I'll have the chef prepare another one.,sent
641,,我会告诉厨房为您再做一份新的。,I'll tell the kitchen to prepare a new one for you.,sent
642,,我会给你另外拿来一份。,I'll bring you another one.,sent
643,,我会把它送回厨房，换拿给您为一份新的。,I'll send this back to the kitchen and get you a new one.,sent
644,,这一份我们不收费。,There will be no charge for this.,sent
645,,这一份由饭店出钱。,This is on the house.,sent
646,,你的餐点由饭店出钱。,Your meal is on the house.,sent
647,,请接受我们的道歉。,Please accept our apology.,sent
648,,我已经与厨房检查过了。,I've checked with the kitchen.,sent
649,,这菜没有任何问题。,There isn't anything wrong with this food.,sent
650,,如果您不喜欢这口味，或许我给你换成其他的?,"If you don't like the taste of it, perhaps I could get you something else?",sent
651,,这服务太差劲了。,The service was very bad.,sent
652,,我不喜欢你的态度。,I don't like your attitude.,sent
653,,你的态度有问题。,You have a problem with your attitude.,sent
654,,我能跟主管谈谈吗?,Could I talk to someone in charge?,sent
655,,我要见你们经理。,I'd like to see to your manager.,sent
656,,你的工作人员很粗鲁。,Your staff was rude.,sent
657,,我需要三个打包袋。,I want three doggy bags.,sent
658,,我可以打包吗?,May I have a doggy bag?,sent
659,,你能把这个打包吗?,Could you wrap this?,sent
660,,我想把剩下的打包回家。,I'd like to take the rest home.,sent
661,,请帮我把剩菜打包。,Please pack the leftovers for me.,sent
662,,打包这份牛排，他要带走。,"Wrap the steak up for him, so he'll take it with.",sent
663,,你为什么不打包他的牛排?,Why don't you wrap his steak up?,sent
664,,你有空喝杯咖啡吗?,Do you have time for coffee?,sent
665,,来杯咖啡怎么样?,How about a coffee?,sent
666,,我们去喝杯咖啡吧。,Let's go for coffee.,sent
667,,让我们在咖啡店歇会儿。,Let's stop at a coffee shop.,sent
668,,你为什么喜欢咖啡店?,Why do you like coffee shop?,sent
669,,咖啡店不仅是喝咖啡的好地方，而且是会见客户的好地方。,"Coffee shops are not only a good place to get a cup of coffee, but also a great place to meet customers.",sent
670,,现在很多咖啡店都装有无线网络。,Many cafes are now equipped with Wi-Fi.,sent
671,,你在品尝咖啡的时候可以浏览网络。,You can surf the Internet while enjoying your coffee.,sent
672,,请问附近有没有咖啡店？,Is there a cafe near by?,sent
673,,服务生！,Waiter!,sent
674,,你们这儿有什么咖啡?,What kind of coffee do you have?,sent
675,,你们有什么饮料?,What kind of drinks you got?,sent
676,,你们这里有什么喝的?,What do you have to drink?,sent
677,,喝茶还是喝咖啡？,Would you like some tea or coffee?,sent
678,,我想要杯咖啡。,I'd like a coffee.,sent
679,,给我一杯咖啡。,Give me a cup of coffee.,sent
680,,我要一杯咖啡，她要一杯苹果汁。,"A cup of coffee for me, and a glass of apple juice for her.",sent
681,,你喝什么样的咖啡?,How would you like your coffee?,sent
682,,你喜欢什么口味?,What flavor do you like?,sent
683,,你喜欢什么咖啡，黑咖啡还是牛奶咖啡？,"What coffee would you like,black coffee or white coffee?",sent
684,,小杯浓的黑咖啡，不加牛奶和奶油。,A small cup of strong black coffee without milk or cream.,sent
685,,你的咖啡要加点奶油吗?,Would you like some cream in your coffee?,sent
686,,要加糖和奶油。,Cream and sugar.,sent
687,,请不要加奶油。,"No cream, please.",sent
688,,我想要杯加糖的咖啡。,I'd like a coffee with sugar.,sent
689,,你们有代糖的吗?,Do you have any sugar substitute?,sent
690,,我不想摄入糖分。,I don't want to intake any sugar.,sent
691,,来一杯没有咖啡因的咖啡。,I'd like a decaf.,sent
692,,给我一杯没有咖啡因的咖啡。,Give me a decaf.,sent
693,,请来杯黑咖啡（清咖啡）。,"Black coffee, please.",sent
694,,黑咖啡，不加别的。,"Black coffee for me,just black.",sent
695,,我喜欢黑咖啡。,I take it black.,sent
696,,.一些黑咖啡，能让我清醒。,Some black coffee will help to sober me up,sent
697,,我喜欢日本的咖啡店。,I love Japanese coffee shops.,sent
698,,除了喝的你们这还有什么别的吗? 比如蛋糕。,"Do you serve anything else besides drinks? Say, cake.",sent
699,,我们还供应三明治和蛋糕。,We also serve sandwiches and cakes.,sent
700,,给我来两块蛋糕吧。,Give me two pieces of cake.,sent
701,,你有空时能到这里来一下吗?,Can you come here when you have a second?,sent
702,,来了，先生。有什么需要帮忙的?,"Yes, sir. How can I help you?",sent
703,,请收拾一下桌子。,Please clean up the table.,sent
704,,好的，还有什么别的需要吗?,OK. And anything else I can do for you?,sent
705,,请给我续一杯。,"I'd like a refill, please.",sent
706,,我要加点咖啡。,I need more coffee.,sent
707,,续杯是免费的吗?,Is it free of charge?,sent
708,,请再给我一杯黑咖啡好吗？,"May I have another black coffee,please?",sent
709,,咖啡店什么时候打烊呢？,When does the coffee shop close?,sent
710,,我们在一家咖啡馆消磨了整个下午。,We lazed the whole afternoon away at a cafe.,sent
711,,,,sent
712,,这是珠江宾馆，我能为您做什么?,The Pearl River Hotel. anything I can do for you?,sent
713,,客房预约部。下午好!,Room Reservation. Good afternoon.,sent
714,,这儿预订房间，需要效劳吗?,Advance Reservations. Can I help you?,sent
715,,我想预订房间。,I'd like to make a reservation.,sent
716,,我想订一间房。,I'd like to reserve a room.,sent
717,,我想为一个旅游团订一些房间。,I'd like to reserve some rooms for a tourist party.,sent
718,,你们那天入住?,What date will you check in?,sent
719,,小姐，请问什么时间入住?,"For what time, Madam?",sent
720,,要订在哪个日期?,Which date would you that be?,sent
721,,订*月*日一个晚上。,For the night of April *th for one night.,vp
722,,你喜欢订哪类房间?,What kind of room would you like?,sent
723,,我们有单人房，双人房，套房和豪华套房等等。,"We have single rooms, double rooms, suites and luxury suites, etc.",sent
724,,我要一个标准间。,I'd like a standard room.,sent
725,,我想订一个带洗澡间的单人房间，从*月*日下午到*月*日上午。,I'd like to book a single room with a bath from the afternoon of February *th to the morning of february *th.,vp
726,,我从南京打来电话。我想预订一个单人房，明晚开始，共*天。,"I'm calling from Nanjing. I'd like to reserve a single room from tomorrow for six days, please.",vp
727,,下星期二我想订一个双人房间。,I'd like to book a double room for next Tuesday.,sent
728,,好的。星期二，*月*日，一个双人间。,"That's fine. A double room for Tuesday, September *th.",vp
729,,你计划住多久?,How long do you plan to stay?,sent
730,,请问你要住多久?,How long will you be staying?,sent
731,,我们星期日早上离开。,We'll be leaving on Sunday morning.,sent
732,,那就是五天。,That will be five night.,sent
733,,请别挂断? 我要查一下那天的空房间。,"Could you hold the line, please? I'll check our room availability for that day.",sent
734,,让您就等了。我们这段时间有房间。,"Thank you for waiting, Sir. We have a vacancy for that period.",sent
735,,房间的价格是多少?,What's the price?,sent
736,,请问房费是多少?,"What's the rate, please?",sent
737,,你能告诉我现在房价是多少吗?,Could you tell me the current price?,sent
738,,标准房间多少钱?,What's the rate for a standard room?,sent
739,,每晚*元。,It's two hundred and twenty yuan per night.,vp
740,,现行房费是每天*元。,The current rate is * yuan per night.,vp
741,,*美元包括早餐和服务费。,It's $* including breakfast and room service.,vp
742,,听起来还不错。这个房间我订了。,That sounds not bad at all. I'll take it.,sent
743,,可以，请问您的名字?,"OK. Your name, please?",sent
744,,能告诉我你的名字吗，先生?,"Could you tell me your name, Sir?",sent
745,,请问您的名字?,"What's your name, please?",sent
746,,好的，我是卡尔。,"Yes, it is Carl.",sent
747,,请问怎么拼写呢?,"How do you spell it, please?",sent
748,,,It's C-A-R-L. C-A-R-L,sent
749,,请问你的电话号码是多少?,"And your telephone number, please?",sent
750,,我的电话号码是*7856。,My telephone number is *-*,vp
751,,另外，您准备怎样付款呢?,"By the way, how would you like to pay for it?",sent
752,,本宾馆主张现金付款。,This hotel prefers cash.,sent
753,,明白了。我什么时候可以得到你们的确认?,I see. When can I receive your confirmation?,sent
754,,您只要支付*%的预订金，我们就予以确定。,Not until you have paid a * percent deposit.,vp
755,,我还是上因特网去看吧。我知道你们的网址。,I'll log in to the Internet to find out about you. I know your address.,sent
756,,请问您什么时候到达?,Could I ask when you will arrive?,sent
757,,我会在*月*日*点之前到达。,I'll get there by five o'clock on August *th.,vp
758,,我们会为您准备好房间。,We'll have the room ready for you.,sent
759,,谢谢您预定我们的宾馆。,Thank you for booking in our hotel.,sent
760,,好的，我们期待您的光临。,OK. We look forward to your visit.,sent
761,,好的，谢谢您，我们期盼您的到来。,OK. Thank you and we look forward to your arrival.,sent
762,,我们盼望下星期二见到您。,We look forward to seeing you next Tuesday.,sent
763,,到时候见。,See you then.,sent
764,,我想订个临海的房间。,I'd like reserve a room facing the sea.,sent
765,,我们都订满了。,We're fully booked.,sent
766,,我们所有的房间都满了。,All our rooms are full occupied.,sent
767,,本店那晚恐怕已经登记满了。,I'm afraid our hotel is fully booked on that night.,sent
768,,恐怕所有看得到海的房间都已经被预订了。,I am afraid that all the room with a view to the sea have been booked.,sent
769,,真让人失望。,That is really disappointing.,sent
770,,你想变更一下入住时间吗?,"And now you want to change the booking, do you?",sent
771,,你可不可以改变预约日期呢?,Is it possible for you to change your reservation date?,sent
772,,不能。,"No, that's not possible.",sent
773,,或许有人会取消预约，请您接近哪个日期时再打电话好吗?,We might have cancellations. Could you call us again closer to the date?,sent
774,,好的，如果真有人取消，能不能尽快让我知道呢?,"Sure, but if you do have any cancellations, could you let me know as soon as possible?",sent
775,,先生，非常抱歉，我们不能那样做，如果您能打电话来，我们将会非常感激。,"I'm very sorry, Sir, but we are unable to do that. We would appreciate it very much if you could call us instead.",sent
776,,希望您能谅解。,We hope you understand.,sent
777,,客房预定。先生有什么需要我帮忙的吗?,"Room Reservations. May i help you,sir?",sent
778,,是的，我的名字是爱丽丝，我预订了房间从*月*日保留两个晚上，我将延长两个晚上直到*号。,"Yes, my name is Alice, and I made a reservation for two nights from October *th. I'd like to extend it for two more nights until the *th.",vp
779,,从*月*日到*日四个晚上。,For * nights from October *th until October *th.,vp
780,,您需要变化你的房间类型吗？你预定的是一间双人床的。,Will there be any change in your room type? Your reservation is for a twin room.,sent
781,,不。,No.,sent
782,,谢谢，先生。我们将为您扩大保留。,"Thank you, sir. We will extend the reservation for you.",sent
783,,我在你们宾馆预定了这周五的单人房间。,I booked a single room in your hotel for this friday.,sent
784,,我很抱歉，我不得不取消这个预定。,I'm sorry to say that I have to cancel it.,sent
785,,我想取消预订。,I'd like to cancel a reservation.,sent
786,,我能取消我的预定吗?,Can I cancel my reservation?,sent
787,,请把你的名字告诉我好吗?,"May I have your name, please?",sent
788,,用谁的名字预订的?,In whose name was the reservation?,sent
789,,杰克布鲁德尔。,Jack Bruder.,sent
790,,请讲一下是怎么拼写的?,"How do you spell that, please?",sent
791,,,B-r-u-d-e-r. B-r-u-d-e-r。,sent
792,,保留的日期是什么呢?,What was the date of the reservation?,sent
793,,从*月*日三个晚上。,From October *nd for * nights.,vp
794,,对不起，是您预定的?,"Excuse me, but is the reservation for you?",sent
795,,不，是我的朋友。,"No, it's for my friend.",sent
796,,能告诉我你的名字和电话吗?,"May I have your name and phone number, please?",sent
797,,我叫玛丽凯撒和我的电话*-*。,It's Mary Calson and my number is *-*,vp
798,,谢谢你太太，我们将取消布鲁特尔从*月*号三个晚上的预定，我的名字叫杰桑，我们下次一个机会为您服务。,"Thank you, ma'am.I'll cancel Mr.Bruder's reservation from October *nd for * nights.My name is Jason and we look forward to another chance to serve you.",vp
799,,我已经取消了你的预定。,I have cancelled your reservation.,sent
800,,办理入住。,Check In.,sent
801,,办理离店手续。,Check Out.,sent
802,,抱歉，客满。,Sorry No Vacancy.,sent
803,,前台,Front Desk,sent
804,,前台,Front Counter,sent
805,,前台/服务台/接待,Reception,sent
806,,问询处/咨询台,Information,sent
807,,值班经理。,Manager On Duty.,sent
808,,酒店大厅。,Restaurant Lounge.,sent
809,,中庭,Stalls,sent
810,,前廊,Front Aisle,sent
811,,东楼,East Wing,sent
812,,西楼,West Wing,sent
813,,东厢,East Box,sent
814,,西厢,West Box,sent
815,,套间,Suit,sent
816,,残疾人房间。,Handicapped Room.,sent
817,,残疾人客房。,Accessible Guestroom.,sent
818,,客房部,Guest Room Dept.,sent
819,,客房部,House Keeping Dept.,sent
820,,价格按季节和公寓大小而定。,Price According To Season And Size Of Flat.,sent
821,,住三晚，可额外免费赠一晚。,Stay A Minimum Of * Nights And Receive * Extra Night Free.,vp
822,,老人优惠。,Reduced Rates For Elderly.,sent
823,,免收服务费用。,No Service Fee.,sent
824,,旅客安全提示。,Guest Safety Tips.,sent
825,,小心路滑。,Slippery Road.,sent
826,,小心(路滑)。,Be Careful.,sent
827,,注意：滑!,Caution：Slippery!,sent
828,,始终使用死栓。,Always Use Deadbolt.,sent
829,,双保险门闩，请使用安全碰锁。,Double Lock Door. Use Safety Latch.,sent
830,,开门前通过猫洞鉴别叫门人身份。,Use Door Viewer To Identify Callers Prior To Opening Door.,sent
831,,没有确认对方身份绝对不能开门。,Never Open Door Prior To Verifying ID.,sent
832,,保管好贵重物品。,Secure Valuables.,sent
833,,贵重物品随身携带/贵重物品请自行妥善保管。,Please Keep Valuables With You.,sent
834,,请保管好随身物品。,Please Take care Of Your Belongings.,sent
835,,请保管好随身携带的贵重物品。,Don't Leave Valuables Unattended.,sent
836,,前台可以提供保险箱。,Safe Deposit Boxes Are Available At Front Desk.,sent
837,,报告可疑人员或可疑行为。,Report Suspicious Persons Or Acts.,sent
838,,将钥匙卡插入或擦过处理机。,Insert Or Swipe Key.,sent
839,,取出钥匙卡。,Remove Key.,sent
840,,旋转手柄。,Turn Handle.,sent
841,,结账时请将钥匙卡归还前台。,Please Return This Key Card To The Front Desk When You Check Out.,sent
842,,请勿在床上吸烟。,Do Not Smoke In The Bed.,sent
843,,这是指定的禁烟房间。,This Is Designated Non-Smoking Room.,sent
844,,违者将被从账户中扣除$*罚金作为清洁费用。,A Cleaning Fee Of $* Will Be Charged To Your Room Account If You Smoke In This Room.,vp
845,,空调开放。,Air Conditioned.,sent
846,,中央暖气全部开放。,Fully Centrally Heated.,sent
847,,中央暖气系统，房间*小时提供热水。,Full Central Heating With House Provided Hot Water * Hours.,vp
848,,室内咖啡机。,In-Room Coffee Maker.,sent
849,,所有卧室有沏茶（煮咖啡）设备。,Tea(Coffee) Making Facility In All Bedrooms.,sent
850,,使用此浴室时小心。,Be Careful When Using The Bath.,sent
851,,桑拿浴,Sauna,sent
852,,热水漩涡池,Whirlpool,sent
853,,压下把手直至便盆冲净为止。,Depress Handle Until Bowl Is Empty.,sent
854,,室外泳池。,Outdoor Swimming Pools.,sent
855,,室内泳池。,Indoor Swimming Pools.,sent
