,ar,cn,en,pos
553,ممثل وسط افريقيا,中非共和国,Central African Rep,np
554,تشاد,乍得,Chad,np
555,تشيلي,智利,Chile,np
556,الصين,中国,China,np
557,كولومبيا,哥伦比亚,Colombia,np
558,جزر القمر,科摩罗,Comoros,np
559,الكونغو,刚果,Congo,np
560,جمهورية الكونغو الديمقراطية,刚果民主共和国,Democratic Republic of Congo,np
561,كوستا ريكا,哥斯达黎加,Costa Rica,np
562,كرواتيا,克罗地亚,Croatia,np
563,كوبا,古巴,Cuba,np
564,قبرص,塞浦路斯,Cyprus,np
565,جمهورية التشيك,捷克共和国,Czech Republic,np
566,الدنمارك,丹麦,Denmark,np
567,جيبوتي,吉布提,Djibouti,np
568,دومينيكا,多米尼加,Dominica,np
569,جمهورية الدومنيكان,多明尼加共和国,Dominican Republic,np
570,تيمور الشرقية,东帝汶,East Timor,np
571,الإكوادور,厄瓜多尔,Ecuador,np
572,مصر,埃及,Egypt,np
573,السلفادور,萨尔瓦多,El Salvador,np
574,غينيا الإستوائية,赤道几内亚,Equatorial Guinea,np
575,إريتريا,厄立特里亚,Eritrea,np
576,استونيا,爱沙尼亚,Estonia,np
577,أثيوبيا,埃塞俄比亚,Ethiopia,np
578,فيجي,斐,Fiji,np
579,فنلندا,芬兰,Finland,np
580,فرنسا,法国,France,np
581,الغابون,加蓬,Gabon,np
582,غامبيا,冈比亚,Gambia,np
583,جورجيا,格鲁吉亚,Georgia,np
584,ألمانيا,德国,Germany,np
585,غانا,加纳,Ghana,np
586,اليونان,希腊,Greece,np
587,غرينادا,格林纳达,Grenada,np
588,غواتيمالا,危地马拉,Guatemala,np
589,غينيا,几内亚,Guinea,np
590,غينيا بيساو,几内亚比绍,Guinea-Bissau,np
591,غيانا,圭亚那,Guyana,np
592,هايتي,海地,Haiti,np
593,هندوراس,洪都拉斯,Honduras,np
594,المجر,匈牙利,Hungary,np
595,أيسلندا,冰岛,Iceland,np
596,الهند,印度,India,np
597,أندونيسيا,印度尼西亚,Indonesia,np
598,إيران,伊朗,Iran,np
599,العراق,伊拉克,Iraq,np
600,أيرلندا,爱尔兰,Ireland,np
601,إسرائيل,以色列,Israel,np
602,إيطاليا,意大利,Italy,np
603,ساحل العاج,象牙海岸,Ivory Coast,np
604,جامايكا,牙买加,Jamaica,np
605,اليابان,日本,Japan,np
606,الأردن,约旦,Jordan,np
607,كازاخستان,哈萨克斯坦,Kazakhstan,np
608,كينيا,肯尼亚,Kenya,np
609,كيريباس,基里巴斯,Kiribati,np
610,كوريا الشمالية,北朝鲜,North Korea,np
611,كوريا الجنوبية,韩国,South Korea,np
612,كوسوفو,科索沃,Kosovo,np
613,الكويت,科威特,Kuwait,np
614,قرغيزستان,吉尔吉斯斯坦,Kyrgyzstan,np
615,لاوس,老挝,Laos,np
616,لاتفيا,拉脱维亚,Latvia,np
617,لبنان,黎巴嫩,Lebanon,np
618,ليسوتو,莱索托,Lesotho,np
619,ليبيريا,利比里亚,Liberia,np
620,ليبيا,利比亚,Libya,np
621,ليختنشتاين,列支敦士登,Liechtenstein,np
622,ليتوانيا,立陶宛,Lithuania,np
623,لوكسمبورغ,卢森堡,Luxembourg,np
624,مقدونيا,马其顿,Macedonia,np
625,مدغشقر,马达加斯加,Madagascar,np
626,مالاوي,马拉维,Malawi,np
627,ماليزيا,马来西亚,Malaysia,np
628,جزر المالديف,马尔代夫,Maldives,np
629,مالي,马里,Mali,np
630,مالطا,马耳他,Malta,np
631,جزر مارشال,马绍尔群岛,Marshall Islands,np
632,موريتانيا,毛里塔尼亚,Mauritania,np
633,موريشيوس,毛里求斯,Mauritius,np
634,المكسيك,墨西哥,Mexico,np
635,ميكرونيزيا,密克罗尼西亚,Micronesia,np
636,مولدوفا,摩尔多瓦,Moldova,np
637,موناكو,摩纳哥,Monaco,np
638,منغوليا,蒙古,Mongolia,np
639,الجبل الأسود,黑山,Montenegro,np
640,المغرب,摩洛哥,Morocco,np
641,موزمبيق,莫桑比克,Mozambique,np
642,ميانمار,缅甸,Myanmar,np
643,ناميبيا,纳米比亚,Namibia,np
644,ناورو,瑙鲁,Nauru,np
645,نيبال,尼泊尔,Nepal,np
646,هولندا,荷兰,Netherlands,np
647,نيوزيلاندا,新西兰,New Zealand,np
648,نيكاراغوا,尼加拉瓜,Nicaragua,np
649,النيجر,尼日尔,Niger,np
650,نيجيريا,尼日利亚,Nigeria,np
651,النرويج,挪威,Norway,np
652,سلطنة عمان,阿曼,Oman,np
653,باكستان,巴基斯坦,Pakistan,np
654,بالاو,帕劳,Palau,np
655,بناما,巴拿马,Panama,np
656,بابوا غينيا الجديدة,巴布亚新几内亚,Papua New Guinea,np
657,باراغواي,巴拉圭,Paraguay,np
658,بيرو,秘鲁,Peru,np
659,الفلبين,菲律宾,Philippines,np
660,بولندا,波兰,Poland,np
661,البرتغال,葡萄牙,Portugal,np
662,دولة قطر,卡塔尔,Qatar,np
663,رومانيا,罗马尼亚,Romania,np
664,الاتحاد الروسي,俄罗斯联邦,Russian Federation,np
665,رواندا,卢旺达,Rwanda,np
666,سانت كيتس ونيفيس,圣基茨和尼维斯,St Kitts & Nevis,np
667,شارع لوسيا,圣卢西亚,St Lucia,np
668,سانت فنسنت وجزر غرينادين,圣文森特和格林纳丁斯,Saint Vincent & the Grenadines,np
669,ساموا,萨摩亚,Samoa,np
670,سان مارينو,圣马力诺,San Marino,np
671,ساو تومي وبرينسيبي,圣多美和普林西比,Sao Tome & Principe,np
672,المملكة العربية السعودية,沙特阿拉伯,Saudi Arabia,np
673,السنغال,塞内加尔,Senegal,np
674,صربيا,塞尔维亚,Serbia,np
675,سيشيل,塞舌尔,Seychelles,np
676,سيرا ليون,塞拉利昂,Sierra Leone,np
677,سنغافورة,新加坡,Singapore,np
678,سلوفاكيا,斯洛伐克,Slovakia,np
679,سلوفينيا,斯洛文尼亚,Slovenia,np
680,جزر سليمان,所罗门群岛,Solomon Islands,np
681,الصومال,索马里,Somalia,np
682,جنوب أفريقيا,南非,South Africa,np
683,جنوب السودان,南苏丹,South Sudan,np
684,إسبانيا,西班牙,Spain,np
685,سيريلانكا,斯里兰卡,Sri Lanka,np
686,سودان,苏丹,Sudan,np
687,سورينام,苏里南,Suriname,np
688,سوازيلاند,斯威士兰,Swaziland,np
689,السويد,瑞典,Sweden,np
690,سويسرا,瑞士,Switzerland,np
691,سوريا,叙利亚,Syria,np
692,تايوان,台湾,Taiwan,np
693,طاجيكستان,塔吉克斯坦,Tajikistan,np
694,تنزانيا,坦桑尼亚,Tanzania,np
695,تايلاند,泰国,Thailand,np
696,ليذهب,多哥,Togo,np
697,تونغا,汤加,Tonga,np
698,ترينيداد وتوباجو,特立尼达和多巴哥,Trinidad & Tobago,np
699,تونس,突尼斯,Tunisia,np
700,ديك رومي,火鸡,Turkey,np
701,تركمانستان,土库曼斯坦,Turkmenistan,np
702,توفالو,图瓦卢,Tuvalu,np
703,أوغندا,乌干达,Uganda,np
704,أوكرانيا,乌克兰,Ukraine,np
705,الإمارات العربية المتحدة,阿联酋,United Arab Emirates,np
706,المملكة المتحدة,英国,United Kingdom,np
707,الولايات المتحدة الامريكانية,美国,United States,np
708,أوروغواي,乌拉圭,Uruguay,np
709,أوزبكستان,乌兹别克斯坦,Uzbekistan,np
710,فانواتو,瓦努阿图,Vanuatu,np
711,مدينة الفاتيكان,梵蒂冈城,Vatican City,np
712,فنزويلا,委内瑞拉,Venezuela,np
713,فيتنام,越南,Vietnam,np
714,اليمن,也门,Yemen,np
715,زامبيا,赞比亚,Zambia,np
716,زيمبابوي,津巴布韦,Zimbabwe,np
717,طوكيو,东京,Tokyo,np
718,دلهي,新德里,Delhi,np
719,شنغهاي,上海,Shanghai,np
720,بكين,北京,Beijing,np
721,مومباي,孟买,Mumbai,np
722,ساو باولو,圣保罗,Sao Paulo,np
723,المكسيك المدينة,墨西哥城,Mexico City,np
724,أوساكا,大阪,Osaka,np
725,القاهرة,开罗,Cairo,np
726,دكا,达卡,Dhaka,np
727,كراتشي,卡拉奇,Karachi,np
728,بوينس آيرس،,布宜诺斯艾利斯,Buenos Aires,np
729,كولكاتا,加尔各答,Kolkata,np
730,لاغوس,拉各斯,Lagos,np
731,اسطنبول,伊斯坦布尔,Istanbul,np
732,تشونغتشينغ,渝,Chongqing,np
733,قوانغتشو,广州,Guangzhou,np
734,مانيلا,马尼拉,Manila,np
735,ريو دي جانيرو,里约热内卢,Rio de Janeiro,np
736,موسكو,莫斯科,Moscow,np
737,تيانجين,天津,Tianjin,np
738,بنغالور,班加罗尔,Bangalore,np
739,باريس,巴黎,Paris,np
740,شنتشن,深圳,Shenzhen,np
741,جاكرتا,雅加达,Jakarta,np
742,تشيناي,奈,Chennai,np
743,لندن,伦敦,London,np
744,ليما,利马,Lima,np
745,بوغوتا,波哥大,Bogota,np
746,جوهانسبرج,约翰内斯堡,Johannesburg,np
747,سيول,首尔,Seoul,np
748,بانكوك,曼谷,Bangkok,np
749,حيدر أباد,海得拉巴,Hyderabad,np
750,لاهور,拉合尔,Lahore,np
751,طهران,德黑兰,Tehran,np
752,تشنغدو,成都,Chengdu,np
753,ووهان,武汉,Wuhan,np
754,أحمد أباد,艾哈迈达巴德,Ahmedabad,np
755,كوالا لامبور,吉隆坡,Kuala Lumpur,np
756,مدينة الرياض,利雅得,Riyadh,np
757,سانتياغو,圣地亚哥,Santiago,np
758,سورة,苏拉特,Surat,np
759,مدريد,马德里,Madrid,np
760,تورونتو,多伦多,Toronto,np
761,بيون,普纳,Pune,np
762,دار السلام,达累斯萨拉姆,Dar es Salaam,np
763,برشلونة,巴塞罗那,Barcelona,np
764,يانجون,仰光,Yangon,np
765,غوادالاخارا,瓜达拉哈拉,Guadalajara,np
766,أنقرة,安卡拉,Ankara,np
767,الإسكندرية,亚历山大,Alexandria,np
768,سان بطرسبرج,圣彼得堡,Saint Petersburg,np
769,سيدني,悉尼,Sydney,np
770,نيروبي,内罗毕,Nairobi,np
771,برازيليا,巴西利亚,Brasilia,np
772,ملبورن,墨尔本,Melbourne,np
773,ميديلين,麦德林,Medellin,np
774,مونتريال,蒙特利尔,Montreal,np
775,حلب,阿勒颇,Aleppo,np
776,كيب تاون,开普敦,Cape Town,np
777,تل أبيب,特拉维夫,Tel Aviv,np
778,روما,罗马,Rome,np
779,جايبور,斋浦尔,Jaipur,np
780,الدار البيضاء,卡萨布兰卡,Casablanca,np
781,البرلينية,柏林,Berlin,np
782,لكناو,勒克瑙,Lucknow,np
783,بوسان,釜山,Busan,np
784,ميلان,米兰,Milan,np
785,كانبور,坎普尔,Kanpur,np
786,أثينا,雅典,Athens,np
787,سورابايا,泗水,Surabaya,np
788,لشبونة,里斯本,Lisbon,np
789,أبوجا,阿布贾,Abuja,np
790,كالي,卡利,Cali,np
791,مانشستر,曼彻斯特,Manchester,np
792,تايبيه,台北,Taipei,np
793,دبي,迪拜,Dubai,np
794,فانكوفر,温哥华,Vancouver,np
795,أكرا,阿克拉,Accra,np
796,بريسبان,布里斯班,Brisbane,np
797,بيروت,贝鲁特,Beirut,np
798,بوبال,博帕尔,Bhopal,np
799,بريتوريا,比勒陀利亚,Pretoria,np
800,هيروشيما,广岛,Hiroshima,np
801,تيخوانا,蒂华纳,Tijuana,np
802,هافانا,哈瓦那,Havana,np
803,بروكسل,布鲁塞尔,Brussels,np
804,بيرث,珀斯,Perth,np
805,بنوم بنه,金边,Phnom Penh,np
806,بوخارست,布加勒斯特,Bucharest,np
807,مكة المكرمة,麦加,Mecca,np
808,هامبورغ,汉堡,Hamburg,np
809,فيينا,维也纳,Vienna,np
810,مدينة باناما,巴拿马城,Panama City,np
811,وارسو,华沙,Warsaw,np
812,بودابست,布达佩斯,Budapest,np
813,ليون,里昂,Lyon,np
814,مرسيليا,马赛,Marseille,np
815,اسلام اباد,伊斯兰堡,Islamabad,np
816,ستوكهولم,斯德哥尔摩,Stockholm,np
817,ميونيخ,慕尼黑,Munich,np
818,الشارقة,沙迦,Sharjah,np
819,كالجاري,卡尔加里,Calgary,np
820,أوكلاند,奥克兰,Auckland,np
821,أوتاوا,渥太华,Ottawa,np
822,ادمونتون,埃德蒙顿,Edmonton,np
823,براغ,布拉格,Prague,np
824,بورتو,波尔图,Porto,np
825,كاتماندو,加德满都,Kathmandu,np
826,كوبنهاغن,哥本哈根,Copenhagen,np
827,أديليد,阿德莱德,Adelaide,np
828,زيوريخ,苏黎世,Zurich,np
829,أبو ظبي,阿布扎比,Abu Dhabi,np
830,غلاسكو,格拉斯哥,Glasgow,np
831,صوفيا,苏菲亚,Sofia,np
832,دبلن,都柏林,Dublin,np
833,هلسنكي,赫尔辛基,Helsinki,np
834,بلغراد,贝尔格莱德,Belgrade,np
835,مدينة هو تشي مينه,胡志明市,Ho Chi Minh City,np
836,طرابلس,硅藻土,Tripoli,np
837,أمستردام,阿姆斯特丹,Amsterdam,np
838,كولونيا,科隆,Cologne,np
839,أوسلو,奥斯陆,Oslo,np
840,روتردام,鹿特丹,Rotterdam,np
841,لطيف,尼斯,Nice,np
842,تولوز,图卢兹,Toulouse,np
843,بوردو,波尔多,Bordeaux,np
844,ساوثامبتون,南安普敦,Southampton,np
845,ليفربول,利物浦,Liverpool,np
846,بيت المقدس,耶路撒冷,Jerusalem,np
847,فالنسيا,瓦伦西亚,Valencia,np
848,برمنغهام,伯明翰,Birmingham,np
849,وينيبيغ,温尼伯,Winnipeg,np
850,نوتنغهام,诺丁汉,Nottingham,np
851,هاميلتون,汉密尔顿,Hamilton,np
852,فرانكفورت,法兰克福,Frankfurt,np
853,سالونيك,塞萨洛尼基,Thessaloniki,np
854,شيفيلد,谢菲尔德,Sheffield,np
855,بالي,巴厘岛,Bali,np
856,فلورنسا,佛罗伦萨,Florence,np
857,زغرب,萨格勒布,Zagreb,np
858,غزة,加沙,Gaza,np
859,بريستول,布里斯托尔,Bristol,np
860,والذهب الساحل,在黄金海岸,The Gold Coast,np
861,شتوتغارت,斯图加特,Stuttgart,np
862,مدينة البندقية,威尼斯,Venice,np
863,نانت,南特,Nantes,np
864,بلفاست,贝尔法斯特,Belfast,np
865,دوسلدورف,杜塞尔多夫,Dusseldorf,np
866,كينغستون,金士顿,Kingston,np
867,ريغا,里加,Riga,np
868,ليستر,莱斯特,Leicester,np
869,كيتشنر,基奇纳,Kitchener,np
870,برايتون,布莱顿,Brighton,np
871,ادنبره,爱丁堡,Edinburgh,np
872,كارديف,加的夫,Cardiff,np
873,كانبيرا,堪培拉,Canberra,np
874,مونبلييه,蒙彼利埃,Montpellier,np
875,هاليفاكس,哈利法克斯,Halifax,np
876,ولينغتون,惠灵顿,Wellington,np
877,براتيسلافا,布拉迪斯拉发,Bratislava,np
878,نيوكاسل,新城堡,Newcastle,np
879,ستوك أون ترينت,特伦特河畔斯托克,Stoke-on-Trent,np
880,كوفنتري,考文垂,Coventry,np
881,مرفئ مويسبي,端口莫尔兹比港,Port Moresby,np
882,فيكتوريا,维多利亚,Victoria,np
883,كرايستشيرش,克赖斯特彻奇,Christchurch,np
884,سوانسي,斯旺西,Swansea,np
885,ويندسور,温莎,Windsor,np
886,سراييفو,萨拉热窝,Sarajevo,np
887,هونغ كونغ,香港,Hong Kong,np
888,ماكاو,澳门,Macau,np
889,نيويورك,纽约市,New York City,np
