en,cn,ar,pos,,
Fiji,斐,فيجي,np,,
Fill out this form.,填一下这张表。,املأ هذا النموذج.,sent,,
filling station,加油站,محطة وقود,np,,
"Fine, thank you.","很好, 谢谢。",بخير، شكرا لك.,sent,,
fingers,手指,أصابع,np,,
Finland,芬兰,فنلندا,np,,
first class,头等舱,الدرجة الأولى,np,,
first class cabin,头等舱,مقصورة درجة أولى,np,,
First class fare of a one-way ticket from * to is *.,至*的单程机票，头等舱是*。,أجرة الدرجة الأولى لتذكرة ذهاب فقط من * إلى * هي.,vp,,
first name,名,الاسم الاول,np,,
fish,鱼,سمك,np,,
fitness center,健身中心,مركز اللياقة البدنية,sent,,
five,五,خمسة,num,,
five hundred,五百,خمس مائة,num,,
fixed-price meal,定价套餐,وجبة ثابتة السعر,np,,
flammable item,易燃物品,عنصر قابل للاشتعال,np,,
Flammable items cannot be taken with you into the aircraft.,易燃品不能随身带上飞机。,لا يمكن أخذ المواد القابلة للاشتعال معك في الطائرة.,sent,,
flight,飞行,طيران,np,,
Flight * bound for *.,*号班机，去*的。,رحلة * ملزمة *.,vp,,
Flight * to * is now boarding.,飞往*的*班，已经开始登机。,رحلة * إلى * ستصعد الآن.,vp,,
flight connections,转机处,اتصالات الطيران,np,,
flight number,班机号码,رقم الرحلة الجوية,np,,
Florence,佛罗伦萨,فلورنسا,np,,
Flying Time.,飞行时间。,وقت الطيران.,sent,,
food trolley,送餐车,عربة الطعام,np,,
foot rest,坐着的时候放脚的支撑物,مسند للقدمين,np,,
For * night(s).,订*个晚上。,لمدة * ليالي,vp,,
For * people.,为*个人。,ل* أشخاص.,vp,,
"For More On High Speed Internet Access, Including Trouble Shooting Information, Please Refer To The Guest Service Directory.",请查阅旅客服务指南获取更多的有关高速上网以及如何排除故障的信息。,لمعرفة المزيد عن الإتصال بالإنترنت عالي  السرعة، بما في ذلك معلومات عن المشاكل، يرجى الرجوع إلى خدمة دليل النزلاء.,sent,,
For one person.,为一个人。,لشخص واحد.,sent,,
For Reservation Call...,预订服务请拨电话...,"للحجز اتصل ب...
",sent,,
For two people.,为两个人。,لشخصين.,sent,,
for use only in case of fire,灭火专用,للاستخدام فقط في حالة نشوب حريق,np,,
For what time?,请问什么时间入住?,في أي وقت؟,sent,,
"For Your Convenience, Cigarettes Are Available At The Front Desk.",为了您的方便，前台有香烟出售。,لراحتك، السجائر متوفرة في مكتب الاستقبال.,sent,,
"For your own safety, please go back to your seat and fasten the seat belts. Thank you.",请您回到您的座位，并系好安全带，以求安全。谢谢您的合作。,من أجل سلامتك، يرجى الرجوع إلى مقعدك وربط أحزمة الأمان. شكرًا.,sent,,
forbidden,被禁止,ممنوع,adj,,
forced landing,迫降,هبوط اضطراري,np,,
foster father,养父,الأب الحاضن,np,,
foster mother,养母,الأم الحاضنة,np,,
four,四,أربعة,num,,
fragile,易碎,هش,np,,
France,法国,فرنسا,np,,
frank,真诚的,صريح,np,,
Frankfurt,法兰克福,فرانكفورت,np,,
free admission,免费入场,الدخول مجاني,np,,
Free In All Guest Rooms.,所有房间内免费登陆。,مجاني في جميع غرف النزلاء.,sent,,
french coffee,法式滴滤咖啡,القهوة الفرنسية,np,,
french vanilla coffee,法国香草咖啡,قهوة الفانيليا الفرنسية,np,,
fresh ground coffee,现磨咖啡,بن مطحون طازج,np,,
Friday,星期五,يوم الجمعة,np,,
Fried eggs with ham.,火腿肠煎蛋。,البيض المقلي مع لحم الخنزير.,sent,,
fried rice,炒饭,أرز مقلي,np,,
friend,朋友,صديق,np,,
from,从,من,prt,,
From date * until *.,从*月*日到*日。,من تاريخ * حتى *.,vp,,
Front Aisle,前廊,الممر الأمامي,sent,,
Front Counter,前台,المكتب الأمامي,sent,,
Front Desk,前台,مكتب الاستقبال,sent,,
fruit cappuccino,果味卡布奇诺,كابتشينو بالفاكهة,np,,
fruits,水果,فاكهة,np,,
ft,英尺,,np,,
Full Central Heating With House Provided Hot Water * Hours.,中央暖气系统，房间*小时提供热水。,التدفئة المركزية الكاملة مع توفير المياه الساخنة البيت * ساعات.,vp,,
Fully Centrally Heated.,中央暖气全部开放。, مدفأ تدفئة مركزية كاملة,sent,,
Gabon,加蓬,الغابون,np,,
galley,飞机上的厨房,مطبخ السفينة,np,,
Gambia,冈比亚,غامبيا,np,,
Games Room.,游戏房。,غرفة الألعاب.,sent,,
garlic,蒜,ثوم,np,,
gas station,加油站,محطة بنزين,np,,
gate,登机口,بوابة,sent,,
Gaza,加沙,غزة,np,,
generation,代,جيل,np,,
genteel,有教养的,أنيق,np,,
gentle,有礼貌的,لطيف,np,,
Georgia,格鲁吉亚,جورجيا,np,,
Germany,德国,ألمانيا,np,,
Ghana,加纳,غانا,np,,
ginge,姜,أناس ذو شعر أحمر,np,,
Give me * pieces,给我来*块吧。,أعطني * قطع,vp,,
Give me a cup of coffee.,给我一杯咖啡。,أعطني فنجان قهوة.,sent,,
Give me a decaf.,给我一杯没有咖啡因的咖啡。,أعطني قهوة منزوعة الكافيين,sent,,
Give me a one-way ticket to *,给我一张单程到*的票。,أعطني تذكرة ذهاب فقط إلى *,vp,,
Give me a pound of tomatoes and a pound of eggplants.,给我一磅番茄和一磅茄子。,أعطني رطل من الطماطم و رطل من الباذنجان.,sent,,
give way,快车先行,افسح الطريق,np,,
Glasgow,格拉斯哥,غلاسكو,np,,
glasses,眼镜,نظارات,np,,
Glasses up!,举杯!,ارتدي النظارة,sent,,
go,去,ذهب,vp,,
Go all the way to the back and turn right.,往里走到头然后右转。,اذهب بالكامل إلى الخلف واستدر يمينًا.,sent,,
Go right ahead.,请过。,استمر للأمام.,sent,,
Go straight following the sign and you will see the gate.,跟着指示走，你将看到登机口。,اذهب مباشرةَ متابعًا العلامة وسوف ترى البوابة.,sent,,
Go straight.,直走,انطلق الى الأمام.,sent,,
"Go this way, please.",请这边走。,اسلك هذا الاتجاه من فضلك.,sent,,
"Go through the gate, please.",请通过安全门。,اعبر عبر البوابة من فضلك.,sent,,
gold,金色,ذهب,adj,,
good at,擅长于,جيد في,np,,
Good evening.,晚上好。,مساء الخير.,sent,,
good for passage between,旅行经停地点,جيد للمرور بين,np,,
Good morning.,早安。,صباح الخير.,sent,,
Good night.,晚安。,تصبح على خير,sent,,
Good.,好！,جيد,sent,,
Goodbye,再见。,مع السلامة/إلى اللقاء,sent,,
Goods Prohibited To Be Hand-Carried.,禁止随身携带的物品。,البضائع المحظورة أن تكون محمولة باليد.,sent,,
Goods Prohibited To Exit The Country.,禁止携带出境的物品。,البضائع المحظورة أن تغادر الدولة.,sent,,
government-supported student,公费生,طالب مدعوم من الحكومة,np,,
graduate,毕业生,خريج,np,,
graduate student,研究生,طالب خريج,np,,
grandchildren,孙辈,أحفاد,np,,
granddaughter,孙女,حفيدة,np,,
grandfather,祖父,جد,np,,
grandma,奶奶,جدة,np,,
grandmother,祖母,جدة,np,,
grandpa,爷爷,جد,np,,
grandson,孙子,حفيدة,np,,
granulated sugar,砂糖,سكر مطحون,np,,
great-aunt,叔、伯祖母,عمة الأم أو الأب,np,,
great-granddaughter,曾孙女,ابنة الحفيد أو الحفيدة,np,,
great-grandfather,曾祖父,والد الجد أو الجدة,np,,
great-grandmother,曾祖母,والدة الجد أو الجدة,np,,
great-grandson,曾孙,ابن الحفيد أو الحفيدة,np,,
great-uncle,叔、伯祖父,عم الأم أو لاأب,np,,
Great.,很棒！,عظيم.,sent,,
Greece,希腊,اليونان,np,,
green,绿色,أخضر,adj,,
green onion,葱,بصل أخضر,np,,
green tea,绿茶,شاي أخضر,np,,
greeting arriving,迎宾处,وصول الاستقبال,np,,
Grenada,格林纳达,غرينادا,np,,
grey,灰色,رمادي,adj,,
Guadalajara,瓜达拉哈拉,غوادالاخارا,np,,
Guangzhou,广州,قوانغتشو,np,,
Guatemala,危地马拉,غواتيمالا,np,,
Guest Room Dept.,客房部,قسم غرف الضيوف,sent,,
Guest Rooms In This Hotel Are Not Equipped With Wireless(Wifi) High Speed Internet Access.,本酒店旅客房间内没有无线上网设施。,غرف الضيوف في هذا الفندق غير مجهّزة بالإنترنت اللاسلكي (واي فاي) عالي السرعة.,sent,,
Guest Safety Tips.,旅客安全提示。,نصائح السلامة للضيوف,sent,,
guest student,旁听生,ضيف زائر,np,,
Guinea,几内亚,غينيا,np,,
Guinea-Bissau,几内亚比绍,غينيا بيساو,np,,
Guyana,圭亚那,غيانا,np,,
hair,头发,شعر,np,,
Hair Dryer,头发吹风机,مجفف الشعر,sent,,
Haiti,海地,هايتي,np,,
half,半,نصف,adj,,
Halifax,哈利法克斯,هاليفاكس,np,,
ham,火腿,خنزير,np,,
Hamburg,汉堡,هامبورغ,np,,
Hamilton,汉密尔顿,هاميلتون,np,,
Handicapped Room.,残疾人房间。,غرفة ملائمة للمعاقين,sent,,
handle with care,小心轻放,تعامل بعناية,np,,
hands,手,أيادي,np,,
hands off,请勿用手摸,ابعد يديك,np,,
Havana,哈瓦那,هافانا,np,,
Have a nice flight!,飞行愉快!,أتمنى لك رحلة موفقة!,sent,,
Have we ever met?,我们以前见过面吗?,هل سبق والتقينا من قبل؟,sent,,
Have you made a reservation?,您预订订座了吗?,هل قمت بعملية حجز؟,sent,,
Have you met before?,你们以前见过吗?,هل التقيت من قبل؟,sent,,
Have your ticket and passport ready for the check-in agent.,请将机票和护照准备好办理登机手续。,اجعل على تذكرتك وجواز سفرك جاهزًا لموظف تسجيل الدخول.,sent,,
hazelnut cappuccino,榛子卡布奇诺,كابوتشينو بالبندق,np,,
hazelnut latte,榛子咖啡拿铁,لاتيه بالبندق,np,,
he,他,هو,np,,
He's a nice guy.,他是个好人。,انه شخص لطيف,sent,,
head,头, رأس,np,,
health,健康状况,صحة,np,,
health condition,健康状况,حالة صحية,np,,
heater,暖气,مدفأة/مسخن,np,,
height,身高,ارتفاع,np,,
heir,继承人,وريث,np,,
helicopter,直升机,طائرة هيليكوبتر,np,,
heliport,直升飞机场,مهبط لطائرات الهيليكوبتر,np,,
Hello.,你好。,مرحبا.,sent,,
help desk,问讯处,مكتب الاستعلامات,np,,
Help!,救命！,النجدة!,sent,,
Helsinki,赫尔辛基,هلسنكي,np,,
herb,香草,عشبة,np,,
here,这里,هنا,adv,,
Here are my passport and ticket.,这是我的护照和机票。,ها هنا جوازي وتذكرتي.,sent,,
Here by yourself?,你自己一个人吗？,هل أنت هنا لوحدك؟,sent,,
Here is your boarding pass.,这是您的登机牌。,ها هي بطاقة الصعود,sent,,
Here is your receipt.,这是给您的没收单据。,ها هو الإيصال,sent,,
Here it is.,在这儿。,ها هو ذا,sent,,
"Here, take one of these trolleys.",在这，取一辆手推车吧。,هاك، خذ أحد هذه العربات,sent,,
Here's my business card.,这是我的名片。,ها هي بطاقة العمل خاصتي,sent,,
Here's the menu.,这是菜单。,ها هي لائحة الطعام,sent,,
Here's your medicine.,这是给你的药。,ها هو دوائك,sent,,
"Here's your ticket, boarding pass, passport and baggage claim tag.",这是您的机票，登机证，护照和行李提领证。,ها هي تذكرتك، تذكرة صعودك، و استلام الأمتعة.,sent,,
"Here's your ticket, your boarding pass and the tag of your baggage.",这是您的机票、登机牌和行李签。,ها هي تذكرتك، تذكرة صعودك، و بطاقة استلام الأمتعة.,sent,,
Hi!,你好！,مرحبا!,sent,,
high ball,高杯,كرة عالية,np,,
High-Speed Wireless Internet.,高速无线上网,إنترنت لاسلكي عالي السرعة.,sent,,
Hiroshima,广岛,هيروشيما,np,,
Ho Chi Minh City,胡志明市,مدينة هو تشي مينه,np,,
Hold on a second please.,请稍等。,انتظر لحظة من فضلك,sent,,
home phone,住宅电话,رقم منزل,np,,
Honduras,洪都拉斯,هندوراس,np,,
honey,蜂蜜,عسل,np,,
Hong Kong,香港,هونغ كونغ,np,,
Hospitality Promise,服务承诺,وعد الضيافة,sent,,
hot red pepper,辣椒,فلفل أحمر حار,np,,
hotel,酒店／旅馆,فندق,np,,
hotel reservation,订旅馆,حجز فندق,np,,
House Keeping Dept,客房部,دين خدمة تنظيف الغرف,sent,,
house number,门牌,رقم المنزل,np,,
How about * cuisine?,*餐呢?,ماذا عن المطبخ ال*؟,vp,,
How about a coffee?,来杯咖啡怎么样?,ما رأيك في احتساء قهوة؟,sent,,
How about this table?,这张桌子可以吗?,ما رأيك عن هذه الطاولة؟,sent,,
How are you feeling now?,现在感觉如何?,كيف تشعر الآن؟,sent,,
How are you?,你好吗？,كيف حالك؟,sent,,
How can I contact you?,我怎么联系你呢?,كيف يمكنني التواصل معك؟,sent,,
How can I get to the baggage claim area?,去行李领取处怎么走呢?,كيف يمكنني الوصول إلى منطقة استلام الأمتعة؟,sent,,
How do I deal with my luggage?,我的行李怎么办呢?,كيف أتعامل مع أمتعتي؟,sent,,
How do I get to * ?,怎么去*?,كيف أصل إلى *؟,vp,,
How do I recline my seat?,我怎么让我的椅子躺下?,كيف أميل كرسيي للخلف؟,sent,,
How do I turn on the light?,请问怎样开阅读灯?,كيف أشعل الضوء؟,sent,,
"How do you spell it, please?",请问怎么拼写呢?,كيف تتهجأ هذه الكلمة من فضلك؟,sent,,
"How do you spell that, please?",请讲一下是怎么拼写的?,كيف تتهجأ هذه الكلمة من فضلك؟,sent,,
How long do you plan to stay?,你计划住多久?,كم الفترة التي تخطط البقاء فيها؟,sent,,
How long will it take?,这需要多长时间?,كم من الوقت سيستغرق؟,sent,,
How long will you be staying?,请问你要住多久?,إلى متى تخط البقاء؟,sent,,
How many bags do you want to check in?,您要托运几个包裹?,كم حقيبة تود أن تسجل دخولها؟,sent,,
"How many of you, please?",请问几位?,كم منكم من فضلك؟,sent,,
How many people are in your family?,你家有几口人?,كم شخص يوجد في عائلتك؟,sent,,
How many people please?,请问几个人?,كم شخص من فضلك؟,sent,,
How many pieces of luggage do you have?,您有几件行李?,كم حقيبة لديك؟,sent,,
How many?,几个人?,كم؟,sent,,
How much does it cost to get to *?,去*要多少钱？,كم يكلف الذهاب إلى *؟,vp,,
How much dose this meat weight?,这肉有多重?,كم يزن هذا اللحم؟,sent,,
How much is *?,多少钱 *？,كم ثمن *؟,vp,,
How much is a room for one person per night?,单人房一晚多少钱？,ما سعر الغرفة لفرد واحد؟,sent,,
How much is a room for two people per night?,双人房一晚多少钱？,ما سعر الغرفة لفردين؟,sent,,
How much is a ticket to *?,去*的票多少钱？,ما سعر التذكرة الى *؟,vp,,
How much is it per hour?,一小时是多少钱？,ما السعر للساعة؟,sent,,
How much is it to call to *?,打给*是多少钱？,ما سعر المكالمة الى *؟,vp,,
How much is it to get in?,入场费多少钱？,ما سعر تذكرة الدخول؟,sent,,
How much is the fare?,票价多少钱?,كم هي الأجرة؟,sent,,
How much is the round trip?,往返票多少钱?,كم تكلف الجولة؟,sent,,
How much is the ticket?,这票多少钱?,كم تكلف التذكرة؟,sent,,
How much is this?,多少钱？,بكم هذا؟,sent,,
How much longer are we going to have to wait for our dinner?,我们还要等多久才能吃上饭呢?,كم أكثر سننتظر من أجل العشاء؟,sent,,
How much?,多少？,بكم؟,sent,,
How old are you?,你多大了?,كم عمرك؟,sent,,
How was your flight?,你的旅途怎么样呢?,كيف كانت رحلتك؟,sent,,
How was your meal?,这一顿饭怎么样？,كيف كانت وجبتك؟,sent,,
How would you like to pay for it?,您准备怎样付款呢?,كيف تود أن تدفع الثمن؟,sent,,
How would you like your coffee?,你喝什么样的咖啡?,كيف تود تحضير قهوتك؟,sent,,
humorous,有幽默,مضحك,np,,
hundred,一百,مائة,num,,
hundred million,一亿,مائة مليون,num,,
hundred thousand,十万,مائة ألف,num,,
Hungary,匈牙利,المجر,np,,
husband,丈夫,هنغاريا,np,,
Hyderabad,海得拉巴,حيدر أباد,np,,
I,我,انا,np,,
I am *.,我是*。,انا *.,vp,,
I am afraid that all the room with a view to the sea have been booked.,恐怕所有看得到海的房间都已经被预订了。,كل الغرف التي تطل على البحر محجوزة,sent,,
I am from *.,我从*来。,أنا من *.,vp,,
I am getting my car at the parking lot.,我去停车场取车。,سأحضر سيارتي من الموقف,sent,,
I am going to transfer in *.,我要转机去*。,سوف أقوم بالتحويل في *,vp,,
I am interested in ….,我的爱好是…,أنا مهتم ب..,sent,,
I am sick.,我生病了。,انا مريض,sent,,
I booked a single room in your hotel for *.,我在你们宾馆预定了这周五的单人房间。,حجزت غرفة فردية في فندقك ل*..,sent,,
I can a little.,只会一点。,يمكنني القليل,sent,,
I can't afford it.,我付不起。,لا أستطيع تحمل هذا,sent,,
I can't find my baggage.,我找不到行李了。,لا يمكنني إيجاد أمتعتي,sent,,
I can't find the pet food.,我找不到宠物食品。,لا يمكنني إيجاد طعام الحيوات الأليفة,sent,,
I can't get my bag to fit into the overhead compartment.,我的包放不进上面的行李箱了。,لا يمكنني احتواء حقيبتي في المقصورة العلوية,sent,,
I can't speak *.,我不会讲*。,لا يمكنني تكلم ال*..,vp,,
I can't understand why this restaurant always serves so slowly.,我不明白这个饭店为什么总是上菜这么慢。,لا يمكنني أن أفهم لماذا هذا المطعم خدمته بطيئة دائماً,sent,,
I come from *.,我从加拿大来。,أنا من*,sent,,
I didn't reserve a table.,我没有预订.,لم أحجز طاولة مسبقاً,sent,,
I don't eat *.,我不吃*。,لا آكل *.,vp,,
I don't feel well.,我觉的不太舒服。,لا أشعر بخير,sent,,
I don't have *.,我没有*。,ليس عندي *.,vp,,
I don't like this table.,我不喜欢这张桌子。,لا تعجبني هذه الطاولة,sent,,
I don't like your attitude.,我不喜欢你的态度。,لا يعجبني أسلوبك,sent,,
I don't speak *.,我不能说*。,لا أتحدث *.,vp,,
I don't think I ordered this dish.,我想我没有点这个菜。,لا أعتقد أنني طلبت السمك,sent,,
I don't think this fish is proberly cooked.,我觉得这鱼好像没做熟。,لا أعتقد أن هذا السمك مطبوخ جيداً,sent,,
I don't understand (something heard).,我听不懂。,أنا لا أفهم,sent,,
I don't understand.,我听不懂。,أنا لا أفهم,sent,,
I don't want *.,我不要*。,لا أريد *.,vp,,
I don't want it.,我不要。,أنا لا أريده,sent,,
I don't want the yolk to be too well-done.,我不要蛋黄做的太老。,لا أريد صفار البيض أن يكون مطهي جيداً,sent,,
I don't want to eat there.,我不想在那儿吃。,لا أريد أن آكل هناك,sent,,
I don't want to intake any sugar.,我不想摄入糖分。,لا أريد أن استهلك أي سكر,sent,,
I feel a little bit cold.,我觉得有点冷。,أشعر بالبرد قليلاً,sent,,
I feel dizzy and weak. And I'm having this pain in my ear.,我感觉头晕、虚弱，耳朵也有点疼。,أشعر بالدوار والضعف. وعندي ألم في أذني.,sent,,
I feel like vomiting.,我想吐。,أشعر بأني أريد التقيؤ,sent,,
"I feel very tired, because it's a very long flight.",我感觉很累，因为飞行时间很长。,أشعر بالتعب الشديد، لأنها كانت رحلة طويلة.,sent,,
I guess that's OK.,我想就那个吧。,أظن أن هذا لا بأس به,sent,,
I have *.,我有*。,لدي *.,vp,,
I have a little airsickness.,我有点晕机。,أشعر بقليل من دوار الجو,sent,,
I have a reservation under *.,我有在*名下的预订。,عندي حجز باسم *,vp,,
I have arrived.,我到了。,لقد وصلت.,sent,,
I have cancelled your reservation.,我已经取消了你的预定。,لقد ألغيت حجزك,sent,,
I have to transfer to *.,我必须转机去*。,كان علي أن أنتقل إلى *,vp,,
I haven't done anything wrong.,我没有做错事。,لم أفعل شيئاً خاطئاً,sent,,
I hope you enjoy your meal.,我希望您喜欢您的食物。,أتمنى أن تستمتع بوجبتك,sent,,
I just heard an announcement that my flight has been delayed.,我刚听到广播说我的班机延迟了。,لقد سمعت إعلاناً للتو بأن طيارتي قد تأجلت,sent,,
I like *.,我喜欢 *。,انا يعجبني *.,vp,,
I live alone.,我一个人住。,أنا أعيش وحدي,sent,,
I live in an apartment.,我住在一个公寓里。,أعيش في شقة,sent,,
I lost my *.,我丢了我的*。,فقدت *.,vp,,
I lost my bag.,我丢了我的包包。,فقدت حقيبتي.,sent,,
I lost my baggage.,我的行李不见了。,فقدت أمتعتي,sent,,
I love *.,我爱 *。,أنا أحب *.,vp,,
I might have made a mistake.,我可能搞错了。,يمكن أن أكون قد ارتكبت خطأً,sent,,
I need *.,我要*。,احتاج *.,vp,,
I need a doctor.,我需要医生。,أحتاج طبيب.,sent,,
I need a shopping cart.,我需要一辆购物车。,آحتاج إلى عربة تسوق,sent,,
I need an airsickness bag.,我需要一个呕吐袋。,أحتاج إلى كيس دوار الجو,sent,,
I need more coffee.,我要加点咖啡。,أحتاج إلى المزيد من القهوة,sent,,
I need to change my flight date.,我需要更改航班日期。,آأحتاج أن أغير موعد رحلتي,sent,,
I need to see your passport.,我需要看一下你的护照。,أ حتاج أن أرى جواز سفرك,sent,,
I need to talk to a lawyer.,我要跟律师联系。,أريد التحدث مع محامي,sent,,
I need your help.,我需要你的帮助。,أحتاج مساعدة لو سمحت.,sent,,
I only eat Halal food.,我只吃清真食品。,أنا آكل الطعام الحلال فقط.,sent,,
I only speak *.,我只说*。,أنا أتحدث * فقط,vp,,
I order my meal a while ago and it still hasn't come.,我很久以前点的餐，到现在还没来。,طلبت وجبتي قبل فترة ولميصلني بعد,sent,,
I see. When can I receive your confirmation?,明白了。我什么时候可以得到你们的确认?,فهمت. متى يمكنني أن أحصل على تأكيدك؟,sent,,
I take it black.,我喜欢黑咖啡。,أنا آخذه أسود,sent,,
I think beef is better.,我想牛肉比较好。,أعتقد بأن لحم البقر أفضل,sent,,
I think I am sick.,我想我是病了。,أعتقد أنني مريض/مريضة,sent,,
I think this is my seat.,我想这是我的座位。,أظن أن هذا مقعدي,sent,,
I think we should go and have a try.,我们应该去试试。,أعتقد أن علينا أن نذهب ونجرب,sent,,
I think we'd like to take that one by the window.,我们想还是靠窗的那张吧。,أظن أننا سنود أن نأخذ ذلك القريب من النافذة,sent,,
I think you have made a mistake with my order.,我想你上错我的点的菜了。,أعتقد أنك ارتكبت خطأً في طلبي,sent,,
I want *.,我想要*。,أريد *.,vp,,
I want a dish with *.,我想吃*的菜。,أريد أن آكل طبق مع *.,vp,,
I want doggy bags.,我需要打包袋。,أريد أكياس أو علبة لأخذ الطعام معي.,sent,(Not a literal translation),
I want to book one ticket for the next flight to *.,我想预订一张飞往*的下一班机票。,أريد حجز تذكرة واحدة للرحلة التالية المتجهة إلى *.,vp,,
I want to check out.,我要退房。,أريد أن أدفع لاغادر.,sent,,
I want to rent a car.,我想要租车。, أريد تأجير سيارة.,sent,,
I want to talk to the * embassy.,我希望跟*大使馆联系。,أود بالتحدث مع سفارة *.,vp,,
I want you to meet *.,我想让你见见*。,أريدك أن تلتقي ب*.,vp,,
I will stay for * night(s).,我打算住*夜。,سأقيم ل* ليال.,vp,,
I wish you a happy joumey.,祝您旅途愉快。,أتمنى لك رحلة موفقة!,sent,,
I work at the *.,我在*工作。,أعمل في *.,vp,,
I work in government.,我在政府部门上班。,أعمل في الحكومة.,sent,,
I would like *.,我想要 *。,أود *.,vp,,
I would like to make flight reservations.,我想预订机票。,أريد أن أقوم بحجوزات طيران.,sent,,
I would rather pay.,我付钱好了。,أفضل أن أدفع أنا.,sent,,
I'd like *.,我想要*。,أنا أحب *.,vp,,
I'd like a coffee with sugar.,我想要杯加糖的咖啡。,أريد قهوة بالسكر.,sent,,
I'd like a coffee.,我想要杯咖啡。,أريد قهوة.,sent,,
I'd like a decaf.,来一杯没有咖啡因的咖啡。,أريد قهوة منزوعة الكافيين.,sent,,
"I'd like a refill, please.",请给我续一杯。,أريد أن أملأ * مرة ثانية.,sent,,
I'd like a standard room.,我要一个标准间。,أريد غرفة اعتيادية,sent,,
I'd like an aisle seat.,我想要一个走廊的座位。,أريد مقعد جنب الممر.,sent,,
I'd like reserve a room facing the sea.,我想订个临海的房间。,أريد أن أحجز غرفة مقابل البحر,sent,,
I'd like some bananas.,我想要些香蕉。,أريد موز,sent,,
I'd like the beef.,我要牛肉。,أريد لحم البقر,sent,,
I'd like to book a double room.,下星期二我想订一个双人房间。,أريد أن أحجز غرفة مزدوجة,sent,,
I'd like to cancel a reservation.,我想取消预订。,أريد أن ألغي الحجز,sent,,
I'd like to cancel my order.,我要取消我的点餐。,أريد أن ألغي طلبي,sent,,
I'd like to check in.,我要办理登记手续。,أريد تسجيل الدخول,sent,,
I'd like to get * seats on a flight to *.,我想订*张到*的机票。,أريد أن أحصل على * مقعد على متن رحلة إلى *.,vp,,
I'd like to have a seat by the window.,我想要一个靠窗的座位。,أريد أن أحصل على مقعد عند النافذة.,sent,,
I'd like to introduce *.,我来介绍一下*。,أود أن أعرف على *.,vp,,
I'd like to make a reservation.,我想预订房间。,أريد أن أقوم بحجز.,sent,,
I'd like to rent a car.,我想租车,أريد تأجير سيارة,sent,,
I'd like to reserve a room.,我想订一间房。,أريد حجزغرفة.,sent,,
I'd like to reserve some rooms for a tourist party.,我想为一个旅游团订一些房间。,أريد حجز بعض الغرف لحفلة ضيوف.,sent,,
I'd like to see to your manager.,我要见你们经理。,أريد أن أقابل المدير.,sent,,
I'd like to take the first available flight.,我想乘第一班飞机。,أود أن أصعد على متن أقرب رحلة متوفرة.,sent,,
I'd like to take the rest home.,我想把剩下的打包回家。,أود أن آخذ المتبقي معي إلى المنزل.,sent,,
I'd like you to meet a friend of mine.,我想让你见见我的朋友,أريدك أن تقابل صديقاً لي.,sent,,
I'll ask the chef to explain to you.,我会请主厨来向您解释。,سأسأل المدير أن يشرح لك.,sent,,
I'll be right back with your order.,我会立即为您送上餐点。,سأعود إليك قريباً مع طلبك.,sent,,
I'll bring you another one.,我会给你另外拿来一份。,سأحضر لك واحداً آخر.,sent,,
I'll call the police.,我会叫警察。,سأتصل بالشرطة‏ ‎.,sent,,
I'll change it immediately.,我会立即更换。,سأبدله في الحال,sent,,
I'll check if we have vacancy.,我看看是否还有空位。,سأتأكد إذا كان لدينا شاغر,sent,,
I'll check it for you at once.,我马上为您查询。,سأتأكد لك منه بدفعة واحدة,sent,,
I'll check your order with the chef.,我会和厨师查对您点的菜。,سأتأكد من طلبك مع رئيس الطهاة,sent,,
I'll find a table for you.,我会为您找一张桌子。,سأعثر على طاولة لك,sent,,
I'll get some medicine for you right away.,我马上去给你拿些药来。,سأحضر لك بعض الدواء حالاً,sent,,
I'll get there by date *.,我会在*日之前到达。,سأصل هناك تاريخ *.,vp,,
"I'll have a coke, please.",请给我一杯可乐。,سآخذ كوكاكولا من فضلك,sent,,
"I'll have a glass of lemonade. More ice,please.",我要一杯柠檬汁，请多放一点冰块。,سآخذ كأس ليموناضه. أريد المزيد من الثلج لو سمحت.,sent,,
I'll have the chef prepare another one.,我会请厨师准备另一份。,سأطلب من رئيس الطهاة أن يحضّر واحدة أخرى,sent,,
I'll hurry. Please wait a moment.,我会快点的，请稍等一会儿。,سوف أستعجل. أرجو الانتظار.,sent,,
I'll log in to the Internet to find out about you. I know your address.,我还是上因特网去看吧。我知道你们的网址。,سأقوم بالدخول إلى الإنترنت لأتعرف عليك. أعرف عنوانك.,sent,,
I'll need an economy ticket with an open return.,我要经济舱，回程时间不定的来回票。,سأحتاج إلى تذكرة اقتصادية مع عودة مفتوحة.,sent,,
I'll return your suggestion to the chef.,我会向主厨反应你的意见。,سأوصل اقتراحك ألى رئيس الطهاة,sent,,
I'll see about your order.,我这就去看看你点的菜。,سوف أرى بخصوص طلبك,sent,,
I'll send this back to the kitchen and get you a new one.,我会把它送回厨房，换拿给您为一份新的。,سأعيد هذا إلى المطبخ وأحضر لك واحداً آخر,sent,,
I'll show you to your table.,我来带您到餐桌。,سأريك طاولتك,sent,,
I'll tell the kitchen to prepare a new one for you.,我会告诉厨房为您再做一份新的。,سأخبر المطبخ أن يحضروا واحداً جديداً لك,sent,,
I'll try to hurry things up.,我会催促快些。,سأحاول أن أعجّل الأمور,sent,,
I'll wait.,我等一下吧。,سأنتظر,sent,,
I'm * years old.,我今年*岁了。,عمري * سنة.,vp,,
