,en,cn,ar,pos
656,five,五,خمسة,num
657,five hundred,五百,خمس مائة,num
658,fixed-price meal,定价套餐,وجبة ثابتة السعر,np
659,flammable item,易燃物品,عنصر قابل للاشتعال,np
660,Flammable items cannot be taken with you into the aircraft.,易燃品不能随身带上飞机。,لا يمكن أخذ المواد القابلة للاشتعال معك في الطائرة.,sent
661,flight,飞行,طيران,np
662,Flight * bound for *.,*号班机，去*的。,رحلة * ملزمة *.,vp
663,Flight * to * is now boarding.,飞往*的*班，已经开始登机。,رحلة * إلى * ستصعد الآن.,vp
664,flight connections,转机处,اتصالات الطيران,np
665,flight number,班机号码,رقم الرحلة الجوية,np
666,Florence,佛罗伦萨,فلورنسا,np
667,Flying Time.,飞行时间。,وقت الطيران.,sent
668,food trolley,送餐车,عربة الطعام,np
669,foot rest,坐着的时候放脚的支撑物,مسند للقدمين,np
670,For * night(s).,订*个晚上。,لمدة * ليالي,vp
671,For * people.,为*个人。,ل* أشخاص.,vp
672,"For More On High Speed Internet Access, Including Trouble Shooting Information, Please Refer To The Guest Service Directory.",请查阅旅客服务指南获取更多的有关高速上网以及如何排除故障的信息。,لمعرفة المزيد عن الإتصال بالإنترنت عالي  السرعة، بما في ذلك معلومات عن المشاكل، يرجى الرجوع إلى خدمة دليل النزلاء.,sent
673,For one person.,为一个人。,لشخص واحد.,sent
674,For Reservation Call...,预订服务请拨电话...,"للحجز اتصل ب...
",sent
675,For two people.,为两个人。,لشخصين.,sent
676,for use only in case of fire,灭火专用,للاستخدام فقط في حالة نشوب حريق,np
677,For what time?,请问什么时间入住?,في أي وقت؟,sent
678,"For Your Convenience, Cigarettes Are Available At The Front Desk.",为了您的方便，前台有香烟出售。,لراحتك، السجائر متوفرة في مكتب الاستقبال.,sent
679,"For your own safety, please go back to your seat and fasten the seat belts. Thank you.",请您回到您的座位，并系好安全带，以求安全。谢谢您的合作。,من أجل سلامتك، يرجى الرجوع إلى مقعدك وربط أحزمة الأمان. شكرًا.,sent
680,forbidden,被禁止,ممنوع,adj
681,forced landing,迫降,هبوط اضطراري,np
682,foster father,养父,الأب الحاضن,np
683,foster mother,养母,الأم الحاضنة,np
684,four,四,أربعة,num
685,fragile,易碎,هش,np
686,France,法国,فرنسا,np
687,frank,真诚的,صريح,np
688,Frankfurt,法兰克福,فرانكفورت,np
689,free admission,免费入场,الدخول مجاني,np
690,Free In All Guest Rooms.,所有房间内免费登陆。,مجاني في جميع غرف النزلاء.,sent
691,french coffee,法式滴滤咖啡,القهوة الفرنسية,np
692,french vanilla coffee,法国香草咖啡,قهوة الفانيليا الفرنسية,np
693,fresh ground coffee,现磨咖啡,بن مطحون طازج,np
694,Friday,星期五,يوم الجمعة,np
695,Fried eggs with ham.,火腿肠煎蛋。,البيض المقلي مع لحم الخنزير.,sent
696,fried rice,炒饭,أرز مقلي,np
697,friend,朋友,صديق,np
698,from,从,من,prt
699,From date * until *.,从*月*日到*日。,من تاريخ * حتى *.,vp
700,Front Aisle,前廊,الممر الأمامي,sent
701,Front Counter,前台,المكتب الأمامي,sent
702,Front Desk,前台,مكتب الاستقبال,sent
703,fruit cappuccino,果味卡布奇诺,كابتشينو بالفاكهة,np
704,fruits,水果,فاكهة,np
705,ft,英尺,,np
706,Full Central Heating With House Provided Hot Water * Hours.,中央暖气系统，房间*小时提供热水。,التدفئة المركزية الكاملة مع توفير المياه الساخنة البيت * ساعات.,vp
707,Fully Centrally Heated.,中央暖气全部开放。, مدفأ تدفئة مركزية كاملة,sent
708,Gabon,加蓬,الغابون,np
709,galley,飞机上的厨房,مطبخ السفينة,np
710,Gambia,冈比亚,غامبيا,np
711,Games Room.,游戏房。,غرفة الألعاب.,sent
712,garlic,蒜,ثوم,np
713,gas station,加油站,محطة بنزين,np
714,gate,登机口,بوابة,sent
715,Gaza,加沙,غزة,np
716,generation,代,جيل,np
717,genteel,有教养的,أنيق,np
718,gentle,有礼貌的,لطيف,np
719,Georgia,格鲁吉亚,جورجيا,np
720,Germany,德国,ألمانيا,np
721,Ghana,加纳,غانا,np
722,ginge,姜,أناس ذو شعر أحمر,np
723,Give me * pieces,给我来*块吧。,أعطني * قطع,vp
724,Give me a cup of coffee.,给我一杯咖啡。,أعطني فنجان قهوة.,sent
725,Give me a decaf.,给我一杯没有咖啡因的咖啡。,أعطني قهوة منزوعة الكافيين,sent
726,Give me a one-way ticket to *,给我一张单程到*的票。,أعطني تذكرة ذهاب فقط إلى *,vp
727,Give me a pound of tomatoes and a pound of eggplants.,给我一磅番茄和一磅茄子。,أعطني رطل من الطماطم و رطل من الباذنجان.,sent
728,give way,快车先行,افسح الطريق,np
729,Glasgow,格拉斯哥,غلاسكو,np
730,glasses,眼镜,نظارات,np
731,Glasses up!,举杯!,ارتدي النظارة,sent
732,go,去,ذهب,vp
733,Go all the way to the back and turn right.,往里走到头然后右转。,اذهب بالكامل إلى الخلف واستدر يمينًا.,sent
734,Go right ahead.,请过。,استمر للأمام.,sent
735,Go straight following the sign ang you will see the gate.,跟着指示走，你将看到登机口。,,sent
736,Go straight.,直走,انطلق الى الأمام.,sent
737,"Go this way, please.",请这边走。,اسلك هذا الاتجاه من فضلك.,sent
738,"Go through the gate, please.",请通过安全门。,اعبر عبر البوابة من فضلك.,sent
739,gold,金色,ذهب,adj
740,good at,擅长于,جيد في,np
741,Good evening.,晚上好。,مساء الخير.,sent
742,good for passage between,旅行经停地点,جيد للمرور بين,np
743,Good morning.,早安。,صباح الخير.,sent
744,Good night.,晚安。,تصبح على خير,sent
745,Good.,好！,جيد!,sent
746,Goodbye,再见。,مع السلامة,sent
747,Goods Prohibited To Be Hand-Carried.,禁止随身携带的物品。,البضائع المحظورة أن تكون محمولة باليد.,sent
748,Goods Prohibited To Exit The Country.,禁止携带出境的物品。,البضائع المحظورة أن تغادر الدولة.,sent
749,government-supportedstudent,公费生,,np
750,graduate,毕业生,خريج,np
751,graduate student,研究生,طالب خريج,np
752,grandchildren,孙辈,أحفاد,np
753,granddaughter,孙女,حفيدة,np
754,grandfather,祖父,جد,np
755,grandma,奶奶,جدة,np
756,grandmother,祖母,جدة,np
757,grandpa,爷爷,جد,np
758,grandson,孙子,حفيدة,np
759,granulated sugar,砂糖,سكر مطحون,np
760,great-aunt,叔、伯祖母,عمة الأم أو الأب,np
761,great-granddaughter,曾孙女,ابنة الحفيد أو الحفيدة,np
762,great-grandfather,曾祖父,والد الجد أو الجدة,np
763,great-grandmother,曾祖母,والدة الجد أو الجدة,np
764,great-grandson,曾孙,ابن الحفيد أو الحفيدة,np
765,great-uncle,叔、伯祖父,عم الأم أو لاأب,np
766,Great.,很棒！,عظيم.,sent
767,Greece,希腊,اليونان,np
768,green,绿色,أخضر,adj
769,green onion,葱,بصل أخضر,np
770,green tea,绿茶,شاي أخضر,np
771,greeting arriving,迎宾处,وصول الاستقبال,np
772,Grenada,格林纳达,غرينادا,np
773,grey,灰色,رمادي,adj
774,Guadalajara,瓜达拉哈拉,غوادالاخارا,np
775,Guangzhou,广州,قوانغتشو,np
776,Guatemala,危地马拉,غواتيمالا,np
777,Guest Room Dept.,客房部,قسم غرف الضيوف,sent
778,Guest Rooms In This Hotel Are Not Equipped With Wireless(Wifi) High Speed Internet Access.,本酒店旅客房间内没有无线上网设施。,غرف الضيوف في هذا الفندق غير مجهّزة بالإنترنت اللاسلكي (واي فاي) عالي السرعة.,sent
779,Guest Safety Tips.,旅客安全提示。,نصائح السلامة للضيوف,sent
780,guest student,旁听生,ضيف زائر,np
781,Guinea,几内亚,غينيا,np
782,Guinea-Bissau,几内亚比绍,غينيا بيساو,np
783,Guyana,圭亚那,غيانا,np
784,hair,头发,شعر,np
785,Hair Dryer,头发吹风机,مجفف الشعر,sent
786,Haiti,海地,هايتي,np
787,half,半,نصف,adj
788,Halifax,哈利法克斯,هاليفاكس,np
789,ham,火腿,لحم خنزير,np
790,Hamburg,汉堡,هامبورغ,np
791,Hamilton,汉密尔顿,هاميلتون,np
792,Handicapped Room.,残疾人房间。,غرفة ملائمة للمعاقين,sent
793,handle with care,小心轻放,تعامل بعناية,np
794,hands,手,أيادي,np
795,hands off,请勿用手摸,ابعد يديك,np
796,Havana,哈瓦那,هافانا,np
797,Have a nice flight!,飞行愉快!,أتمنى لك رحلة موفقة!,sent
798,Have we ever met?,我们以前见过面吗?,هل سبق والتقينا من قبل؟,sent
799,Have you made a reservation?,您预订订座了吗?,هل قمت بعملية حجز؟,sent
800,Have you met before?,你们以前见过吗?,هل التقيت من قبل؟,sent
801,Have your ticket and passport ready for the check-in agent.,请将机票和护照准备好办理登机手续。,اجعل على تذكرتك وجواز سفرك جاهزًا لموظف تسجيل الدخول.,sent
802,hazelnut cappuccino,榛子卡布奇诺,كابوتشينو بالبندق,np
803,hazelnut latte,榛子咖啡拿铁,لاتيه بالبندق,np
804,he,他,هو,np
805,He's a nice guy.,他是个好人。,انه شخص لطيف,sent
806,head,头,رئس,np
807,health,健康状况,صحة,np
808,health condition,健康状况,حالة صحية,np
809,heater,暖气,مدفأة,np
810,height,身高,ارتفاع,np
811,heir,继承人,وريث,np
812,helicopter,直升机,طائرة هيليكوبتر,np
813,heliport,直升飞机场,مهبط لطائرات الهيليكوبتر,np
814,Hello.,你好。,مرحبا.,sent
815,help desk,问讯处,مكتب الاستعلامات,np
816,Help!,救命！,النجدة!,sent
817,Helsinki,赫尔辛基,هلسنكي,np
818,herb,香草,عشبة,np
819,here,这里,هنا,adv
820,Here are my passport and ticket.,这是我的护照和机票。,ها هنا جوازي وتذكرتي.,sent
821,Here by yourself?,你自己一个人吗？,هل أنت هنا لوحدك؟,sent
822,Here is your boarding pass.,这是您的登机牌。,ها هي بطاقة الصعود,sent
823,Here is your receipt.,这是给您的没收单据。,ها هو الإيصال,sent
824,Here it is.,在这儿。,ها هو ذا,sent
825,"Here, take one of these trolleys.",在这，取一辆手推车吧。,هاك، خذ أحد هذه العربات,sent
826,Here's my business card.,这是我的名片。,ها هي بطاقة العمل خاصتي,sent
827,Here's the *.,给你*。,هنا هو *.,sent
828,"Here's your ticket, boarding pass, passport and baggage claim tag.",这是您的机票，登机证，护照和行李提领证。,ها هي تذكرتك، تذكرة صعودك، و استلام الأمتعة.,sent
829,"Here's your ticket, your boarding pass and the tag of your baggage.",这是您的机票、登机牌和行李签。,ها هي تذكرتك، تذكرة صعودك، و بطاقة استلام الأمتعة.,sent
830,Hi!,你好！,مرحبا!,sent
831,High-Speed Wireless Internet.,高速无线上网,إنترنت لاسلكي عالي السرعة.,sent
832,Hiroshima,广岛,هيروشيما,np
833,Ho Chi Minh City,胡志明市,مدينة هو تشي مينه,np
834,Hold on a second please.,请稍等。,انتظر ثانية.,sent
835,home phone,住宅电话,رقم منزل,np
836,Honduras,洪都拉斯,هندوراس,np
837,honey,蜂蜜,عسل,np
838,Hong Kong,香港,هونغ كونغ,np
839,Hospitality Promise,服务承诺,وعد الضيافة,sent
840,hot red pepper,辣椒,فلفل أحمر حار,np
841,hotel,酒店／旅馆,فندق,np
842,hotel reservation,订旅馆,حجز فندق,np
843,House Keeping Dept,客房部,دين خدمة تنظيف الغرف,sent
844,house number,门牌,رقم المنزل,np
845,How about * cuisine?,*餐呢?,ماذا عن المطبخ ال*؟,vp
846,How about a coffee?,来杯咖啡怎么样?,ما رأيك في احتساء قهوة؟,sent
847,How about this table?,这张桌子可以吗?,ما رأيك عن هذه الطاولة؟,sent
848,How are you feeling now?,现在感觉如何?,كيف تشعر الآن؟,sent
849,How are you?,你好吗？,كيف حالك,sent
850,How can I contact you?,我怎么联系你呢?,كيف يمكنني التواصل معك؟,sent
851,How can I get to the baggage claim area?,去行李领取处怎么走呢?,كيف يمكنني الوصول إلى منطقة استلام الأمتعة؟,sent
852,How do I deal with my luggage?,我的行李怎么办呢?,كيف أتعامل مع أمتعتي؟,sent
853,How do I get to * ?,怎么去*?,كيف أصل إلى *؟,vp
854,How do I recline my seat?,我怎么让我的椅子躺下?,كيف أميل كرسيي للخلف؟,sent
855,How do I turn on the light?,请问怎样开阅读灯?,كيف أشعل الضوء؟,sent
856,"How do you spell it, please?",请问怎么拼写呢?,كيف تتهجأ هذه الكلمة من فضلك؟,sent
857,"How do you spell that, please?",请讲一下是怎么拼写的?,كيف تتهجأ هذه الكلمة من فضلك؟,sent
858,How long do you plan to stay?,你计划住多久?,كم الفترة التي تخطط البقاء فيها؟,sent
859,How long will it take?,这需要多长时间?,كم من الوقت سيستغرق؟,sent
860,How long will you be staying?,请问你要住多久?,إلى متى تخط البقاء؟,sent
861,How many bags do you want to check in?,您要托运几个包裹?,كم حقيبة تود أن تسجل دخولها؟,sent
862,"How many of you, please?",请问几位?,كم منكم من فضلك؟,sent
863,How many people are in your family?,你家有几口人?,كم شخص يوجد في عائلتك؟,sent
864,How many people?,几个人?,كم عدد الاشخاص؟,sent
865,How many pieces of luggage do you have?,您有几件行李?,كم حقيبة لديك؟,sent
866,How many?,几个?,كم العدد؟,sent
867,How much does it cost to get to *?,去*要多少钱？,كم سيكلفني الذهاب إلى *؟,vp
868,How much dose this meat weight?,这肉有多重?,كم يزن هذا اللحم؟,sent
869,How much is *?,多少钱 *？,كم ثمن *؟,vp
870,How much is a room for one person per night?,单人房一晚多少钱？,ما سعر الغرفة لفرد واحد؟,sent
871,How much is a room for two people per night?,双人房一晚多少钱？,ما سعر الغرفة لفردين؟,sent
872,How much is a ticket to *?,去*的票多少钱？,ما سعر التذكرة الى *؟,vp
873,How much is it per hour?,一小时是多少钱？,ما السعر للساعة؟,sent
874,How much is it to call to *?,打给*是多少钱？,ما سعر المكالمة الى *؟,vp
875,How much is it to get in?,入场费多少钱？,ما سعر تذكرة الدخول؟,sent
876,How much is the fare?,票价多少钱?,كم هي الأجرة؟,sent
877,How much is the round trip?,往返票多少钱?,كم تكلف الجولة؟,sent
878,How much is the ticket?,这票多少钱?,كم تكلف التذكرة؟,sent
879,How much is this?,多少钱？,بكم هذا؟,sent
880,How much longer are we going to have to wait for our dinner?,我们还要等多久才能吃上饭呢?,كم أكثر سننتظر من أجل العشاء؟,sent
881,How much?,多少？,بكم؟,sent
882,How old are you?,你多大了?,كم عمرك؟,sent
883,How was your flight?,你的旅途怎么样呢?,كيف كانت رحلتك؟,sent
884,How was your meal?,这一顿饭怎么样？,كيف كانت وجبتك؟,sent
885,How would you like to pay for it?,您准备怎样付款呢?,كيف تود أن تدفع الثمن؟,sent
886,How would you like your coffee?,你喝什么样的咖啡?,كيف تود تحضير قهوتك؟,sent
887,humorous,有幽默,مضحك,np
888,hundred,一百,مائة,num
889,hundred million,一亿,مائة مليون,num
890,hundred thousand,十万,مائة ألف,num
891,Hungary,匈牙利,المجر,np
892,husband,丈夫,هنغاريا,np
893,Hyderabad,海得拉巴,حيدر أباد,np
894,I,我,انا,np
895,I am *.,我是*。,انا *.,vp
896,I am afraid that all the room with a view to the sea have been booked.,恐怕所有看得到海的房间都已经被预订了。,كل الغرف التي تطل على البحر محجوزة,sent
897,I am from *.,我从*来。,أنا من *.,vp
898,I am getting my car at the parking lot.,我去停车场取车。,سأحضر سيارتي من الموقف,sent
899,I am going to transfer in *.,我要转机去*。,سوف أقوم بالتحويل في *,vp
900,I am interested in ….,我的爱好是…,أنا مهتم ب..,sent
901,I am sick.,我生病了。,انا مريض,sent
902,I booked a single room in your hotel for *.,我在你们宾馆预定了这周五的单人房间。,حجزت غرفة فردية في فندقك ل*..,vp
903,I can a little.,只会一点。,يمكنني القليل,sent
904,I can't afford it.,我付不起。,لا أستطيع تحمل هذا,sent
905,I can't find my baggage.,我找不到行李了。,لا يمكنني إيجاد أمتعتي,sent
906,I can't find the pet food.,我找不到宠物食品。,لا يمكنني إيجاد طعام الحيوات الأليفة,sent
907,I can't get my bag to fit into the overhead compartment.,我的包放不进上面的行李箱了。,لا يمكنني احتواء حقيبتي في المقصورة العلوية,sent
908,I can't speak *.,我不会讲*。,لا اتكلم *.,vp
909,I can't understand why this restaurant always serves so slowly.,我不明白这个饭店为什么总是上菜这么慢。,لا يمكنني أن أفهم لماذا هذا المطعم خدمته بطيئة دائماً,sent
910,I come from *.,我从加拿大来。,أنا من*,vp
911,I didn't reserve a table.,我没有预订.,لم أحجز طاولة مسبقاً,sent
912,I don't eat *.,我不吃*。,لا آكل *.,vp
913,I don't feel well.,我觉的不太舒服。,لا أشعر بخير,sent
914,I don't have *.,我没有*。,ليس عندي *.,vp
915,I don't like this table.,我不喜欢这张桌子。,لا تعجبني هذه الطاولة,sent
916,I don't like your attitude.,我不喜欢你的态度。,لا يعجبني أسلوبك,sent
917,I don't speak *.,我不能说*。,لا أتحدث *.,vp
918,I don't think I ordered this dish.,我想我没有点这个菜。,لا أعتقد أنني طلبت السمك,sent
919,I don't think this fish is proberly cooked.,我觉得这鱼好像没做熟。,لا أعتقد أن هذا السمك مطبوخ جيداً,sent
920,I don't understand (something heard).,我听不懂。,أنا لا أفهم,sent
921,I don't understand.,我听不懂。,أنا لا أفهم,sent
922,I don't want *.,我不要*。,لا أريد *.,vp
923,I don't want it.,我不要。,أنا لا أريده,sent
924,I don't want the yolk to be too well-done.,我不要蛋黄做的太老。,لا أريد صفار البيض أن يكون مطهي جيداً,sent
925,I don't want to eat there.,我不想在那儿吃。,لا أريد أن آكل هناك,sent
926,I don't want to intake any sugar.,我不想摄入糖分。,لا أريد أن استهلك أي سكر,sent
927,I feel a little bit cold.,我觉得有点冷。,أشعر بالبرد قليلاً,sent
928,I feel dizzy and weak. And I'm having this pain in my ear.,我感觉头晕、虚弱，耳朵也有点疼。,أشعر بالدوار والضعف. وعندي ألم في أذني.,sent
929,I feel like vomiting.,我想吐。,أشعر بأني أريد التقيؤ,sent
930,"I feel very tired, because it's a very long flight.",我感觉很累，因为飞行时间很长。,أشعر بالتعب الشديد، لأنها كانت رحلة طويلة.,sent
931,I guess that's OK.,我想就那个吧。,أظن أن هذا لا بأس به,sent
932,I have *.,我有*。,لدي *.,vp
933,I have a little airsickness.,我有点晕机。,أشعر بقليل من دوار الجو,sent
934,I have a reservation under *.,我有在*名下的预订。,عندي حجز باسم *,vp
935,I have arrived.,我到了。,لقد وصلت.,sent
936,I have cancelled your reservation.,我已经取消了你的预定。,لقد ألغيت حجزك,sent
937,I have to transfer to *.,我必须转机去*。,كان علي أن أنتقل إلى *,vp
938,I have to *.,我不得不 *。,على أن *.,vp
939,I have to go.,我得走了。,علي الذهاب.,sent
940,I am hungry.,我饿了。,أنا جائع.,sent
941,I haven't done anything wrong.,我没有做错事。,ما عملت اشي غلط.,sent
942,I hope you enjoy your meal.,我希望您喜欢您的食物。,أتمنى أن تستمتع بوجبتك,sent
943,I just heard an announcement that my flight has been delayed.,我刚听到广播说我的班机延迟了。,لقد سمعت إعلاناً للتو بأن طيارتي قد تأجلت,sent
944,I like *.,我喜欢 *。,انا يعجبني *.,vp
945,I live alone.,我一个人住。,أنا أعيش وحدي,sent
946,I live in an apartment.,我住在一个公寓里。,أعيش في شقة,sent
947,I lost my *.,我丢了我的*。,فقدت *.,vp
948,I lost my bag.,我丢了我的包包。,فقدت حقيبتي.,sent
949,I lost my baggage.,我的行李不见了。,فقدت أمتعتي,sent
950,I love *.,我爱 *。,أنا أحب *.,vp
951,I might have made a mistake.,我可能搞错了。,يمكن أن أكون قد ارتكبت خطأً,sent
952,I need *.,我要*。,احتاج *.,vp
953,I need a doctor.,我需要医生。,أحتاج طبيب.,sent
954,I need a shopping cart.,我需要一辆购物车。,آحتاج إلى عربة تسوق,sent
955,I need an airsickness bag.,我需要一个呕吐袋。,أحتاج إلى كيس دوار الجو,sent
956,I need more coffee.,我要加点咖啡。,أحتاج إلى المزيد من القهوة,sent
957,I need to change my flight date.,我需要更改航班日期。,آأحتاج أن أغير موعد رحلتي,sent
958,I need to see your passport.,我需要看一下你的护照。,أ حتاج أن أرى جواز سفرك,sent
959,I need to talk to a lawyer.,我要跟律师联系。,أريد التحدث مع محامي,sent
960,I need your help.,我需要你的帮助。,أحتاج مساعدة لو سمحت.,sent
961,I only eat Halal food.,我只吃清真食品。,أنا آكل الطعام الحلال فقط.,sent
962,I only speak *.,我只说*。,أنا أتحدث * فقط,vp
963,I order my meal a while ago and it still hasn't come.,我很久以前点的餐，到现在还没来。,طلبت وجبتي قبل فترة ولميصلني بعد,sent
964,I see. When can I receive your confirmation?,明白了。我什么时候可以得到你们的确认?,فهمت. متى يمكنني أن أحصل على تأكيدك؟,sent
965,I think * is better.,我想*比较好。,,sent
966,I think I am sick.,我想我是病了。,أعتقد أنني مريض/مريضة,sent
967,I think this is my seat.,我想这是我的座位。,أظن أن هذا مقعدي,sent
968,I think we should go and have a try.,我们应该去试试。,أعتقد أن علينا أن نذهب ونجرب,sent
969,I think we'd like to take that one by the window.,我们想还是靠窗的那张吧。,أظن أننا سنود أن نأخذ ذلك القريب من النافذة,sent
970,I think you have made a mistake with my order.,我想你上错我的点的菜了。,أعتقد أنك ارتكبت خطأً في طلبي,sent
971,I want *.,我想要*。,أريد *.,vp
972,I want a dish with *.,我想吃*的菜。,أريد أن آكل طبق مع *.,vp
973,I want doggy bags.,我需要打包袋。,أريد أكياس أو علبة لأخذ الطعام معي.,sent
974,I want to book one ticket for the next flight to *.,我想预订一张飞往*的下一班机票。,أريد حجز تذكرة واحدة للرحلة التالية المتجهة إلى *.,vp
975,I want to check out.,我要退房。,أريد أن أدفع لاغادر.,sent
976,I want to rent a car.,我想要租车。,أريد ايجار سيارة.,sent
977,I want to talk to the * embassy.,我希望跟*大使馆联系。,أود بالتحدث مع سّفارة *.,vp
978,I want you to meet *.,我想让你见见*。,أريدك أن تلتقي ب*.,vp
979,I will stay for * night(s).,我打算住*夜。,سأقيم * ليلى,vp
980,I wish you a happy joumey.,祝您旅途愉快。,أتمنى لك رحلة موفقة!,sent
981,I work at the *.,我在*工作。,أعمل في *.,vp
982,I work in government.,我在政府部门上班。,أعمل في الحكومة.,sent
983,I would like *.,我想要 *。,أود *.,vp
984,I would like to make flight reservations.,我想预订机票。,أريد أن أقوم بحجوزات طيران.,sent
985,I would rather pay.,我付钱好了。,أفضل أن أدفع أنا.,sent
986,I'd like *.,我想要*。,أنا أحب *.,vp
987,I'd like a coffee.,我想要杯咖啡。,أريد قهوة.,sent
988,I'd like a decaf.,来一杯没有咖啡因的咖啡。,أريد قهوة منزوعة الكافيين.,sent
989,"I'd like a refill, please.",请给我续一杯。,أريد أن أملأ * مرة ثانية.,sent
990,aisle seat,走廊的座位,الكرسي الذي في الممر,np
991,I'd like reserve *.,我想订个*。,أود حجز *.,vp
992,I'd like some *.,我想要些*。,أود بعض *.,vp
993,I'd like the *.,我要*。,أود أن *.,sent
994,I'd like to book *.,我想订一个*。,أود أن كتاب *.,sent
995,I'd like to cancel a reservation.,我想取消预订。,أود إلغاء الحجز.,sent
996,I'd like to cancel my order.,我要取消我的点餐。,أود إلغاء طلبي.,sent
997,I'd like to check in.,我要办理登记手续。,أريد تسجيل الوصول.,sent
998,I'd like to get * seats on a flight to *.,我想订*张到*的机票。,أود الحصول على * مقاعد في رحلة جوية إلى *.,vp
999,I'd like to have a seat by the window.,我想要一个靠窗的座位。,أود الحصول على مقعد بجوار النافذة.,sent
1000,I'd like to introduce *.,我来介绍一下*。,أود ان أقدم *.,vp
1001,I'd like to make a reservation.,我想预订房间。,اود ان احجز.,sent
1002,I'd like to rent a car.,我想租车,أريد ايجار سيارة.,sent
1003,I'd like to reserve a room.,我想订一间房。,أريد حجزغرفة.,sent
1004,I'd like to see to your manager.,我要见你们经理。,أريد أن أقابل المدير.,sent
1005,I'd like to take the first available flight.,我想乘第一班飞机。,أود أن أصعد على متن أقرب رحلة متوفرة.,sent
1006,I'd like to take the rest home.,我想把剩下的打包回家。,أود أن آخذ المتبقي معي إلى المنزل.,sent
1007,I'd like you to meet a friend of mine.,我想让你见见我的朋友,أريدك أن تقابل صديقاً لي.,sent
1008,I'll ask the chef to explain to you.,我会请主厨来向您解释。,سأسأل المدير أن يشرح لك.,sent
1009,I'll be right back with your order.,我会立即为您送上餐点。,سأعود إليك قريباً مع طلبك.,sent
1010,I'll bring you another one.,我会给你另外拿来一份。,سأحضر لك واحداً آخر.,sent
1011,I'll call the police.,我会叫警察。,سأتصل بالشرطة‏ ‎.,sent
1012,I'll change it immediately.,我会立即更换。,سأبدله في الحال,sent
1013,I'll check if we have vacancy.,我看看是否还有空位。,سأتأكد إذا كان لدينا شاغر,sent
1014,I'll check it for you at once.,我马上为您查询。,سأتأكد لك منه بدفعة واحدة,sent
1015,I'll check your order with the chef.,我会和厨师查对您点的菜。,سأتأكد من طلبك مع رئيس الطهاة,sent
1016,I'll find a table for you.,我会为您找一张桌子。,سأعثر على طاولة لك,sent
1017,I'll get some * for you right away.,我马上去给你拿些*来。,سأحصل على بعض * لك على الفور.,vp
1018,I'll get there by date *.,我会在*日之前到达。,سأصل هناك تاريخ *.,vp
1019,"I'll have a coke, please.",请给我一杯可乐。,سآخذ كوكاكولا من فضلك,sent
1020,"I'll have a glass of lemonade. More ice,please.",我要一杯柠檬汁，请多放一点冰块。,سآخذ كأس ليموناضه. أريد المزيد من الثلج لو سمحت.,sent
1021,I'll have the chef prepare another one.,我会请厨师准备另一份。,سأطلب من رئيس الطهاة أن يحضّر واحدة أخرى,sent
1022,I'll hurry. Please wait a moment.,我会快点的，请稍等一会儿。,سوف أستعجل. أرجو الانتظار.,sent
1023,I'll log in to the Internet to find out about you. I know your address.,我还是上因特网去看吧。我知道你们的网址。,سأقوم بالدخول إلى الإنترنت لأتعرف عليك. أعرف عنوانك.,sent
1024,I'll need an economy ticket with an open return.,我要经济舱，回程时间不定的来回票。,سأحتاج إلى تذكرة اقتصادية مع عودة مفتوحة.,sent
1025,I'll return your suggestion to the chef.,我会向主厨反应你的意见。,سأوصل اقتراحك ألى رئيس الطهاة,sent
1026,I'll see about your order.,我这就去看看你点的菜。,سوف أرى بخصوص طلبك,sent
1027,I'll send this back to the kitchen and get you a new one.,我会把它送回厨房，换拿给您为一份新的。,سأعيد هذا إلى المطبخ وأحضر لك واحداً آخر,sent
1028,I'll show you to your table.,我来带您到餐桌。,سأريك طاولتك,sent
1029,I'll tell the kitchen to prepare a new one for you.,我会告诉厨房为您再做一份新的。,سأخبر المطبخ أن يحضروا واحداً جديداً لك,sent
1030,I'll try to hurry things up.,我会催促快些。,سأحاول أن أعجّل الأمور,sent
1031,I'll wait.,我等一下吧。,سأنتظر,sent
1032,I'm * years old.,我今年*岁了。,عمري * سنة.,vp
1033,I'm a vegetarian.,我吃素的。,أنا نباتي.,sent
1034,I'm afraid all our tables are taken.,恐怕我们所有的桌子都被占用着。,أنا أخشى بأن كل طاولاتنا غير متوفرة,sent
1035,I'm afraid I'll miss my connecting flight.,我会赶不上我下一段的班机了。,أنا أخشى أنني سأفوّف رحلتي الرابطة/المتصلة,sent
1036,I'm afraid it's overweight.,恐怕超重了。,أنا أخشى أن وزنها زائد,sent
1037,I'm afraid our hotel is fully booked on that night.,本店那晚恐怕已经登记满了。,أنا أخشى أن فندقنا محجوز بالكامل في تلك الليلة,sent
1038,I'm afraid that area is under preparation.,恐怕那一区还在准备中。,أنا أخشى أن تلك المنطقة قيد التحضير,sent
1039,I'm afraid that table is reserved for * p.m.,恐怕那张桌子晚上*点以后被预定了。,أنا أخشى أن تلك الطاولة محجوزة للساعة * مساءً,vp
1040,I'm afraid there is a mistake.,恐怕出错了吧。,أنا أخشى أن هناك خطأ,sent
1041,I'm afraid We don't have it in stock.,恐怕已经没有存货了。,أنا أخشى أننا لا نملكه في المخزون,sent
1042,I'm afraid we have no cocktails now.,现在恐怕没有鸡尾酒了。,أنا أخشى أننا لا نملك أي كوكتيلات الآن,sent
